Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,72503057.42507638,72503057.42507632,142794602.97004644 
 01/01  02:00:00,89925603.40645646,89925603.40645653,142677107.8321063 
 01/01  03:00:00,67965234.75949008,67965234.75949003,133908276.27167222 
 01/01  04:00:00,74165985.26373157,74165985.26373154,132118589.58343193 
 01/01  05:00:00,85823886.32672645,85823886.3267265,123596458.17059481 
 01/01  06:00:00,114429077.80397211,114429077.80397217,115084619.96881822 
 01/01  07:00:00,188037765.07254125,188037765.07254125,103038758.92769979 
 01/01  08:00:00,202698324.6016223,202698324.60162229,104684700.85569364 
 01/01  09:00:00,183868148.6285247,183868148.62852476,108880593.01571597 
 01/01  10:00:00,163910131.55211107,163910131.55211107,79888280.4001126 
 01/01  11:00:00,130916935.21639715,130916935.2163975,62207785.34028533 
 01/01  12:00:00,130709634.72564249,130709634.72564262,59307743.96403114 
 01/01  13:00:00,122701151.2387326,122701151.23873303,65006639.324820179 
 01/01  14:00:00,122166497.58475775,122166497.584758,90257991.73986613 
 01/01  15:00:00,108166094.56703802,108166094.56703815,93220381.89474592 
 01/01  16:00:00,125953872.76465716,125953872.76465735,91221482.92720256 
 01/01  17:00:00,162709674.78941567,162709674.7894156,95190395.71936323 
 01/01  18:00:00,209516356.76893268,209516356.76893277,78346624.06226194 
 01/01  19:00:00,229670763.17231033,229670763.1723102,82789348.19859408 
 01/01  20:00:00,223402685.74770946,223402685.74770896,86747948.74458902 
 01/01  21:00:00,199870428.31818018,199870428.31818015,96103662.33468297 
 01/01  22:00:00,196638283.8551146,196638283.85511429,114068438.82633731 
 01/01  23:00:00,141636012.91549487,141636012.91549478,129523550.53762172 
 01/01  24:00:00,126692771.81561996,126692771.81562029,135438275.5096892 
 01/02  01:00:00,79706540.99752935,79706540.99752939,145347034.14396186 
 01/02  02:00:00,82993355.07811186,82993355.07811187,143055680.99501316 
 01/02  03:00:00,75600904.36509907,75600904.36509902,143641277.6392796 
 01/02  04:00:00,68032958.98092515,68032958.98092507,144408036.86434684 
 01/02  05:00:00,93481296.12896174,93481296.12896188,133422790.38905132 
 01/02  06:00:00,115537155.82230929,115537155.82230951,131849348.2355749 
 01/02  07:00:00,186723462.37025184,186723462.3702516,126511898.43866351 
 01/02  08:00:00,205464504.58206833,205464504.58206818,102991841.58492548 
 01/02  09:00:00,176121464.00235413,176121464.0023544,108174578.688573 
 01/02  10:00:00,164603775.5120066,164603775.51200644,90446789.40512209 
 01/02  11:00:00,139627756.27489225,139627756.2748925,80184759.18922599 
 01/02  12:00:00,131369158.8797736,131369158.87977411,69440411.96605057 
 01/02  13:00:00,122877159.34142104,122877159.3414213,67436131.34806755 
 01/02  14:00:00,120629088.13203019,120629088.13203059,66627904.98143077 
 01/02  15:00:00,114099660.14070326,114099660.14070359,77059496.30201347 
 01/02  16:00:00,118883720.3929153,118883720.39291553,89926790.88682728 
 01/02  17:00:00,162497457.573625,162497457.5736255,91375157.95590003 
 01/02  18:00:00,215540819.89147545,215540819.8914753,78069291.15748525 
 01/02  19:00:00,215509365.35846559,215509365.3584656,73081937.48510359 
 01/02  20:00:00,221972877.31353689,221972877.31353665,64010567.957851048 
 01/02  21:00:00,212724227.48307634,212724227.4830761,61009415.065922249 
 01/02  22:00:00,181828225.83888868,181828225.8388888,66886242.95109851 
 01/02  23:00:00,142861962.6683376,142861962.66833795,84686544.30059549 
 01/02  24:00:00,123806283.37612723,123806283.37612739,91518985.53709902 
 01/03  01:00:00,75820500.71441911,75820500.71441916,86513215.05254118 
 01/03  02:00:00,78337456.72964017,78337456.7296402,72531123.31741937 
 01/03  03:00:00,70399781.8769472,70399781.87694715,64643393.24837828 
 01/03  04:00:00,64145307.28895442,64145307.288954358,85334347.76250555 
 01/03  05:00:00,84869335.18528815,84869335.18528818,108486010.35870728 
 01/03  06:00:00,113924066.14316945,113924066.14316948,107018099.81785962 
 01/03  07:00:00,192234535.60273574,192234535.60273556,93177043.73533276 
 01/03  08:00:00,200505868.28387035,200505868.28387026,105608575.17957148 
 01/03  09:00:00,184267188.56150268,184267188.5615027,114723652.86422028 
 01/03  10:00:00,168527888.9116308,168527888.91163079,98315141.3469656 
 01/03  11:00:00,136854299.29201848,136854299.29201878,73194500.51516561 
 01/03  12:00:00,140784709.8221241,140784709.8221243,76697193.37714249 
 01/03  13:00:00,126436470.15245003,126436470.15245044,72540917.89996955 
 01/03  14:00:00,124290655.52732589,124290655.52732623,67242979.14411181 
 01/03  15:00:00,115887936.84953898,115887936.84953931,62200252.705886509 
 01/03  16:00:00,114661573.9088006,114661573.9088009,66504387.31886941 
 01/03  17:00:00,171945108.64073006,171945108.64072997,67061178.65264921 
 01/03  18:00:00,215052888.4141828,215052888.41418267,66153166.05769795 
 01/03  19:00:00,214772204.26041515,214772204.2604153,62234784.60939973 
 01/03  20:00:00,221572781.4598,221572781.4597997,58157581.7446039 
 01/03  21:00:00,211650276.5901805,211650276.59018026,68675672.2120293 
 01/03  22:00:00,181318812.89753787,181318812.89753837,73761978.6402834 
 01/03  23:00:00,155351733.2604062,155351733.2604062,84393258.75905451 
 01/03  24:00:00,112121676.90443729,112121676.9044375,86551326.9559119 
 01/04  01:00:00,70402574.00832276,70402574.00832269,93072367.35972274 
 01/04  02:00:00,86363973.75671639,86363973.75671636,89053830.86831966 
 01/04  03:00:00,65309412.48677729,65309412.48677725,94001152.47522602 
 01/04  04:00:00,72473319.78326744,72473319.7832674,106831424.1767 
 01/04  05:00:00,85045132.72102048,85045132.72102054,112235455.22643483 
 01/04  06:00:00,114210108.83882213,114210108.83882234,112504469.77011755 
 01/04  07:00:00,189977740.389807,189977740.3898069,116664609.94266284 
 01/04  08:00:00,203450019.81454838,203450019.81454814,141349760.94978557 
 01/04  09:00:00,188652672.4849046,188652672.48490445,128244086.06506625 
 01/04  10:00:00,168593530.99814899,168593530.99814857,96498742.15950489 
 01/04  11:00:00,145361196.31761609,145361196.31761617,81545650.28954718 
 01/04  12:00:00,139065552.34046219,139065552.34046237,68901466.9293072 
 01/04  13:00:00,112309098.17137005,112309098.1713702,61293528.50196193 
 01/04  14:00:00,123869800.63152896,123869800.63152917,57880117.079964358 
 01/04  15:00:00,123115789.01406856,123115789.01406899,59720528.02703481 
 01/04  16:00:00,114404609.45678534,114404609.4567853,60335332.25968606 
 01/04  17:00:00,164210805.8162003,164210805.81620047,59055919.924756798 
 01/04  18:00:00,222021006.21354268,222021006.21354256,57337983.73350376 
 01/04  19:00:00,228215232.19681049,228215232.19681037,59452293.29732981 
 01/04  20:00:00,208201707.53624983,208201707.53624977,62500253.72781332 
 01/04  21:00:00,211540420.73588557,211540420.73588533,67568868.08508817 
 01/04  22:00:00,180999100.4210597,180999100.42105965,69303949.1523024 
 01/04  23:00:00,151730216.52832747,151730216.52832753,92928955.84211788 
 01/04  24:00:00,110898851.71418284,110898851.71418306,98681168.66389749 
 01/05  01:00:00,77315583.17511176,77315583.1751118,111430738.73890856 
 01/05  02:00:00,88687310.53386088,88687310.53386094,125738672.81489304 
 01/05  03:00:00,67768160.57741548,67768160.57741545,132698181.8898846 
 01/05  04:00:00,81274067.19429025,81274067.19429028,149734769.2813983 
 01/05  05:00:00,82051294.59257056,82051294.59257052,161282335.47149376 
 01/05  06:00:00,117817988.01905799,117817988.01905823,169312621.4404697 
