Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,97851681.37,97851681.37,0
 01/01  02:00:00,95669864.39,95669864.39,0
 01/01  03:00:00,95896402.05,95896402.05,0
 01/01  04:00:00,78834306.58,78834306.58,0
 01/01  05:00:00,90611496.31,90611496.31,0
 01/01  06:00:00,119024197.2,119024197.2,0
 01/01  07:00:00,169936045.1,169936045.1,0
 01/01  08:00:00,196366768.9,196366768.9,0
 01/01  09:00:00,195590001.5,195590001.5,0
 01/01  10:00:00,206297488.7,206297488.7,0
 01/01  11:00:00,199958320.7,199958320.7,0
 01/01  12:00:00,193443602.1,193443602.1,0
 01/01  13:00:00,203406715.9,203406715.9,0
 01/01  14:00:00,191092756.7,191092756.7,0
 01/01  15:00:00,189782700.9,189782700.9,0
 01/01  16:00:00,190752119.6,190752119.6,0
 01/01  17:00:00,229226214.4,229226214.4,0
 01/01  18:00:00,238183521.1,238183521.1,0
 01/01  19:00:00,268805292,268805292,0
 01/01  20:00:00,247421598.7,247421598.7,0
 01/01  21:00:00,239451377,239451377,0
 01/01  22:00:00,220516798.3,220516798.3,0
 01/01  23:00:00,180514983.1,180514983.1,0
 01/01  24:00:00,140384825.2,140384825.2,0
 01/02  01:00:00,110018611.3,110018611.3,0
 01/02  02:00:00,109952939.2,109952939.2,0
 01/02  03:00:00,93172905.67,93172905.67,0
 01/02  04:00:00,98547554.98,98547554.98,0
 01/02  05:00:00,110492905.3,110492905.3,0
 01/02  06:00:00,140770208.1,140770208.1,0
 01/02  07:00:00,189692591.6,189692591.6,0
 01/02  08:00:00,199337998.7,199337998.7,0
 01/02  09:00:00,204524018.5,204524018.5,0
 01/02  10:00:00,203123004.8,203123004.8,0
 01/02  11:00:00,210600541.5,210600541.5,0
 01/02  12:00:00,198586025.2,198586025.2,0
 01/02  13:00:00,196932841.9,196932841.9,0
 01/02  14:00:00,189814736.9,189814736.9,0
 01/02  15:00:00,185997276.3,185997276.3,0
 01/02  16:00:00,196507103,196507103,0
