Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,80477913.6666974,80477913.66669734,478667129.3546792 
 01/01  02:00:00,99454550.08034842,99454550.08034843,519622878.71764877 
 01/01  03:00:00,78239204.31007132,78239204.31007129,524327306.3277576 
 01/01  04:00:00,85206245.20041406,85206245.20041403,540949761.6561223 
 01/01  05:00:00,97436804.69802866,97436804.69802869,541252623.7579366 
 01/01  06:00:00,133926191.93468154,133926191.9346818,542245116.5169158 
 01/01  07:00:00,219593356.85818795,219593356.8581878,545962661.0999688 
 01/01  08:00:00,222418316.06062586,222418316.06062577,557167290.4531175 
 01/01  09:00:00,221591668.87999139,221591668.87999127,534056584.0309236 
 01/01  10:00:00,182057574.08633683,182057574.0863368,491666032.2166753 
 01/01  11:00:00,168352457.02874328,168352457.02874369,458402942.72294506 
 01/01  12:00:00,141346967.83745785,141346967.8374581,395591432.6471609 
 01/01  13:00:00,140862133.25859029,140862133.25859068,411651286.0586459 
 01/01  14:00:00,132220984.91489807,132220984.91489829,438216728.3193533 
 01/01  15:00:00,136760694.95264168,136760694.95264177,430419914.74548259 
 01/01  16:00:00,136476239.20055736,136476239.20055757,408718981.7583091 
 01/01  17:00:00,179989935.3331336,179989935.33313398,435219939.3594344 
 01/01  18:00:00,232781970.1293778,232781970.12937779,391190458.3291152 
 01/01  19:00:00,246428619.3257063,246428619.3257064,372746371.3347684 
 01/01  20:00:00,233435962.71205906,233435962.7120588,405799747.48621276 
 01/01  21:00:00,237738062.44366304,237738062.44366298,408862195.4791133 
 01/01  22:00:00,205847787.01653705,205847787.016537,424462527.15066358 
 01/01  23:00:00,169834157.8080137,169834157.80801387,450257427.87949326 
 01/01  24:00:00,120211685.62819714,120211685.6281973,430261120.7276517 
 01/02  01:00:00,99015522.27282933,99015522.27282945,434942088.4312707 
 01/02  02:00:00,82830594.94609377,82830594.94609371,423868893.66466549 
 01/02  03:00:00,87371991.93309134,87371991.93309134,417920180.35196456 
 01/02  04:00:00,74498843.81755364,74498843.81755358,439909790.7641921 
 01/02  05:00:00,89220898.83794035,89220898.8379404,436260272.40820506 
 01/02  06:00:00,132765089.57324454,132765089.57324478,394351497.89764276 
 01/02  07:00:00,200559228.85397644,200559228.85397638,363516930.99550268 
 01/02  08:00:00,235085408.87206579,235085408.87206573,365080892.27384737 
 01/02  09:00:00,194025735.77052907,194025735.77052913,320299704.53526279 
 01/02  10:00:00,189201773.73451445,189201773.7345147,273963257.6843184 
 01/02  11:00:00,147483487.87453715,147483487.8745376,294967582.36620709 
 01/02  12:00:00,155900167.5367498,155900167.53675027,263523579.28063975 
 01/02  13:00:00,134512935.44026069,134512935.44026084,233863182.83839868 
 01/02  14:00:00,125398392.90387167,125398392.9038719,247364034.89934809 
 01/02  15:00:00,124920989.25380644,124920989.25380686,257897781.95534737 
 01/02  16:00:00,135886274.3619582,135886274.36195836,228271886.75803469 
 01/02  17:00:00,172169324.93996958,172169324.93996946,218122072.3697455 
 01/02  18:00:00,228567928.55918373,228567928.55918379,272399447.1666597 
 01/02  19:00:00,239513966.99346,239513966.99345983,287024267.6364379 
 01/02  20:00:00,232579012.371313,232579012.37131275,275814486.14957717 
 01/02  21:00:00,225625060.0842011,225625060.0842008,277964014.8668614 
 01/02  22:00:00,195427488.90962393,195427488.90962396,299634729.3412874 
