Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,67581747.2761993,67581747.27619924,292695948.4944813 
 01/01  02:00:00,84999678.25281193,84999678.25281197,291738583.1247621 
 01/01  03:00:00,62907170.250202808,62907170.250202748,274437453.62181797 
 01/01  04:00:00,68433981.14645404,68433981.146454,254534691.6672241 
 01/01  05:00:00,81234203.14743059,81234203.14743066,268204295.0672525 
 01/01  06:00:00,118163119.1616556,118163119.16165589,278109851.36689218 
 01/01  07:00:00,207232353.19165207,207232353.19165165,317389954.81079617 
 01/01  08:00:00,228426288.3690108,228426288.36901046,327714113.530144 
 01/01  09:00:00,209500951.36866356,209500951.36866353,339267395.0692189 
 01/01  10:00:00,203704147.47078736,203704147.4707871,315250724.85803529 
 01/01  11:00:00,171078745.93487505,171078745.93487484,312628279.60242119 
 01/01  12:00:00,149290797.74620069,149290797.74620099,309103553.3391646 
 01/01  13:00:00,139142971.0619828,139142971.06198333,309365792.78167179 
 01/01  14:00:00,129347092.96632025,129347092.96632067,306930707.40068039 
 01/01  15:00:00,139162765.73774768,139162765.73774774,279053834.5105864 
 01/01  16:00:00,140763866.69431723,140763866.6943175,272825996.9444007 
 01/01  17:00:00,187890547.46634016,187890547.46634016,287585728.78149679 
 01/01  18:00:00,231681152.11696197,231681152.1169619,303826049.9321709 
 01/01  19:00:00,239252722.54337234,239252722.54337234,323543236.9173148 
 01/01  20:00:00,231575768.2954832,231575768.29548288,297791755.61121097 
 01/01  21:00:00,220187196.26067389,220187196.26067353,286567737.15146127 
 01/01  22:00:00,202619275.34491415,202619275.34491388,287121561.4847839 
 01/01  23:00:00,158818655.61684708,158818655.61684693,308838605.1583553 
 01/01  24:00:00,109346298.17725364,109346298.17725368,296929358.6534604 
 01/02  01:00:00,88545915.05902513,88545915.05902517,313040358.7108877 
 01/02  02:00:00,72951681.23797767,72951681.23797763,317690754.4106064 
 01/02  03:00:00,77581765.4784363,77581765.47843635,314616650.2189467 
 01/02  04:00:00,63555477.36036369,63555477.360363658,306971925.04780456 
 01/02  05:00:00,89405566.36037292,89405566.36037299,298193776.1146532 
 01/02  06:00:00,110673771.774863,110673771.77486308,271894742.8333669 
 01/02  07:00:00,214336707.9127717,214336707.91277138,297909095.5844846 
 01/02  08:00:00,213806363.0198744,213806363.0198744,309906347.8903963 
 01/02  09:00:00,215559306.70680139,215559306.70680136,340681598.0518745 
 01/02  10:00:00,191129318.92080317,191129318.92080293,344455449.80470588 
 01/02  11:00:00,181286544.8206144,181286544.8206141,374845498.8752276 
 01/02  12:00:00,158514596.43718259,158514596.43718297,387781476.99604257 
 01/02  13:00:00,142173260.3837769,142173260.38377709,384529113.0757662 
 01/02  14:00:00,138743727.70294116,138743727.7029413,357203175.8649158 
