Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,59866935.531875479,59866935.53187542,67804306.11069122 
 01/01  02:00:00,77704018.73435229,77704018.73435234,76523891.7189137 
 01/01  03:00:00,56211448.68190849,56211448.68190846,74236442.12682386 
 01/01  04:00:00,62722209.23079584,62722209.23079579,78713997.65226148 
 01/01  05:00:00,75115738.66490963,75115738.66490968,82144148.92504858 
 01/01  06:00:00,104531849.63792098,104531849.637921,85772644.80158195 
 01/01  07:00:00,184997230.63370664,184997230.63370658,95557118.06069373 
 01/01  08:00:00,216630695.68359683,216630695.68359656,102432497.65265554 
 01/01  09:00:00,186679349.39497299,186679349.39497305,99154865.92535788 
 01/01  10:00:00,165241757.30210687,165241757.30210678,68550966.36383796 
 01/01  11:00:00,152149478.72230263,152149478.72230277,46146242.60610043 
 01/01  12:00:00,131390630.55593373,131390630.55593427,33490484.774712407 
 01/01  13:00:00,131142539.83952439,131142539.8395249,26430200.73368239 
 01/01  14:00:00,122387012.47604078,122387012.4760409,23527813.34979707 
 01/01  15:00:00,120885593.20226759,120885593.20226756,21695600.265193177 
 01/01  16:00:00,121257513.78147075,121257513.7814709,22922959.850550213 
 01/01  17:00:00,163991660.04758323,163991660.04758335,24147221.18105588 
 01/01  18:00:00,200747412.83640937,200747412.8364094,23604645.350069919 
 01/01  19:00:00,220878968.288212,220878968.2882119,23720260.590110914 
 01/01  20:00:00,218573817.75593967,218573817.75593946,22707373.58867372 
 01/01  21:00:00,210341403.40406493,210341403.40406464,27597974.95655539 
 01/01  22:00:00,173469791.23081819,173469791.23081828,32172651.29518196 
 01/01  23:00:00,144450105.49559183,144450105.49559213,40150217.49830059 
 01/01  24:00:00,117188073.18906772,117188073.18906772,43746405.23152131 
 01/02  01:00:00,63012491.963225018,63012491.963224958,59692110.83636095 
 01/02  02:00:00,77079090.94837326,77079090.94837329,62723217.15058172 
 01/02  03:00:00,55848146.81479181,55848146.81479177,66363342.94823373 
 01/02  04:00:00,59776323.81790702,59776323.817906979,67480144.5197766 
 01/02  05:00:00,76744568.83538249,76744568.83538255,64059727.35672258 
 01/02  06:00:00,103823906.62489832,103823906.62489832,70033724.90292108 
 01/02  07:00:00,184389677.34768886,184389677.34768877,81942898.4706554 
 01/02  08:00:00,215092439.48435907,215092439.4843588,87215827.14322596 
 01/02  09:00:00,184650890.3037706,184650890.3037707,90355875.80685063 
 01/02  10:00:00,167973645.6374457,167973645.63744558,74394353.17653698 
 01/02  11:00:00,152435207.27857555,152435207.27857573,56252606.25034714 
 01/02  12:00:00,131449934.65830188,131449934.6583021,38649897.09014728 
 01/02  13:00:00,128958995.23084508,128958995.23084526,32340872.020564509 
 01/02  14:00:00,123329314.2217727,123329314.22177291,30712323.135604986 
 01/02  15:00:00,119656997.41621182,119656997.41621198,30975242.876382155 
 01/02  16:00:00,124732449.24313136,124732449.2431316,32421301.536604018 
 01/02  17:00:00,161074714.05662949,161074714.05662988,38428905.39295922 
 01/02  18:00:00,204726044.46079127,204726044.46079136,47679607.998681779 
 01/02  19:00:00,230069129.1676893,230069129.16768874,51138712.483605537 
 01/02  20:00:00,212255370.2790546,212255370.2790543,44319868.86733991 
 01/02  21:00:00,204433719.32229904,204433719.32229886,47284590.944725919 
 01/02  22:00:00,181628109.34082408,181628109.34082408,49921313.32744286 
 01/02  23:00:00,150925558.30141063,150925558.30141113,57475154.135292518 
 01/02  24:00:00,104979565.10987517,104979565.10987525,68696809.64152625 
 01/03  01:00:00,67744763.87232787,67744763.87232782,86936296.28846212 
 01/03  02:00:00,72812129.49523726,72812129.49523722,84386040.83489517 
 01/03  03:00:00,62038665.776986319,62038665.77698627,87595699.87671107 
 01/03  04:00:00,71316212.95973727,71316212.95973724,95660176.87965194 
 01/03  05:00:00,66155121.18810256,66155121.18810251,96193468.542623 
 01/03  06:00:00,107187225.00166363,107187225.00166367,104734248.42730372 
 01/03  07:00:00,197542889.53411696,197542889.53411655,110894571.74833109 
 01/03  08:00:00,200470788.16435666,200470788.16435654,117924406.35272177 
 01/03  09:00:00,190162672.70789243,190162672.70789234,121195343.78385999 
