Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,51231465.543865639,51231465.54386553,65739472.809514019 
 01/01  02:00:00,68786433.17110339,68786433.17110327,68072835.88244573 
 01/01  03:00:00,47353951.649250809,47353951.64925071,66793554.819159869 
 01/01  04:00:00,53061981.99453175,53061981.99453172,53537377.803143437 
 01/01  05:00:00,64213323.47412207,64213323.4741219,54456449.37219013 
 01/01  06:00:00,91223596.8307897,91223596.83078964,48932227.41820496 
 01/01  07:00:00,170588783.53825838,170588783.53825809,46080350.308482799 
 01/01  08:00:00,182726342.65407423,182726342.654074,49706504.70561204 
 01/01  09:00:00,188416021.61965616,188416021.61965586,54445588.94880302 
 01/01  10:00:00,156629728.39871366,156629728.3987136,46386730.30018525 
 01/01  11:00:00,132078236.09374285,132078236.09374273,43655551.13129403 
 01/01  12:00:00,137985052.40265367,137985052.40265367,45481966.0725374 
 01/01  13:00:00,123251607.6267813,123251607.62678127,41147419.92192346 
 01/01  14:00:00,100122422.99646089,100122422.99646087,37707481.40231444 
 01/01  15:00:00,112557082.24906627,112557082.24906597,36171015.097675878 
 01/01  16:00:00,116439575.11189075,116439575.11189077,38714576.372908238 
 01/01  17:00:00,148969510.1367498,148969510.13674975,39196126.84679291 
 01/01  18:00:00,179346185.31852887,179346185.3185286,36322032.0604268 
 01/01  19:00:00,212533581.55886904,212533581.55886863,44501661.92178168 
 01/01  20:00:00,197129428.78976805,197129428.78976778,45403625.420694228 
 01/01  21:00:00,188230661.5830814,188230661.58308108,42140488.00324556 
 01/01  22:00:00,158409605.58673597,158409605.58673574,44798361.60930794 
 01/01  23:00:00,136330853.60770286,136330853.60770259,60852827.63897357 
 01/01  24:00:00,91960069.21427462,91960069.21427456,67843010.07162394 
 01/02  01:00:00,71459036.91072972,71459036.91072963,68008398.96786775 
 01/02  02:00:00,56326144.651894118,56326144.65189411,82418528.45768383 
 01/02  03:00:00,61323270.015946719,61323270.01594657,87847917.92611164 
 01/02  04:00:00,47384660.70353103,47384660.70353093,82725435.00228797 
 01/02  05:00:00,59287116.80931277,59287116.80931273,80783850.9690986 
 01/02  06:00:00,105635111.82054068,105635111.82054055,75446270.114391 
 01/02  07:00:00,171804005.19990225,171804005.199902,73798706.83938265 
 01/02  08:00:00,183599844.40424235,183599844.40424205,69610542.9487462 
 01/02  09:00:00,188564570.6881284,188564570.68812815,69266837.97492704 
 01/02  10:00:00,144158383.26075534,144158383.26075507,62218987.75571169 
 01/02  11:00:00,146294517.78672616,146294517.7867259,57493132.39505306 
 01/02  12:00:00,124667983.11024574,124667983.1102455,49603966.01576299 
 01/02  13:00:00,116057811.58619875,116057811.58619847,45405723.12526624 
 01/02  14:00:00,121265519.86566505,121265519.86566493,47369144.62322183 
 01/02  15:00:00,105703710.26307282,105703710.26307273,46217983.92095025 
 01/02  16:00:00,124030486.39384878,124030486.39384873,44788164.17023533 
 01/02  17:00:00,142131783.2607269,142131783.26072664,44611999.06843203 
 01/02  18:00:00,186904873.16128174,186904873.1612815,44517878.56938318 
 01/02  19:00:00,204932148.45787139,204932148.45787103,42606185.70461814 
 01/02  20:00:00,198524771.1886557,198524771.18865557,43660432.48498836 
 01/02  21:00:00,192199649.10516755,192199649.10516743,43361140.76939483 
 01/02  22:00:00,158503192.1905508,158503192.19055064,48836944.53958616 
 01/02  23:00:00,138402836.5035181,138402836.50351773,60718060.52635631 
 01/02  24:00:00,91816384.56876275,91816384.56876277,64858457.104558248 
 01/03  01:00:00,72085923.98858331,72085923.98858325,82419090.91215672 
 01/03  02:00:00,49218894.85123782,49218894.85123771,80059541.47128324 
 01/03  03:00:00,67568278.7433018,67568278.74330169,71781567.54988511 
 01/03  04:00:00,47481671.845043878,47481671.84504378,85428115.58178622 
 01/03  05:00:00,60087985.53502996,60087985.53502997,99650878.40723811 
 01/03  06:00:00,106147892.72292815,106147892.72292812,98349855.53712255 
 01/03  07:00:00,172078934.1176986,172078934.11769838,98035101.79404114 
 01/03  08:00:00,186234131.49663193,186234131.49663163,115401483.28366444 
 01/03  09:00:00,177188151.84244005,177188151.84243969,100457818.40022068 
 01/03  10:00:00,163210621.2738972,163210621.27389697,100806718.57011615 
 01/03  11:00:00,150808613.9724691,150808613.97246904,105102965.26388344 
 01/03  12:00:00,129108827.34556099,129108827.34556099,94885201.24246602 
 01/03  13:00:00,119546449.37656673,119546449.37656659,90558489.36976052 
 01/03  14:00:00,118583579.11927837,118583579.11927842,96405988.0858644 
 01/03  15:00:00,116850967.70904568,116850967.7090454,92215766.74875555 
 01/03  16:00:00,109011134.65029016,109011134.65029018,95224216.3917215 
 01/03  17:00:00,160893734.09780307,160893734.09780286,92306011.16977923 
 01/03  18:00:00,194612014.07417757,194612014.07417725,84288091.76561886 
 01/03  19:00:00,206689843.4957586,206689843.49575828,80569588.48520524 
 01/03  20:00:00,198140009.6467073,198140009.64670707,69918311.3422074 
 01/03  21:00:00,194882833.34053905,194882833.34053893,66691334.564364079 
 01/03  22:00:00,159504580.76752249,159504580.76752229,70480504.71420524 
 01/03  23:00:00,139529268.25994186,139529268.25994177,85097883.02288929 
 01/03  24:00:00,93042835.62425952,93042835.62425952,91435531.73582602 
 01/04  01:00:00,73331354.47422496,73331354.47422491,109559515.1540948 
 01/04  02:00:00,50468763.930213827,50468763.93021373,107389791.99643606 
 01/04  03:00:00,55989899.00043232,55989899.0004323,104706859.82447225 
 01/04  04:00:00,61868453.08763332,61868453.08763315,115156202.13592926 
 01/04  05:00:00,61128852.64650401,61128852.646503988,123293693.27150297 
 01/04  06:00:00,94342552.40336114,94342552.40336111,120794558.5941383 
 01/04  07:00:00,180911166.30679507,180911166.30679495,128648415.17489927 
 01/04  08:00:00,192702702.36469618,192702702.36469589,153240704.22311548 
 01/04  09:00:00,174808341.4314945,174808341.4314941,142666557.8287921 
 01/04  10:00:00,169112062.078478,169112062.0784779,114873361.23824874 
 01/04  11:00:00,150190665.36857165,150190665.36857159,97117290.1600217 
 01/04  12:00:00,129428236.93156994,129428236.93156994,92825894.33514464 
 01/04  13:00:00,119093113.19496414,119093113.19496419,80886733.23177675 
 01/04  14:00:00,118227197.39304339,118227197.3930433,86349989.84073867 
 01/04  15:00:00,116829705.6798206,116829705.6798205,92567034.19119384 
 01/04  16:00:00,108349436.64414159,108349436.64414144,100750026.94100434 
 01/04  17:00:00,154795019.7411525,154795019.74115236,105309824.39952852 
 01/04  18:00:00,203334947.45883919,203334947.45883889,105555290.75447899 
 01/04  19:00:00,207448420.5586515,207448420.55865113,97925558.7848786 
 01/04  20:00:00,199347144.17038793,199347144.17038772,96717771.18928536 
 01/04  21:00:00,187799468.45137323,187799468.45137296,106910399.44731818 
 01/04  22:00:00,169912917.73992975,169912917.73992969,104610536.14206255 
 01/04  23:00:00,140694069.3245144,140694069.3245144,109960317.8217003 
 01/04  24:00:00,93870303.10245109,93870303.10245107,108705733.32831182 
 01/05  01:00:00,73565608.75681845,73565608.75681837,113397870.20073457 
 01/05  02:00:00,50902344.338745508,50902344.3387454,115701588.6116465 
 01/05  03:00:00,56870306.74469316,56870306.744693178,122851497.25311844 
 01/05  04:00:00,62647497.67966287,62647497.679662708,130859307.56884791 
 01/05  05:00:00,61413960.13011775,61413960.13011776,127602057.92396234 
 01/05  06:00:00,94341045.83765766,94341045.83765762,118529013.49432366 
 01/05  07:00:00,180166522.99324418,180166522.993244,113134671.19921452 
 01/05  08:00:00,191653435.10194833,191653435.10194797,126130036.36850171 
 01/05  09:00:00,174550294.30223469,174550294.3022343,122844376.48412994 
 01/05  10:00:00,168451736.85844726,168451736.8584472,104538622.20415934 
 01/05  11:00:00,149795897.16607017,149795897.16607005,84784673.17177415 
 01/05  12:00:00,128897879.33772405,128897879.33772403,79923251.83524461 
 01/05  13:00:00,118730284.22119805,118730284.22119808,72714393.56800527 
 01/05  14:00:00,117598996.79916187,117598996.79916172,70427628.8857194 
 01/05  15:00:00,103104029.05856145,103104029.05856142,67021024.477032307 
 01/05  16:00:00,119780174.13710495,119780174.13710484,69511273.05253953 
 01/05  17:00:00,153160187.80195389,153160187.80195374,68295884.86959537 
 01/05  18:00:00,201430456.85910047,201430456.85909999,61202551.349739748 
 01/05  19:00:00,205557149.55457614,205557149.55457584,55426142.51043856 
 01/05  20:00:00,197420980.56720645,197420980.56720627,53581382.945743847 
 01/05  21:00:00,180833917.1025146,180833917.10251446,56222028.830589149 
 01/05  22:00:00,172023919.6809176,172023919.68091733,47699017.03197643 
