Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,52524378.65843739,52524378.65843728,1886962.3212036137 
 01/01  02:00:00,56674969.013230267,56674969.013230208,2234478.4197048379 
 01/01  03:00:00,61083253.05714526,61083253.05714516,2736861.083789247 
 01/01  04:00:00,46779182.08373807,46779182.083737988,3808889.3570604638 
 01/01  05:00:00,65517141.5629565,65517141.562956508,5794984.4534193 
 01/01  06:00:00,91374776.65591355,91374776.65591356,7487678.047771599 
 01/01  07:00:00,147612463.75612,147612463.75611983,9758851.728352225 
 01/01  08:00:00,171409719.93654797,171409719.9365478,11018162.025147042 
 01/01  09:00:00,162845763.66199629,162845763.661996,7471051.95641629 
 01/01  10:00:00,146178777.51940093,146178777.51940076,1970714.5364137227 
 01/01  11:00:00,134870191.44116567,134870191.44116564,623834.1327977816 
 01/01  12:00:00,133990393.14920588,133990393.14920576,13158.757329290573 
 01/01  13:00:00,127045440.38140404,127045440.38140401,0.0 
 01/01  14:00:00,128279056.17972018,128279056.17972003,0.0 
 01/01  15:00:00,102276757.89574743,102276757.89574747,0.0 
 01/01  16:00:00,118000086.06938452,118000086.06938438,0.0 
 01/01  17:00:00,134446336.8961557,134446336.8961555,0.0 
 01/01  18:00:00,193562940.12102876,193562940.12102843,0.0 
 01/01  19:00:00,205297310.27938465,205297310.27938432,0.0 
 01/01  20:00:00,190489808.6106788,190489808.61067844,0.0 
 01/01  21:00:00,188252446.54955606,188252446.5495558,0.0 
 01/01  22:00:00,155766220.33248914,155766220.3324889,0.0 
 01/01  23:00:00,135021405.0004264,135021405.00042627,8699.98082412735 
 01/01  24:00:00,94732443.96910943,94732443.96910949,1023945.2537283382 
 01/02  01:00:00,64075378.183845039,64075378.18384507,2524555.6729639468 
 01/02  02:00:00,57943704.015392858,57943704.015392858,3834189.3856042067 
 01/02  03:00:00,49977481.69298188,49977481.692981828,5701080.0360706769 
 01/02  04:00:00,57879100.08682685,57879100.08682688,7858741.732364991 
 01/02  05:00:00,57700361.88257578,57700361.8825758,9115023.85175724 
 01/02  06:00:00,91876549.33827658,91876549.3382766,10482299.026173208 
 01/02  07:00:00,156299018.7760671,156299018.7760668,11496552.306001172 
 01/02  08:00:00,168089174.08542408,168089174.08542369,11653539.227520593 
 01/02  09:00:00,157804093.35216875,157804093.35216848,9169184.44367592 
 01/02  10:00:00,149930206.52739103,149930206.52739067,3358774.57210607 
 01/02  11:00:00,132592706.62600146,132592706.62600126,894746.7100963115 
 01/02  12:00:00,119683543.6565781,119683543.65657802,452665.79157995156 
 01/02  13:00:00,109575313.94069097,109575313.94069083,0.0 
 01/02  14:00:00,97998543.10368613,97998543.1036861,0.0 
 01/02  15:00:00,101692290.327295,101692290.32729493,0.0 
 01/02  16:00:00,103929259.78636514,103929259.78636512,0.0 
 01/02  17:00:00,136721357.2261126,136721357.22611238,0.0 
 01/02  18:00:00,181220001.95030273,181220001.95030243,0.0 
 01/02  19:00:00,205078551.46987985,205078551.46987955,0.0 
 01/02  20:00:00,198195800.86621578,198195800.86621539,0.0 
 01/02  21:00:00,177851257.2883149,177851257.28831459,0.0 
 01/02  22:00:00,163063436.63706178,163063436.63706143,0.0 
 01/02  23:00:00,129594636.26052389,129594636.26052374,0.0 
 01/02  24:00:00,89533775.36881985,89533775.36881988,384447.1045885595 
 01/03  01:00:00,65858527.77643706,65858527.77643714,1439807.6272464586 
 01/03  02:00:00,59343177.05864564,59343177.05864571,2327598.436558418 
 01/03  03:00:00,54541711.62416585,54541711.624165859,3255191.2731090497 
 01/03  04:00:00,51156043.12510953,51156043.12510948,4043863.2713582559 
 01/03  05:00:00,65544162.52097412,65544162.520974259,5905986.610711066 
 01/03  06:00:00,84519938.7681897,84519938.7681898,7011936.365441343 
 01/03  07:00:00,156258115.9317705,156258115.93177016,7702798.64237942 
 01/03  08:00:00,169481327.86017628,169481327.86017598,7010361.34694259 
 01/03  09:00:00,167042929.84649999,167042929.84649969,5189276.714959347 
 01/03  10:00:00,147650968.02740128,147650968.0274009,1645140.6089687038 
 01/03  11:00:00,138144252.0695109,138144252.0695107,362266.2133679857 
 01/03  12:00:00,129475494.1896217,129475494.18962151,0.0 
 01/03  13:00:00,110969167.11946261,110969167.11946249,0.0 
 01/03  14:00:00,107764793.93395549,107764793.93395533,0.0 
 01/03  15:00:00,98150706.6429826,98150706.6429827,0.0 
 01/03  16:00:00,113470402.93507363,113470402.9350735,0.0 
 01/03  17:00:00,141477486.8285646,141477486.8285643,0.0 
 01/03  18:00:00,170626739.10560794,170626739.10560764,0.0 
 01/03  19:00:00,201988221.68900807,201988221.68900777,0.0 
 01/03  20:00:00,194770204.3729692,194770204.37296886,0.0 
 01/03  21:00:00,186242659.7304127,186242659.7304123,0.0 
 01/03  22:00:00,158750305.52497999,158750305.52497969,0.0 
 01/03  23:00:00,131137055.22495248,131137055.22495225,0.0 
 01/03  24:00:00,97197818.83425306,97197818.834253,0.0 
 01/04  01:00:00,62667074.81168537,62667074.811685468,537265.9170249987 
 01/04  02:00:00,61422552.7340639,61422552.734063949,1129777.694063703 
 01/04  03:00:00,51122460.08946012,51122460.089460048,3044977.0770717265 
 01/04  04:00:00,59640928.453712668,59640928.45371273,6720948.733819127 
 01/04  05:00:00,56694840.092599738,56694840.092599708,10309495.738931902 
 01/04  06:00:00,91793695.73285058,91793695.73285061,12654906.877520914 
 01/04  07:00:00,153324840.41028554,153324840.4102852,14567845.093344544 
 01/04  08:00:00,166711820.4215099,166711820.42150963,13096769.259000559 
 01/04  09:00:00,166685897.79719533,166685897.79719503,9879946.800562676 
 01/04  10:00:00,152009030.24430723,152009030.24430684,2967605.8856584716 
 01/04  11:00:00,138698325.93512706,138698325.93512676,1005594.155898603 
 01/04  12:00:00,132334234.77993389,132334234.77993366,293189.04989320106 
