Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/01  01:00:00,3262877.775,88914729.58,513364041.1
 01/01  02:00:00,2373092.086,84723675.31,474999731.6
 01/01  03:00:00,2527480.42,84072702.76,479521185.1
 01/01  04:00:00,2677890.855,83912685.61,485675384.5
 01/01  05:00:00,2782040.814,91569909.33,490590718.1
 01/01  06:00:00,2849770.303,107820795,506882568.3
 01/01  07:00:00,2865444.157,126556820.2,554502741.9
 01/01  08:00:00,2850617.365,136228385.9,556731364.5
 01/01  09:00:00,2815826.283,105491119.4,563634587.2
 01/01  10:00:00,2669394.506,95093406.41,550669057.9
 01/01  11:00:00,2509224.922,84191612.42,536960509.4
 01/01  12:00:00,2329618.782,84281631,516622961.4
 01/01  13:00:00,2198100.052,83464922.94,505316865.1
 01/01  14:00:00,2145168.478,81841116.36,500534144.7
 01/01  15:00:00,2137751.491,81376647.82,497178412
 01/01  16:00:00,2277680.315,86580358.99,506758362.7
 01/01  17:00:00,2471113.763,129015157.2,513555286.4
 01/01  18:00:00,2620018.321,162504971.7,518801218.2
 01/01  19:00:00,2832696.231,170743742.5,528100069.8
 01/01  20:00:00,3167970.8,168158839.3,541164959.5
 01/01  21:00:00,3536051.196,167575915.3,553260723.8
 01/01  22:00:00,3859561.154,148816011.4,557552248.1
 01/01  23:00:00,4153506.669,124929914,572357506.7
 01/01  24:00:00,4493119.401,104900872.4,575189440.8
 01/02  01:00:00,4849765.649,92776160.79,580511530.2
 01/02  02:00:00,5155929.991,91513460.27,592441002.2
 01/02  03:00:00,5446218.175,91226991.53,603575230.6
 01/02  04:00:00,5901743.953,91839482.39,623782881.8
 01/02  05:00:00,6472404.515,100646565.5,649443650.3
 01/02  06:00:00,7010237.938,118039379.9,686020000.8
 01/02  07:00:00,7305049.258,137460427.9,745492055.8
 01/02  08:00:00,7423563.137,148491051.9,761831370.7
 01/02  09:00:00,7209682.074,125510631.1,753077081.6
 01/02  10:00:00,6277182.743,113164732.5,701406090
 01/02  11:00:00,5527414.899,100462662.8,649089630.2
 01/02  12:00:00,4916262.815,99033143.11,594449953
 01/02  13:00:00,4220109.602,95632991.88,550708816.5
 01/02  14:00:00,3416230.405,93156987.66,514067792
 01/02  15:00:00,2467228.386,90824969.13,483768556.2
 01/02  16:00:00,2317137.691,95899538.25,497948447
 01/02  17:00:00,3421317.042,140619534.9,544034692.5
 01/02  18:00:00,4478410.859,167240264.8,583408184.3
 01/02  19:00:00,5232366.421,175852436.3,608846831.2
