Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/01  01:00:00,5245592.901,95163047.32,584064049.8
 01/01  02:00:00,7495002.106,98918459.46,680678745
 01/01  03:00:00,7316406.362,97535009.83,672507512.2
 01/01  04:00:00,7694891.162,98055342.39,690637880.5
 01/01  05:00:00,7376829.657,104667555.8,676537137.1
 01/01  06:00:00,6925939.972,119570292.1,667223449.6
 01/01  07:00:00,7689019.605,140129111.1,741282576.8
 01/01  08:00:00,8276987.318,151261617,767424608.8
 01/01  09:00:00,7778013.419,123114750.4,751152387.5
 01/01  10:00:00,6094121.588,104672039,665580325.4
 01/01  11:00:00,5346283.554,91922500,618792743.8
 01/01  12:00:00,4760047.947,90581569.84,572567487.5
 01/01  13:00:00,3587399.743,87064992.27,517330838.3
 01/01  14:00:00,2389038.684,82278755.61,460241266.9
 01/01  15:00:00,1303634.606,79445636.36,423415160.2
 01/01  16:00:00,793969.7581,83168447.82,411159346.5
 01/01  17:00:00,671265.0139,117273417.2,410285004.2
 01/01  18:00:00,1503785.798,160344965.2,446117114.9
 01/01  19:00:00,1432432.987,167937481.7,445347612.3
 01/01  20:00:00,778382.6235,162978409.6,421071176.5
 01/01  21:00:00,1394390.147,163142350.8,444677000.9
 01/01  22:00:00,2273682.75,145878034.8,472835362.9
 01/01  23:00:00,2617942.967,122221318.9,490568469.9
 01/01  24:00:00,2484271.221,101085128.8,475449268.5
 01/02  01:00:00,2413993.871,87928328.57,463561932.8
 01/02  02:00:00,2377215.109,85823079.93,460739775.3
 01/02  03:00:00,1794534.354,83338669.88,435226881.3
 01/02  04:00:00,1310487.948,81595749.19,415685058.6
 01/02  05:00:00,2437437.464,91845083.93,461871406.5
 01/02  06:00:00,3159613.264,109731058.7,502978883.7
 01/02  07:00:00,1436250.656,124061757.8,476626883.5
 01/02  08:00:00,63553.14072,131229129.2,431200013.4
 01/02  09:00:00,0,112156218.6,416645136.4
