Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/01  01:00:00,0,79342377.53,371083031.2
 01/01  02:00:00,0,77231406.58,367921944
 01/01  03:00:00,0,76585913.13,378409165.1
 01/01  04:00:00,0,76578902.67,394558760
 01/01  05:00:00,0,84376936.64,406693474.5
 01/01  06:00:00,0,100503594.9,416321448.8
 01/01  07:00:00,0,118822091.7,437435026.6
 01/01  08:00:00,0,128269092.5,430297092.1
 01/01  09:00:00,0,97530532.5,437578245.5
 01/01  10:00:00,0,87154611.84,423601566.1
 01/01  11:00:00,0,75837992.72,394000020.9
 01/01  12:00:00,0,75316749.19,352412830.1
 01/01  13:00:00,0,73842532.61,319036467
 01/01  14:00:00,0,72315166.91,317166117.8
 01/01  15:00:00,0,72698321.8,340664962.7
 01/01  16:00:00,0,79291323.8,395557015.4
 01/01  17:00:00,0,121691047.1,406346460.2
 01/01  18:00:00,0,154834526.2,400961031.1
 01/01  19:00:00,0,162584828.3,398576659.5
 01/01  20:00:00,0,159208046.3,398942226.2
 01/01  21:00:00,0,157726392.4,396942638.2
 01/01  22:00:00,0,138196893.8,391135620.5
 01/01  23:00:00,0,113743145.3,400251049.2
 01/01  24:00:00,0,93051636.59,398951098
 01/02  01:00:00,0,80215120.97,398536766.7
 01/02  02:00:00,0,78327194.66,402265949.5
 01/02  03:00:00,0,77401436.6,403950961.9
 01/02  04:00:00,0,77016176.53,408003314.4
 01/02  05:00:00,0,84490058.32,409976790.5
 01/02  06:00:00,0,100591537.5,418882280.5
 01/02  07:00:00,9474.133929,119324429.9,452821845.4
 01/02  08:00:00,36664.46659,130086663.1,463064580.5
 01/02  09:00:00,364112.7642,108074632.5,487907345.8
 01/02  10:00:00,291994.7625,97823124.51,475474502.3
 01/02  11:00:00,0,86158783.56,441606867.2
 01/02  12:00:00,0,85500184.98,392812994
 01/02  13:00:00,0,83413339.77,368459988.1
 01/02  14:00:00,0,83194143.04,376376235.4
 01/02  15:00:00,0,82831971.72,377041220
 01/02  16:00:00,0,87376197.2,370391239.9
 01/02  17:00:00,0,129460059.8,370398754.5
 01/02  18:00:00,0,154399570.7,364532701.9
 01/02  19:00:00,0,161385199.3,360575716
 01/02  20:00:00,0,158493510.5,375802216.9
 01/02  21:00:00,0,156804505.3,367631215
 01/02  22:00:00,0,136898065.2,350386756.2
 01/02  23:00:00,0,112801882.1,370580732.8
 01/02  24:00:00,0,91974075.25,364918748.1
 01/03  01:00:00,0,79238822.85,367528140.6
 01/03  02:00:00,0,77220707.56,367060685.6
 01/03  03:00:00,0,75993490,359250530.1
 01/03  04:00:00,0,75529848.44,361094005.4
 01/03  05:00:00,0,82940105.39,361343044.7
 01/03  06:00:00,0,99408464.94,382223211.5
 01/03  07:00:00,0,118850411,439163006.9
 01/03  08:00:00,0,129831069,457207129.7
 01/03  09:00:00,0,107650209.8,482786255.7
 01/03  10:00:00,313708.3732,98493429.75,493953781.9
 01/03  11:00:00,486764.5699,88045869.57,484780092.3
 01/03  12:00:00,585456.1611,89002087.03,483227029.4
 01/03  13:00:00,608880.9424,87464932.77,475240050.2
 01/03  14:00:00,524471.4866,86554526.08,464956537.7
 01/03  15:00:00,547176.3039,86317798.89,468301569.7
 01/03  16:00:00,839585.5642,91834691.52,482995880.8
 01/03  17:00:00,1169455.498,134731115.5,497940870.6
 01/03  18:00:00,1275219.93,159979016.7,496506843.9
 01/03  19:00:00,1664078.448,167882454.8,508919162.3
 01/03  20:00:00,1971535.951,165149434.6,520239878.5
 01/03  21:00:00,2056776.276,163760934.5,518501488.6
 01/03  22:00:00,2172051.509,144432985.7,515284004.2
 01/03  23:00:00,2328160.474,120157220.8,525449749.7
 01/03  24:00:00,2488446.131,99649701.29,525242148.3
 01/04  01:00:00,2941735.197,87747128.44,541117254.6
 01/04  02:00:00,3288149.295,86575685.45,557288752.3
 01/04  03:00:00,3393836.852,85834063.34,561352802.3
 01/04  04:00:00,3482245.421,85542392.94,565689722.1
 01/04  05:00:00,3550439.781,93150343.47,569568471
 01/04  06:00:00,3583434.729,109326250.2,579543466.1
 01/04  07:00:00,3592116.6,128056955.1,613354196.8
 01/04  08:00:00,3613674.06,138859186.9,624894122.7
 01/04  09:00:00,3375850.709,115222189.8,616468712.7
 01/04  10:00:00,2734869.624,103305007.4,570768951.3
 01/04  11:00:00,2348816.715,91410364.75,533749502.2
 01/04  12:00:00,1876581.966,90401158.91,490331810.8
 01/04  13:00:00,1363578.671,87563017.86,459339243
 01/04  14:00:00,662350.3422,85448859.33,432015201.7
 01/04  15:00:00,342252.672,84692061.71,431216600.8
 01/04  16:00:00,412390.9185,90295235.75,453831608.5
 01/04  17:00:00,684358.7651,133246666.1,470224949.1
 01/04  18:00:00,1237310.992,159612261.6,490328747.8
 01/04  19:00:00,1668508.461,167649875.3,504606318
 01/04  20:00:00,2188145.181,165440104.2,525299265.5
 01/04  21:00:00,2617170.37,164898679.9,539266981.8
 01/04  22:00:00,2843650.777,145815226.6,539737988.8
 01/04  23:00:00,3405501.134,122506736.9,568197966.6
 01/04  24:00:00,4528146.792,104413434.9,616112871.6
 01/05  01:00:00,4911179.584,92279831.92,626546001.9
 01/05  02:00:00,5178728.742,90881059.86,637643802.5
 01/05  03:00:00,5547198.562,90814791.49,655290898.4
 01/05  04:00:00,5371740.245,89784751.31,643593391.4
 01/05  05:00:00,5196756.924,96736064.51,633434658.6
 01/05  06:00:00,5238753.768,112910637.9,643134766.6
 01/05  07:00:00,5261200.467,131669972.2,677422344.1
 01/05  08:00:00,5506421.47,143181885.8,705124572.5
 01/05  09:00:00,5007153.973,118685469.7,677696353
 01/05  10:00:00,3845475.07,105529575.3,607313028.2
 01/05  11:00:00,2822345.027,92355613.29,546838457.8
 01/05  12:00:00,2311323.961,91806801.9,516587591.8
 01/05  13:00:00,2115651.142,90028242.33,508119008.5
 01/05  14:00:00,1962684.314,89433158.16,509149105.9
 01/05  15:00:00,1858518.997,88951516.73,509121802.2
 01/05  16:00:00,1787757.336,93826048.18,514124806.3
 01/05  17:00:00,2102311.314,136701502.8,529711360.2
 01/05  18:00:00,2323160.281,162299586.1,536095672.8
 01/05  19:00:00,2332438.229,169248443.1,530337010
 01/05  20:00:00,2367578.522,165873202.1,529818584.7
 01/05  21:00:00,2418271.646,164456441.5,528266548.1
 01/05  22:00:00,2491249.418,145028261,523335577
 01/05  23:00:00,2597008,120655259.5,532095132.9
 01/05  24:00:00,2728212.019,100122894,531969223.1
 01/06  01:00:00,2863374.789,87467756.67,533298640.6
 01/06  02:00:00,2974177.073,85758592.63,539176900.2
 01/06  03:00:00,2731016.575,84157876.56,526416892.1
 01/06  04:00:00,2536728.419,83187969.6,517930918
 01/06  05:00:00,2840638.618,91386979.68,534209395.2
 01/06  06:00:00,3000420.271,107849803.8,550731182.9
 01/06  07:00:00,2935240.726,126429437.1,582797679.7
 01/06  08:00:00,3219380.666,137906768.2,608360526.1
 01/06  09:00:00,3513521.542,115867763.2,634234611.9
 01/06  10:00:00,3484545.029,105767357.6,625858626.4
 01/06  11:00:00,3231731.061,94632758.19,606436645.4
 01/06  12:00:00,2969856.713,94588502.28,584427136.9
 01/06  13:00:00,2535683.329,92081529.08,558798103.7
 01/06  14:00:00,2250064.524,90790246.5,541743193.2
 01/06  15:00:00,2213044.173,90262946.2,538503734.6
 01/06  16:00:00,2139853.389,94889804.08,536118602.6
 01/06  17:00:00,2082245.529,136735366.8,530737148.6
 01/06  18:00:00,1997467.157,161523881.6,520858973.8
 01/06  19:00:00,1601587.627,167453370.1,496005864.7
 01/06  20:00:00,1153750.213,163365981,486569415.2
 01/06  21:00:00,988485.114,161498864.3,477391865
 01/06  22:00:00,1004455.767,141998853.1,472031435.8
 01/06  23:00:00,756600.3045,116835582.7,466478689.4
 01/06  24:00:00,894250.845,96352710.49,467805466.1
 01/07  01:00:00,1161451.287,84052004.17,476375017.2
 01/07  02:00:00,1197532.711,82167273.07,479277827
 01/07  03:00:00,1218699.014,81254810.84,480816590.2
 01/07  04:00:00,1237006.114,80833295.88,483410337.6
 01/07  05:00:00,1240500.498,88291967.88,484918733.1
 01/07  06:00:00,1209215.885,104313878.3,492750187.4
 01/07  07:00:00,721255.5542,121332317.8,490832765.4
 01/07  08:00:00,371552.5211,130128505.6,475003154.8
 01/07  09:00:00,333621.9007,99411658.41,483959262.6
 01/07  10:00:00,303954.5646,89258228.29,476913491.8
 01/07  11:00:00,52894.93431,77942708.01,454043118.8
 01/07  12:00:00,6249.380672,78343026.8,441905568.7
 01/07  13:00:00,0,77452717.82,426085246.9
 01/07  14:00:00,0,75516646.67,411181650.2
 01/07  15:00:00,0,75019444.02,408021988.8
 01/07  16:00:00,0,79889897.83,410973736.2
 01/07  17:00:00,0,122088945.9,414515876.9
 01/07  18:00:00,0,154656295.3,392038926.5
 01/07  19:00:00,0,161840370,373231278.5
 01/07  20:00:00,0,158342122.3,370214230.7
 01/07  21:00:00,0,156745365.9,364982487.9
 01/07  22:00:00,0,137788854.9,375230018.5
 01/07  23:00:00,0,113671803,394858922.1
 01/07  24:00:00,0,92363568.23,375538011.4
 01/08  01:00:00,0,79382372.48,369831738.1
 01/08  02:00:00,0,77353210.17,369497314.1
 01/08  03:00:00,0,76701457.16,380258016.3
 01/08  04:00:00,0,76370165.37,385406873.9
 01/08  05:00:00,0,84060198.57,392477334.9
 01/08  06:00:00,0,99642089.01,387152472.9
 01/08  07:00:00,0,117687935.9,401722028
 01/08  08:00:00,0,126968578.1,390352143.9
 01/08  09:00:00,0,96117531.5,394389594.7
 01/08  10:00:00,0,86077628.93,388376845.8
 01/08  11:00:00,0,74917255.85,362415894
 01/08  12:00:00,0,74369559.37,320514700.4
 01/08  13:00:00,0,73441773.23,303391800.1
 01/08  14:00:00,0,71609932.58,292746416.3
 01/08  15:00:00,0,70968363.26,285629562
 01/08  16:00:00,0,75595845.96,282160593.3
 01/08  17:00:00,0,117519957.6,278371984.8
 01/08  18:00:00,0,150556307.4,271336569.9
 01/08  19:00:00,0,158172558,266117949
 01/08  20:00:00,0,155056613.4,274278236.3
