Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/01  01:00:00,5402843.875,94020365.94,626997136.7
 01/01  02:00:00,7845042.917,98171150.03,742746579.8
 01/01  03:00:00,7838769.564,97380738.62,746116179.5
 01/01  04:00:00,7985396.228,97176990.84,750204770
 01/01  05:00:00,8055496.985,104662383.5,749680328.9
 01/01  06:00:00,8078205.149,120714976.4,757715648.6
 01/01  07:00:00,8154407.717,139546464.6,798013918.5
 01/01  08:00:00,7963845.506,133235994.5,788176747.9
 01/01  09:00:00,7104643.736,115332998.7,742938093.4
 01/01  10:00:00,5730463.684,101191908.1,655556472.2
 01/01  11:00:00,4374818.894,86916278.6,577119428.3
 01/01  12:00:00,3117063.22,84375094.05,511963537.8
 01/01  13:00:00,2156693.141,82101373.53,482110877.9
 01/01  14:00:00,1428776.738,79354796.11,464133624.2
 01/01  15:00:00,1080246.349,78346046.04,455347588.5
 01/01  16:00:00,1051502.188,83407033.62,464879973.5
 01/01  17:00:00,1114673.586,125744160.5,471245383.3
 01/01  18:00:00,1359620.007,159605512.5,481865749.4
 01/01  19:00:00,1704619.469,168158861.2,494649579.6
 01/01  20:00:00,1584263.941,164406965.1,486983937.9
 01/01  21:00:00,1592098.862,162809251.9,480882528.4
 01/01  22:00:00,1617810.739,143264695.4,472642793.7
 01/01  23:00:00,1795751.003,119107020.9,483939293.2
 01/01  24:00:00,2068454.277,98959812.08,488014456.7
 01/02  01:00:00,2857237.183,87910280.62,515450504.3
 01/02  02:00:00,3144495.372,86670362.76,529034115.1
 01/02  03:00:00,3185922.419,85794077.42,530097350.6
 01/02  04:00:00,3235565.071,85390564.17,531909908.6
 01/02  05:00:00,2697079.296,91497580.81,508743969.7
 01/02  06:00:00,2338261.388,106645678,502220723.4
 01/02  07:00:00,2129406.971,124782807.2,531501158.5
 01/02  08:00:00,1937367.901,119559282.9,533516196.3
 01/02  09:00:00,1665470.232,112221112.1,530557180.6
 01/02  10:00:00,1203902.5,100976598.5,499590322
 01/02  11:00:00,531097.48,88769368.82,461979059.3
 01/02  12:00:00,43625.72183,88032556.52,427954187.5
 01/02  13:00:00,0,86006841.8,409089173
 01/02  14:00:00,0,85762974.51,415750783.6
 01/02  15:00:00,51113.19884,86101041.54,433643813.8
 01/02  16:00:00,6281.146287,90846663.79,435193481.3
 01/02  17:00:00,0,132807089.6,432806461.8
 01/02  18:00:00,133290.4507,157928264.5,450435264.6
 01/02  19:00:00,129607.5491,164763920.4,443363988.5
 01/02  20:00:00,0,160587960.1,425554771.4
 01/02  21:00:00,0,158646137.4,409706012.8
