Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/01  01:00:00,5107489.844,94458354.28,617044597.2
 01/01  02:00:00,4204511.578,90102569.58,574010186.5
 01/01  03:00:00,4310369.805,89205743.83,573401197.6
 01/01  04:00:00,4406594.373,88900352.27,577237743.6
 01/01  05:00:00,4466412.807,96480717.13,581360546.3
 01/01  06:00:00,4505372.679,112689152.5,597343080.1
 01/01  07:00:00,4504788.618,131406113.6,644950697.5
 01/01  08:00:00,4480513.184,141068697.5,647273144.8
 01/01  09:00:00,4445811.881,110328964.5,654154226.7
 01/01  10:00:00,4290640.289,99774422.4,637168096.1
 01/01  11:00:00,4079139.091,88554408.53,616260943.8
 01/01  12:00:00,3819909.43,88335166.22,589738637
 01/01  13:00:00,3588356.846,87231067.13,573425035.8
 01/01  14:00:00,3427454.076,85399169.08,566018621.9
 01/01  15:00:00,3329402.864,84872806.9,563488626
 01/01  16:00:00,3423318.554,90174859.45,577008067.8
 01/01  17:00:00,3638851.981,132851832.1,589744725.6
 01/01  18:00:00,3878084.997,166687399.5,601832391.6
 01/01  19:00:00,4220908.653,175241451,616172776.3
 01/01  20:00:00,4680508.248,172900078.4,632604317.6
 01/01  21:00:00,5157630.292,172537490.7,647850952.4
 01/01  22:00:00,5569232.566,153989940.7,655619885.9
 01/01  23:00:00,5928616.616,130286651.2,673687383.8
 01/01  24:00:00,6314972.873,110397495.3,679130036.4
 01/02  01:00:00,6703939.674,98382552.53,686625901.9
 01/02  02:00:00,7035049.042,97211983.52,700432883.3
 01/02  03:00:00,7350264.736,97009928.92,713259240.6
 01/02  04:00:00,7830317.231,97704819.12,735224995.9
 01/02  05:00:00,8428724.079,106616503.9,763240699.5
 01/02  06:00:00,9006799.219,124144412.9,802684143.3
 01/02  07:00:00,9356084.942,143725722.7,865290203.2
 01/02  08:00:00,9536822.592,154916508.4,884727938.6
 01/02  09:00:00,9435222.802,132202061.5,875484440.2
 01/02  10:00:00,8590343.131,119406343,807083704.8
 01/02  11:00:00,7735983.26,105991780.9,736544590.4
 01/02  12:00:00,6906635.827,103929682.4,669767717.4
 01/02  13:00:00,6018693.623,100037726.3,617426213.6
 01/02  14:00:00,5082831.165,97241376.03,575549549.7
 01/02  15:00:00,3980790.266,94586917.12,540778249.9
 01/02  16:00:00,3706459.664,99529386.94,555118775.3
 01/02  17:00:00,4689414.057,144377994.6,609126044.3
 01/02  18:00:00,5849920.142,171557555.6,668031182.3
 01/02  19:00:00,6857318.794,180980024.4,708886186.9
 01/02  20:00:00,7803350.521,179948221.1,749713234.4
 01/02  21:00:00,8728193.661,180723734.6,786063435.5
 01/02  22:00:00,9255337.167,162483540.6,799770425.3
 01/02  23:00:00,9514697.972,138535599.1,813599778.5
 01/02  24:00:00,9760066.135,118297650,812968259.3
 01/03  01:00:00,9912006.591,105693700.1,809903475.2
 01/03  02:00:00,9964205.928,103811443.5,810695770.2
 01/03  03:00:00,9965240.429,102810471.2,809002050.7
 01/03  04:00:00,9936923.967,102243326.7,808153308.8
 01/03  05:00:00,9909723.609,109597844.7,807768378.7
 01/03  06:00:00,9832124.407,125490209.6,817339837
 01/03  07:00:00,9581477.101,143562201.7,852573736.1
 01/03  08:00:00,9274053.236,153516106.6,849744385.7
 01/03  09:00:00,8936003.21,130638956.7,838491895.3
 01/03  10:00:00,8159804.387,118278863.8,781881947
 01/03  11:00:00,7296020.717,105132157.6,720632398.1
 01/03  12:00:00,6508569.165,103630905.5,669701324.2
 01/03  13:00:00,5999013.3,101047502.5,645136291.3
 01/03  14:00:00,5709520.141,100015431.5,636027445.9
 01/03  15:00:00,5524793.897,99462194.08,634773848.8
 01/03  16:00:00,5546693.631,104684655.7,648027827.7
 01/03  17:00:00,5688510.101,147228511.1,659326438.8
 01/03  18:00:00,5810649.617,171746334.4,670598187.6
 01/03  19:00:00,5963625.323,178910956.8,671304184.6
 01/03  20:00:00,6140346.862,175918994.1,677340019.7
 01/03  21:00:00,6355260.762,174951723.6,682853059.7
