Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/01  01:00:00,10202410.05,105993210.8,813638242.5
 01/01  02:00:00,10250002.04,104090590.9,814689582.2
 01/01  03:00:00,10202156.79,102941383.7,810399379.9
 01/01  04:00:00,9913682.255,101724028,798069517.2
 01/01  05:00:00,9804241.991,108865123.7,794209603.1
 01/01  06:00:00,10130582.81,125718664.1,822814685.3
 01/01  07:00:00,10566197.54,145505591,894237393.3
 01/01  08:00:00,10536379.69,155187875,897419730.4
 01/01  09:00:00,10788700.95,148368416,918267716.1
 01/01  10:00:00,11098991.11,139149383.5,925561304.9
 01/01  11:00:00,11324953.18,129222052.2,928269414.5
 01/01  12:00:00,11424445.41,110680057.6,918267226.2
 01/01  13:00:00,11389458.58,106270954.5,910900603.3
 01/01  14:00:00,11232930.48,104371756.6,899894160.3
 01/01  15:00:00,10790439.27,114407941.2,875900357.2
 01/01  16:00:00,10563695.37,130248276.2,868473527.8
 01/01  17:00:00,10362466.74,156219499.8,857307956.5
 01/01  18:00:00,10176090.68,181115337.6,847598146.1
 01/01  19:00:00,10101892.12,188594162.7,843871253.7
 01/01  20:00:00,10031697.48,184967560.9,838396746.8
 01/01  21:00:00,10149907.9,183728989.6,838789676.4
 01/01  22:00:00,10260597.18,164475422.2,834413174.1
 01/01  23:00:00,10294168.76,139998811.3,839458127.8
 01/01  24:00:00,10366897.23,119366056.6,831075877.3
 01/02  01:00:00,10443778.6,106594637.8,824348378.1
 01/02  02:00:00,10491404.48,104718702.3,825754227
 01/02  03:00:00,10515961.91,103782259.4,825554708.4
 01/02  04:00:00,10534155.07,103325616.1,827011993
 01/02  05:00:00,10723482.02,111184724.7,836046522.2
 01/02  06:00:00,10820200.84,127472711.9,854411534.9
 01/02  07:00:00,10420565.7,145249007.6,889742178.6
 01/02  08:00:00,10170420.29,155378523.1,891046140.5
 01/02  09:00:00,10605103.46,158027011.7,915912061.6
 01/02  10:00:00,11474103.43,150119712.1,943259240.9
 01/02  11:00:00,12122990,141250989.4,964320667.1
 01/02  12:00:00,12477942.48,123422436.4,966967802.2
 01/02  13:00:00,12828381.99,119006214.7,976541314.5
 01/02  14:00:00,13024262.99,118876409.4,978957926
 01/02  15:00:00,13087671.5,130117131.7,975813306.8
 01/02  16:00:00,13144006.34,146637594.7,979806276.3
 01/02  17:00:00,13181892.9,173168102.4,977580252.3
 01/02  18:00:00,13184655.11,189180993.5,979220602.2
 01/02  19:00:00,12921090.48,195159706.2,957358039.7
 01/02  20:00:00,12933842.87,191756194.6,956082701.7
 01/02  21:00:00,13074119.13,190575724.5,957470084.1
 01/02  22:00:00,13098947.55,171109030.2,949045104.7
 01/02  23:00:00,13164067.85,146673315.1,954500758.6
 01/02  24:00:00,13234740.09,126014055.1,945640832
 01/03  01:00:00,13309187.13,113225803.9,938679882.9
 01/03  02:00:00,13550867.85,111801000.7,948131897.2
 01/03  03:00:00,13734936.59,111248595.3,954767999.2
 01/03  04:00:00,13623395.63,110496058,950746578
 01/03  05:00:00,14106423.6,119050537.8,972470280.7
 01/03  06:00:00,14897232.59,137012268.4,1021509719
 01/03  07:00:00,15737767.25,157756871.7,1110806697
 01/03  08:00:00,16556928.05,170480206.9,1160155912
 01/03  09:00:00,17368191.82,173953477.4,1202181761
 01/03  10:00:00,17825076.71,165076460.4,1212897831
 01/03  11:00:00,18352117.33,155822745.2,1226832166
 01/03  12:00:00,18034698.45,136265340.4,1195865969
 01/03  13:00:00,17027214.41,128568809.6,1143092896
 01/03  14:00:00,16389791.21,126378489.2,1106308797
 01/03  15:00:00,16721215.73,138217894.6,1114425826
 01/03  16:00:00,17904865.82,157339522.5,1166964391
 01/03  17:00:00,18495019.19,185275602.4,1192560099
 01/03  18:00:00,18880857.57,202432882.4,1215708716
 01/03  19:00:00,18762498.05,208851739.3,1201964657
 01/03  20:00:00,19088020.71,206173926.6,1214030863
 01/03  21:00:00,18946851.22,204290186,1201876607
 01/03  22:00:00,17616161.12,181579183.8,1132148366
 01/03  23:00:00,16459676.97,154187274.3,1082196388
 01/03  24:00:00,15897319.26,131931820,1043289277
 01/04  01:00:00,14992019.91,116812157.5,993984228
 01/04  02:00:00,14155321.19,112804646.8,957036469.8
 01/04  03:00:00,13849378.78,111124631.8,944774585.6
 01/04  04:00:00,13361163.12,109588657.2,928663701.1
 01/04  05:00:00,12261316.9,114478138.2,885707092.3
 01/04  06:00:00,11379267.21,128483591.2,864397162.9
 01/04  07:00:00,11215768.45,146782638.8,909846894.7
 01/04  08:00:00,11139165.05,157302765.2,919093160.2
 01/04  09:00:00,10653107.64,157919592.5,907160822.9
 01/04  10:00:00,10137922.08,146759110.1,876983114.4
 01/04  11:00:00,9937838.877,135815316.4,860636801.1
 01/04  12:00:00,9705139.516,116486828.8,835776841.1
 01/04  13:00:00,9315192.539,110270560.4,813013174.8
 01/04  14:00:00,9137237.327,109308776.9,801554522.9
 01/04  15:00:00,9106179.897,116544585.6,797274936
 01/04  16:00:00,9227979.91,137108290.3,805561028.1
 01/04  17:00:00,9070006.169,163214554.8,797147932
 01/04  18:00:00,8818537.41,178537137.7,790526656.3
 01/04  19:00:00,8883877.065,185378641.4,785483387.9
 01/04  20:00:00,8714796.545,181537289.8,776660415.9
 01/04  21:00:00,8487245.764,179482103,762909790.3
 01/04  22:00:00,8462983.57,159879460.7,752062690.5
 01/04  23:00:00,8509874.203,135419294.8,757072020.2
 01/04  24:00:00,8773151.868,115222971.6,756028330.5
 01/05  01:00:00,8799503.348,102323309.6,746788095.6
 01/05  02:00:00,8569260.655,99798010.26,736791965
 01/05  03:00:00,8509667.647,98689061.8,733694348.2
 01/05  04:00:00,8891118.491,99130363.62,751201795.5
 01/05  05:00:00,9138021.355,107170276.3,763695354.5
 01/05  06:00:00,9251632.007,123570724.8,784748686.2
 01/05  07:00:00,9314098.44,142461388.7,840317452.4
 01/05  08:00:00,9636160.026,153971854.6,866591080.1
 01/05  09:00:00,10642049.55,158100055.4,915637475.2
 01/05  10:00:00,11406421.97,149982373.8,939963920.9
 01/05  11:00:00,11811935.78,140525540.6,950376193.6
 01/05  12:00:00,12169834.68,118717449.4,949718927.8
 01/05  13:00:00,12318678.86,117566811.3,947276688.4
 01/05  14:00:00,12201291.91,116700162.8,936493496.6
 01/05  15:00:00,11957355.67,123400495.7,921659801.1
 01/05  16:00:00,11873712.52,143476064.2,920525631.7
 01/05  17:00:00,11699999.45,169448057.9,907985142.5
 01/05  18:00:00,11338282.12,184517928.3,894555384.1
 01/05  19:00:00,11147397.02,190732963.7,877849441
 01/05  20:00:00,10929079.6,186761695.9,866320042
 01/05  21:00:00,10752126.13,184816635.2,854148753.8
 01/05  22:00:00,11072609,166038257.4,858116946
 01/05  23:00:00,11357510.12,142183771.4,874639336.1
 01/05  24:00:00,11249630.02,121168022.6,859852691.6
 01/06  01:00:00,11215403.65,108162229.4,849123005.3
 01/06  02:00:00,11299796.62,106396407.9,852561631.9
 01/06  03:00:00,11546161.8,106018998,862543849.6
 01/06  04:00:00,12250379.47,107231833.5,894405168.1
 01/06  05:00:00,12491262.75,115248822.8,906504511.6
 01/06  06:00:00,12177318.66,130637074.9,909088404
 01/06  07:00:00,11699833.16,148234527.1,940904197.8
 01/06  08:00:00,12015085.61,159669092.6,965360524.6
 01/06  09:00:00,12261526.27,161930456.3,982022938.6
 01/06  10:00:00,11467964.07,150140640.2,939824137.5
 01/06  11:00:00,10619316.41,137644177.9,894790851.3
 01/06  12:00:00,9944960.504,113320369.2,848667039.5
 01/06  13:00:00,9749006.259,111385997.4,833204142.4
 01/06  14:00:00,9771025.411,110895078.2,830373924.2
 01/06  15:00:00,8839566.841,116014738,788768275.6
 01/06  16:00:00,7937159.597,134141042.6,754088676
 01/06  17:00:00,7454024.141,159378672.7,729979464.3
 01/06  18:00:00,6463675.438,172837672.4,691854906
 01/06  19:00:00,4796470.522,175566216.6,617637034.4
 01/06  20:00:00,3239459.318,168348299.5,552414816.7
 01/06  21:00:00,3838866.694,168173812.9,570056952.1
 01/06  22:00:00,3979737.802,149032738.7,567688181.9
 01/06  23:00:00,3148660.41,122561800.3,539850121.3
 01/06  24:00:00,3209784.343,101879302.1,530258311.6
