Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/01  01:00:00,0,71846545.38,102251646.4
 01/01  02:00:00,0,71939461.41,137455860.1
 01/01  03:00:00,0,72116036.87,156737695.8
 01/01  04:00:00,0,72365270.29,168934285.8
 01/01  05:00:00,0,80822514.54,185890630.1
 01/01  06:00:00,0,98064309.56,212330976.3
 01/01  07:00:00,0,117810081.9,257501950.6
 01/01  08:00:00,0,115940522.4,258832053.8
 01/01  09:00:00,0,94127749.06,219856515.1
 01/01  10:00:00,0,80549181.32,147413228.3
 01/01  11:00:00,0,71153467.44,84445372.7
 01/01  12:00:00,0,76385007.81,52847361.16
 01/01  13:00:00,0,81509513.74,40013747.8
 01/01  14:00:00,0,86620487.15,29158281.22
 01/01  15:00:00,0,87908437.63,23090896.79
 01/01  16:00:00,0,85395319.25,26316056.17
 01/01  17:00:00,0,111139094.2,30616268.68
 01/01  18:00:00,0,144077127.7,40291746.82
 01/01  19:00:00,0,153732292.4,49099282.66
 01/01  20:00:00,0,149206214.1,54979022.44
 01/01  21:00:00,0,147497022.7,57575363.86
 01/01  22:00:00,0,127985986.3,63696278.4
 01/01  23:00:00,0,103229354.9,73127780.85
 01/01  24:00:00,0,83026925.67,77530702.87
 01/02  01:00:00,0,70463159.81,79036899.97
 01/02  02:00:00,0,68762809.43,83812751.38
 01/02  03:00:00,0,68155724.22,89726518.78
 01/02  04:00:00,0,67911307.1,94594974.4
 01/02  05:00:00,0,76351432.52,112520381.9
 01/02  06:00:00,0,93416376.83,137022613.8
 01/02  07:00:00,0,111646283.7,157332659.9
 01/02  08:00:00,0,110251460.3,155040220.2
 01/02  09:00:00,0,99428693.02,150626855.9
 01/02  10:00:00,0,87524791.43,103596785.3
 01/02  11:00:00,0,78639164.3,65727249.3
 01/02  12:00:00,0,81232721.24,46181299.93
 01/02  13:00:00,0,77011495,37448912.82
 01/02  14:00:00,0,74775879.43,32855314.07
 01/02  15:00:00,0,74643337.97,26309321.89
 01/02  16:00:00,0,78915426.28,27585139.11
 01/02  17:00:00,0,108021495.9,31823903.63
 01/02  18:00:00,0,138321286.2,43491212.01
 01/02  19:00:00,0,152101301,54732150.88
 01/02  20:00:00,0,148669401.1,65097690.2
 01/02  21:00:00,0,147478393.3,76383100.73
 01/02  22:00:00,0,128835625.1,87705815.27
 01/02  23:00:00,0,105134400.1,104631971
 01/02  24:00:00,0,84910614.37,108650905.3
 01/03  01:00:00,0,72472355.61,112699937.1
 01/03  02:00:00,0,71081354.13,122944910.8
 01/03  03:00:00,0,70751942.66,133415613.2
 01/03  04:00:00,0,70715223.03,140947450.9
 01/03  05:00:00,0,79136189.53,157498145.8
 01/03  06:00:00,0,96073060.15,179177289.3
 01/03  07:00:00,0,115061351.1,212321513.1
 01/03  08:00:00,0,113625577.9,209513603.9
 01/03  09:00:00,0,100938296.7,175296225.6
 01/03  10:00:00,0,88274296.05,108033766.1
 01/03  11:00:00,0,78599200.54,67492199.78
 01/03  12:00:00,0,76675539.63,48368564.64
 01/03  13:00:00,0,73695120.57,39942848.51
