Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/01  01:00:00,0,78508104.3,4278482.119
 01/01  02:00:00,0,71396718.84,2665409.966
 01/01  03:00:00,0,68158436.9,1455582.702
 01/01  04:00:00,0,66605376.91,1455582.589
 01/01  05:00:00,0,74152269.58,2665406.649
 01/01  06:00:00,0,90880228.68,11940721.89
 01/01  07:00:00,0,110918871.3,38960119.25
 01/01  08:00:00,0,106542374.1,41379766.8
 01/01  09:00:00,0,117070792.7,39766668.43
 01/01  10:00:00,0,143073780.9,34927373.34
 01/01  11:00:00,0,161697545.3,31701176.61
 01/01  12:00:00,0,169906239.1,25652057.75
 01/01  13:00:00,0,177981804.8,22425861.02
 01/01  14:00:00,0,181759065.5,20006213.47
 01/01  15:00:00,0,178008932.6,17586565.92
 01/01  16:00:00,0,179053629.9,20006213.47
 01/01  17:00:00,0,195431556.5,23232410.2
 01/01  18:00:00,0,215446925.3,30491352.84
 01/01  19:00:00,0,220924485.1,35733922.52
 01/01  20:00:00,0,206192492.9,34120824.16
 01/01  21:00:00,0,198176544,31297902.02
 01/01  22:00:00,0,176110456.9,25652057.75
 01/01  23:00:00,0,140977446.5,22425861.02
 01/01  24:00:00,0,102829935,12747270.83
 01/02  01:00:00,0,79756543.78,4280493.843
 01/02  02:00:00,0,73401027.62,2666606.785
 01/02  03:00:00,0,69233390.84,1455886.696
 01/02  04:00:00,0,67029632.11,1455887.552
 01/02  05:00:00,0,73335226.36,2666631.907
 01/02  06:00:00,0,90485496.43,11949024.61
 01/02  07:00:00,0,111420457.8,38989032.03
 01/02  08:00:00,0,107437911.1,41410525.08
 01/02  09:00:00,0,121369548.7,39796196.38
 01/02  10:00:00,0,142786312.5,34953210.29
 01/02  11:00:00,0,168149331.1,31724552.9
 01/02  12:00:00,0,188703527.4,25670820.3
 01/02  13:00:00,0,191643174.3,22442162.91
 01/02  14:00:00,0,209159180.2,20020669.86
 01/02  15:00:00,0,235397601.8,17599176.82
 01/02  16:00:00,0,214223204.3,20020669.86
 01/02  17:00:00,0,214206029.5,23249327.25
 01/02  18:00:00,0,220206880,30513806.38
 01/02  19:00:00,0,221429422.2,35760374.64
 01/02  20:00:00,0,203895510.7,34146045.95
 01/02  21:00:00,0,193639426.2,31320970.73
 01/02  22:00:00,0,168606476.5,25670820.3
 01/02  23:00:00,0,130270170.1,22442162.91
 01/02  24:00:00,0,97622686.38,12756190.73
 01/03  01:00:00,0,79027048.29,4282838.661
 01/03  02:00:00,0,74755881.64,2667767.237
 01/03  03:00:00,0,72571356.82,1456176.561
 01/03  04:00:00,0,71312309.94,1456177.366
 01/03  05:00:00,0,78284167.38,2667790.883
 01/03  06:00:00,0,95051668.96,11956846.01
 01/03  07:00:00,0,115946281.1,39016261.71
 01/03  08:00:00,0,112069050.5,41439492.81
 01/03  09:00:00,0,132365848.4,39824005.41
 01/03  10:00:00,0,158471884.6,34977543.19
 01/03  11:00:00,0,168361293.1,31746568.38
 01/03  12:00:00,0,180861618.1,25688490.62
 01/03  13:00:00,0,184695036.8,22457515.81
 01/03  14:00:00,0,190032471.6,20034284.7
 01/03  15:00:00,0,195191519.7,17611053.59
 01/03  16:00:00,0,200661172.2,20034284.7
 01/03  17:00:00,0,210800056.4,23265259.51
 01/03  18:00:00,0,215018171.7,30534952.83
 01/03  19:00:00,0,219756101.9,35785286.9
 01/03  20:00:00,0,206101536,34169799.49
 01/03  21:00:00,0,198827411.5,31342696.53
 01/03  22:00:00,0,172594796.8,25688490.62
 01/03  23:00:00,0,136379513.7,22457515.81
 01/03  24:00:00,0,101642796.3,12764591.38
 01/04  01:00:00,0,80907398.27,4285039.687
 01/04  02:00:00,0,75263139.7,2668855.729
 01/04  03:00:00,0,71732815.31,1456448.435
 01/04  04:00:00,0,70873578.56,1456449.19
 01/04  05:00:00,0,78645739.33,2668877.895
 01/04  06:00:00,0,94067584.46,11964181.64
 01/04  07:00:00,0,113827590.5,39041800.21
 01/04  08:00:00,0,107667929.1,41466661.43
