Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,70356595.92413694,70356595.92413688,175726970.50449733 
 01/01  02:00:00,87889175.28669717,87889175.28669724,177722845.57573755 
 01/01  03:00:00,66356897.85723224,66356897.85723218,174212510.29510046 
 01/01  04:00:00,71312078.84974955,71312078.8497495,140227353.10482786 
 01/01  05:00:00,83632985.04858852,83632985.04858858,142680251.06528683 
 01/01  06:00:00,112312313.97656225,112312313.97656246,129695589.28971112 
 01/01  07:00:00,191952626.8398025,191952626.83980254,127496537.0973456 
 01/01  08:00:00,203173374.31666909,203173374.31666903,145455605.43165723 
 01/01  09:00:00,196764321.40480275,196764321.40480236,153731997.99222873 
 01/01  10:00:00,164544542.6831636,164544542.6831634,131188523.35396464 
 01/01  11:00:00,139987407.99943937,139987407.9994396,126773720.41068132 
 01/01  12:00:00,146163450.77773068,146163450.77773074,135559097.59015338 
 01/01  13:00:00,131278922.08779653,131278922.08779669,127004426.58184377 
 01/01  14:00:00,107926934.928296,107926934.92829615,117751689.71524 
 01/01  15:00:00,120227237.50636165,120227237.50636205,112668272.7215782 
 01/01  16:00:00,125098198.4085979,125098198.40859795,119029525.19841814 
 01/01  17:00:00,163560329.8487391,163560329.848739,121692820.64384239 
 01/01  18:00:00,202401275.21320585,202401275.21320609,126859128.93174038 
 01/01  19:00:00,238393950.07428984,238393950.0742897,144038751.04011695 
 01/01  20:00:00,223990300.82886056,223990300.82886038,141183516.71749664 
 01/01  21:00:00,218043981.83250619,218043981.83250589,131112688.56417005 
 01/01  22:00:00,182717024.57080207,182717024.5708021,137173994.12177015 
 01/01  23:00:00,155336154.70331038,155336154.7033107,178911365.86061786 
 01/01  24:00:00,112265378.20415361,112265378.20415366,186783687.32421089 
 01/02  01:00:00,90701029.61568919,90701029.61568932,181182558.9630792 
 01/02  02:00:00,76096560.78488292,76096560.7848829,210446787.73872409 
 01/02  03:00:00,81250105.24615288,81250105.24615294,220389185.35608987 
 01/02  04:00:00,67007648.24076235,67007648.2407623,207114381.82408444 
 01/02  05:00:00,92956914.8781971,92956914.87819724,201132266.66872607 
 01/02  06:00:00,114770559.16498229,114770559.16498232,191387118.9837342 
 01/02  07:00:00,194635222.96294219,194635222.9629421,194896310.37309883 
 01/02  08:00:00,204510692.41641826,204510692.4164182,194852386.84108094 
 01/02  09:00:00,198800186.43493016,198800186.43492998,188579325.4315093 
 01/02  10:00:00,163077744.48910744,163077744.4891075,170464346.54219235 
 01/02  11:00:00,144466432.15367238,144466432.1536728,163173037.28184626 
 01/02  12:00:00,133141797.12887506,133141797.12887523,147551928.46824444 
 01/02  13:00:00,124348099.84271188,124348099.8427123,138278172.26158879 
 01/02  14:00:00,129668215.31955606,129668215.31955622,143221009.67777718 
 01/02  15:00:00,113987215.89795682,113987215.89795694,138865795.05713917 
 01/02  16:00:00,133029821.52090322,133029821.52090353,134356026.73526839 
 01/02  17:00:00,156684242.1388479,156684242.1388482,135056327.87176828 
 01/02  18:00:00,210629096.7588529,210629096.75885303,143733913.4338196 
 01/02  19:00:00,230486976.69909696,230486976.6990967,138221207.4239548 
 01/02  20:00:00,229483580.02847366,229483580.02847345,135496071.4219487 
 01/02  21:00:00,214902706.91837604,214902706.91837583,133623710.90714199 
 01/02  22:00:00,182797521.72930775,182797521.7293077,147289441.34693209 
 01/02  23:00:00,160613008.56559838,160613008.5655989,178095347.8668703 
 01/02  24:00:00,111924271.98341435,111924271.98341456,178613413.231368 
 01/03  01:00:00,91896718.89207578,91896718.89207591,211587975.43782277 
 01/03  02:00:00,68811650.650209,68811650.65020894,203544155.29961089 
 01/03  03:00:00,86710329.45987189,86710329.45987195,183067695.47405569 
 01/03  04:00:00,67208771.91743568,67208771.91743562,212906805.86037655 
 01/03  05:00:00,81576740.79292321,81576740.79292323,244877915.5486 
 01/03  06:00:00,130103955.73266465,130103955.7326648,244811812.93207277 
 01/03  07:00:00,196846011.79713566,196846011.7971355,251415588.82790656 
 01/03  08:00:00,207148423.5891807,207148423.58918066,272621349.62135967 
 01/03  09:00:00,200059793.28600244,200059793.28600235,243431914.66505 
 01/03  10:00:00,163357185.52764876,163357185.52764897,243931328.8937715 
 01/03  11:00:00,162460818.5714539,162460818.57145406,258751988.93294249 
 01/03  12:00:00,140449130.90384183,140449130.90384216,239764829.69294379 
 01/03  13:00:00,131448555.60629186,131448555.60629207,237690372.15941 
 01/03  14:00:00,130156872.6631525,130156872.66315273,246820646.78889577 
 01/03  15:00:00,129163394.24945614,129163394.24945638,245299220.16904906 
 01/03  16:00:00,141077564.6609503,141077564.66095049,243228717.32271404 
 01/03  17:00:00,164568105.64131499,164568105.64131538,239629887.41303415 
 01/03  18:00:00,214978112.3055131,214978112.30551303,246154930.2472279 
 01/03  19:00:00,234760623.52245606,234760623.522456,243236941.9834753 
 01/03  20:00:00,226756904.6521064,226756904.6521061,209048836.54528279 
 01/03  21:00:00,223257736.6148686,223257736.61486829,199394083.95596583 
 01/03  22:00:00,185192922.36954893,185192922.36954917,206458317.9308629 
 01/03  23:00:00,163056305.99963785,163056305.99963836,238722969.7061815 
 01/03  24:00:00,114444573.7644697,114444573.76446978,241153218.89663083 
 01/04  01:00:00,94527509.08457336,94527509.0845735,276959996.99447146 
 01/04  02:00:00,71422248.92335497,71422248.92335493,268501702.33632066 
 01/04  03:00:00,89838652.17126784,89838652.1712679,261380740.44844366 
 01/04  04:00:00,70150903.29372818,70150903.29372813,286974711.1656335 
 01/04  05:00:00,84006443.95139972,84006443.95139966,306771464.29064109 
 01/04  06:00:00,132582078.76400362,132582078.76400373,307986692.9954026 
 01/04  07:00:00,199573352.04552234,199573352.04552216,336101195.38701358 
 01/04  08:00:00,211817933.0016918,211817933.00169168,375083356.1334129 
 01/04  09:00:00,200158956.91177643,200158956.9117764,361134327.25140687 
 01/04  10:00:00,169957021.65677945,169957021.65677945,294226244.37726667 
 01/04  11:00:00,162437442.47807215,162437442.47807233,257711850.82413007 
 01/04  12:00:00,141000130.96171884,141000130.96171917,253357669.27951289 
 01/04  13:00:00,131385181.6344241,131385181.63442433,236128056.09812064 
 01/04  14:00:00,129965080.06289929,129965080.06289952,242546845.75301493 
 01/04  15:00:00,129999273.79353233,129999273.79353264,265493980.2638734 
 01/04  16:00:00,141867880.88894839,141867880.88894857,275797437.9938859 
