Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,56228785.35076098,56228785.35076105,24445545.48524952 
 01/01  02:00:00,73530763.69091648,73530763.69091636,29515065.32685329 
 01/01  03:00:00,52096219.316944409,52096219.316944319,28481193.00631121 
 01/01  04:00:00,58556694.539725039,58556694.539725039,31512207.50493706 
 01/01  05:00:00,70926944.80173782,70926944.80173788,34336504.39365183 
 01/01  06:00:00,100288980.57608672,100288980.57608678,36876405.8738646 
 01/01  07:00:00,180500233.16804097,180500233.1680407,41056025.848166238 
 01/01  08:00:00,209236664.25069577,209236664.2506956,43150681.176378447 
 01/01  09:00:00,182028668.41238899,182028668.41238875,40534122.4407992 
 01/01  10:00:00,164844425.11411465,164844425.1141144,26273098.64928662 
 01/01  11:00:00,151038469.14159418,151038469.1415941,18059609.357655735 
 01/01  12:00:00,131861028.54293898,131861028.54293874,13294113.148248934 
 01/01  13:00:00,132411526.45980375,132411526.45980364,10261625.915828996 
 01/01  14:00:00,126469873.6683298,126469873.66832975,8882234.03347572 
 01/01  15:00:00,122095226.90694691,122095226.90694694,7989764.395276307 
 01/01  16:00:00,120847151.65197799,120847151.65197784,8111297.975502944 
 01/01  17:00:00,164397443.778616,164397443.77861569,7895986.587729496 
 01/01  18:00:00,203235801.46972228,203235801.469722,6185080.424874695 
 01/01  19:00:00,221757643.99877347,221757643.99877323,5148335.342632703 
 01/01  20:00:00,216459292.7550797,216459292.7550795,4821814.127395412 
 01/01  21:00:00,210159878.41545613,210159878.41545577,6380057.529002052 
 01/01  22:00:00,172061708.31120754,172061708.3112072,7873132.815337879 
 01/01  23:00:00,145475727.46499927,145475727.46499915,10332114.180801027 
 01/01  24:00:00,108612318.3641415,108612318.36414132,12261736.62333506 
 01/02  01:00:00,66641039.70057828,66641039.70057838,19675039.840309945 
 01/02  02:00:00,70393735.92603885,70393735.92603886,20698829.631594398 
 01/02  03:00:00,55903421.15624773,55903421.156247798,22281974.47326509 
 01/02  04:00:00,53468748.6280212,53468748.62802114,23200943.166987167 
 01/02  05:00:00,74472818.72228913,74472818.7222892,21764377.574809214 
 01/02  06:00:00,101908868.50889519,101908868.50889518,25248857.788873376 
 01/02  07:00:00,180137943.38657818,180137943.38657788,29471051.20967926 
 01/02  08:00:00,206508759.7127142,206508759.71271397,32217733.475229064 
 01/02  09:00:00,182303325.41889603,182303325.4188957,34329655.908899758 
 01/02  10:00:00,165025196.4358869,165025196.4358867,29406105.48824028 
 01/02  11:00:00,148494048.48317085,148494048.48317037,21019975.094498137 
 01/02  12:00:00,134727142.04279525,134727142.0427951,14964225.222644462 
 01/02  13:00:00,126695048.70178864,126695048.7017884,12984797.46322872 
 01/02  14:00:00,127125518.3668438,127125518.36684358,12370530.026896939 
 01/02  15:00:00,117610164.33580262,117610164.33580253,12672573.699570649 
 01/02  16:00:00,124647861.26527196,124647861.2652718,12951770.36293619 
 01/02  17:00:00,158860328.1875592,158860328.1875589,13356452.661164195 
 01/02  18:00:00,201860877.24155859,201860877.24155826,15360562.262471229 
 01/02  19:00:00,228392336.62171645,228392336.62171603,16601180.244028446 
 01/02  20:00:00,209329665.7091725,209329665.70917208,14711776.491269159 
 01/02  21:00:00,207544529.09495918,207544529.0949588,16313640.308013833 
 01/02  22:00:00,172832202.17516399,172832202.17516367,17614876.78349944 
 01/02  23:00:00,150888107.83640648,150888107.83640618,20839844.79268162 
 01/02  24:00:00,102045045.19922629,102045045.1992264,27519492.897145604 
 01/03  01:00:00,65357260.083375047,65357260.08337514,40040234.02696423 
 01/03  02:00:00,66977730.5224829,66977730.52248296,38327435.45444115 
 01/03  03:00:00,58817711.43602522,58817711.43602527,41393341.29699142 
 01/03  04:00:00,62794272.719000298,62794272.719000358,47215860.35534342 
 01/03  05:00:00,67195477.9505685,67195477.95056862,47204990.69639795 
 01/03  06:00:00,102164623.38666572,102164623.38666576,52760542.53427946 
 01/03  07:00:00,188471866.38567508,188471866.38567478,54452208.5465367 
 01/03  08:00:00,201229966.75018508,201229966.75018478,58521496.33024433 
 01/03  09:00:00,186613828.05235113,186613828.05235086,58442038.19851686 
 01/03  10:00:00,167245598.23025058,167245598.23025037,53733066.144513849 
 01/03  11:00:00,151157571.56266395,151157571.5626637,43242124.90687577 
 01/03  12:00:00,136548396.58112104,136548396.58112077,43189499.78545861 
 01/03  13:00:00,130930354.402965,130930354.40296473,33884479.76260626 
 01/03  14:00:00,120210457.63276187,120210457.63276172,18834594.077402768 
 01/03  15:00:00,118774733.64077999,118774733.6407799,20128408.60697058 
 01/03  16:00:00,129429057.08479801,129429057.0847978,18521846.659273417 
 01/03  17:00:00,158051795.211556,158051795.21155567,22081893.17051274 
 01/03  18:00:00,207577437.5001339,207577437.50013358,39850983.62816659 
 01/03  19:00:00,226225156.58430959,226225156.58430923,41965046.059089448 
 01/03  20:00:00,210795764.8598113,210795764.85981105,33170993.640749508 
 01/03  21:00:00,199252169.9609781,199252169.96097777,37907042.029556449 
 01/03  22:00:00,182061540.20906718,182061540.20906688,41222907.2141284 
 01/03  23:00:00,146594617.41420935,146594617.4142091,53014740.34365429 
 01/03  24:00:00,100840405.11218715,100840405.11218724,59968568.14256011 
 01/04  01:00:00,74547622.31629619,74547622.3162962,67247306.22947541 
 01/04  02:00:00,60746154.939359318,60746154.93935934,72026498.90616597 
 01/04  03:00:00,59487098.466311659,59487098.46631177,73389469.51255784 
 01/04  04:00:00,66589521.632363948,66589521.63236398,71749924.35547282 
 01/04  05:00:00,64720736.31534152,64720736.31534166,68314035.13852105 
 01/04  06:00:00,103289977.37897066,103289977.37897073,62343315.999468978 
 01/04  07:00:00,191762533.36071683,191762533.36071656,64300843.07803275 
 01/04  08:00:00,198919049.9786575,198919049.97865726,77736121.2239226 
 01/04  09:00:00,196810130.74330173,196810130.74330149,75095340.92270383 
 01/04  10:00:00,169029169.89033438,169029169.89033414,60964614.6333563 
 01/04  11:00:00,145426646.28506495,145426646.28506477,50704048.61750001 
 01/04  12:00:00,141564920.385984,141564920.3859837,44876348.80682678 
 01/04  13:00:00,127602459.80702019,127602459.80702,41258904.689797308 
 01/04  14:00:00,123220039.51781951,123220039.51781927,41911976.4752115 
 01/04  15:00:00,110504949.55099914,110504949.55099914,38964299.10842213 
 01/04  16:00:00,124843223.13884852,124843223.13884828,36877313.511337418 
 01/04  17:00:00,160724337.44569934,160724337.44569896,36986501.32566938 
 01/04  18:00:00,211327153.4737073,211327153.473707,31736603.273376995 
 01/04  19:00:00,219576997.06616105,219576997.06616075,27234572.377545138 
 01/04  20:00:00,214027228.55972944,214027228.55972926,24119414.69395081 
 01/04  21:00:00,204403008.79548116,204403008.79548077,22336771.2770972 
 01/04  22:00:00,173729849.65565986,173729849.65565957,20932723.10146344 
 01/04  23:00:00,142398410.2362686,142398410.2362684,28880735.800249708 
 01/04  24:00:00,101108431.34351711,101108431.34351708,34867679.436159137 
 01/05  01:00:00,74786077.88218746,74786077.88218758,43137255.98170311 
 01/05  02:00:00,59987199.26443659,59987199.264436598,48712205.03929515 
 01/05  03:00:00,63943707.383071858,63943707.383071977,53216461.38919155 
 01/05  04:00:00,62430743.221394199,62430743.2213943,61976491.936007399 
 01/05  05:00:00,62517724.799066457,62517724.799066599,66429829.33651012 
 01/05  06:00:00,109924493.1372408,109924493.13724078,64205062.98936914 
 01/05  07:00:00,183316130.63024248,183316130.6302423,60396688.75339562 
 01/05  08:00:00,208338126.50480835,208338126.50480823,84598435.15142218 
 01/05  09:00:00,195498697.8443341,195498697.84433378,114776250.15381468 
 01/05  10:00:00,168650583.31149615,168650583.31149594,132226277.96988943 
 01/05  11:00:00,156413585.7635747,156413585.76357455,153135739.0979425 
 01/05  12:00:00,139813617.6122649,139813617.61226455,164146655.8211085 
 01/05  13:00:00,136987754.25809957,136987754.25809918,181153098.2365023 
 01/05  14:00:00,127873841.87879384,127873841.87879384,182398888.95894668 
