Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,87124099.68,87124099.68,0
 01/01  02:00:00,86125419.02,86125419.02,0
 01/01  03:00:00,87242531.11,87242531.11,0
 01/01  04:00:00,70773808.41,70773808.41,0
 01/01  05:00:00,82730065.64,82730065.64,0
 01/01  06:00:00,111227070.8,111227070.8,0
 01/01  07:00:00,149052641.4,149052641.4,0
 01/01  08:00:00,165085308.6,165085308.6,0
 01/01  09:00:00,151100437.5,151100437.5,0
 01/01  10:00:00,156938740.3,156938740.3,0
 01/01  11:00:00,196544441.7,196544441.7,0
 01/01  12:00:00,179656960.4,179656960.4,0
 01/01  13:00:00,186403050.7,186403050.7,0
 01/01  14:00:00,172260601.7,172260601.7,0
 01/01  15:00:00,172116156.6,172116156.6,0
 01/01  16:00:00,175878764.9,175878764.9,0
 01/01  17:00:00,200544175.4,200544175.4,0
 01/01  18:00:00,186898952.4,186898952.4,0
 01/01  19:00:00,212766018.1,212766018.1,0
 01/01  20:00:00,205985392.6,205985392.6,0
 01/01  21:00:00,194069533.4,194069533.4,0
 01/01  22:00:00,183288029.6,183288029.6,0
 01/01  23:00:00,171305760.3,171305760.3,0
 01/01  24:00:00,139410248,139410248,0
 01/02  01:00:00,104897528.4,104897528.4,0
 01/02  02:00:00,104973341.4,104973341.4,0
 01/02  03:00:00,88092113.99,88092113.99,0
 01/02  04:00:00,92978970.17,92978970.17,0
 01/02  05:00:00,104439082.4,104439082.4,0
 01/02  06:00:00,134091482.3,134091482.3,0
 01/02  07:00:00,151930838.8,151930838.8,0
 01/02  08:00:00,158169473.6,158169473.6,0
 01/02  09:00:00,163745935.8,163745935.8,0
 01/02  10:00:00,156575133.1,156575133.1,0
 01/02  11:00:00,156602241.2,156602241.2,0
 01/02  12:00:00,173143840.7,173143840.7,0
 01/02  13:00:00,186978976,186978976,0
 01/02  14:00:00,175271630.6,175271630.6,0
 01/02  15:00:00,172040137.7,172040137.7,0
