Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,56078887.33696635,56078887.33696631,6665655.842743865 
 01/01  02:00:00,60406269.77479799,60406269.77479795,7154015.579796417 
 01/01  03:00:00,65238696.011791568,65238696.01179153,8873633.566757728 
 01/01  04:00:00,51690472.66884146,51690472.668841417,11852397.697888717 
 01/01  05:00:00,75533348.99775005,75533348.99775,15679125.096937139 
 01/01  06:00:00,100639231.9983093,100639231.99830936,19403691.644770706 
 01/01  07:00:00,153638442.7664473,153638442.76644758,25578337.11344811 
 01/01  08:00:00,178913351.6999527,178913351.6999529,27404251.08393044 
 01/01  09:00:00,168142063.13852114,168142063.1385213,19706213.945431808 
 01/01  10:00:00,142894898.41735674,142894898.41735686,5742271.611262811 
 01/01  11:00:00,132451452.5966948,132451452.59669495,1290565.4024143555 
 01/01  12:00:00,133260918.04798612,133260918.04798633,42560.4565393091 
 01/01  13:00:00,124649341.97651051,124649341.97651088,0.0 
 01/01  14:00:00,121684151.66191036,121684151.66191072,0.0 
 01/01  15:00:00,106962638.54897462,106962638.54897465,0.0 
 01/01  16:00:00,116570785.28934507,116570785.28934531,0.0 
 01/01  17:00:00,141245943.72508864,141245943.72508884,0.0 
 01/01  18:00:00,196370805.88229615,196370805.8822962,0.0 
 01/01  19:00:00,209315173.3076394,209315173.30763937,0.0 
 01/01  20:00:00,205218745.41066549,205218745.4106656,0.0 
 01/01  21:00:00,195582631.0699641,195582631.06996403,0.0 
 01/01  22:00:00,162945310.3599371,162945310.35993756,0.0 
 01/01  23:00:00,133363385.63849867,133363385.638499,458473.46500249757 
 01/01  24:00:00,98182041.67977274,98182041.67977287,3462833.591577609 
 01/02  01:00:00,73478104.31847066,73478104.31847063,9148004.852968984 
 01/02  02:00:00,57210768.14228929,57210768.14228924,13048798.34409593 
 01/02  03:00:00,61679860.258280519,61679860.25828047,16711408.588521176 
 01/02  04:00:00,61344898.37526225,61344898.37526219,20904791.273240396 
 01/02  05:00:00,61612028.94982091,61612028.94982086,23427888.31903859 
 01/02  06:00:00,101370437.13149762,101370437.13149788,25495454.22721947 
 01/02  07:00:00,169936798.90227447,169936798.9022749,29559644.2711651 
 01/02  08:00:00,175587464.7844428,175587464.78444327,29012456.68078845 
 01/02  09:00:00,159426163.39433057,159426163.39433099,24066612.556188387 
 01/02  10:00:00,152878009.0207596,152878009.02076004,7808129.006721023 
 01/02  11:00:00,131184825.91468138,131184825.91468162,2047896.325203961 
 01/02  12:00:00,121333153.84265146,121333153.8426517,1076425.0284356268 
 01/02  13:00:00,107513671.10824874,107513671.10824906,0.0 
 01/02  14:00:00,106738220.90610464,106738220.90610498,0.0 
 01/02  15:00:00,101565192.86000796,101565192.86000815,0.0 
 01/02  16:00:00,106408552.54230462,106408552.54230486,0.0 
 01/02  17:00:00,138879145.78066323,138879145.78066374,0.0 
 01/02  18:00:00,191903539.06125648,191903539.06125657,0.0 
 01/02  19:00:00,213393426.3202446,213393426.32024453,0.0 
 01/02  20:00:00,202636624.67153684,202636624.6715371,0.0 
 01/02  21:00:00,189013357.8881896,189013357.88819013,0.0 
 01/02  22:00:00,167100886.72726564,167100886.72726614,0.0 
 01/02  23:00:00,138434695.07175375,138434695.07175429,392619.7392698504 
 01/02  24:00:00,94466856.59346265,94466856.59346274,1508258.4586187518 
 01/03  01:00:00,69515903.7332657,69515903.73326566,3717199.3725983139 
 01/03  02:00:00,62227605.43071174,62227605.4307117,5742076.619400951 
 01/03  03:00:00,56558393.57741266,56558393.57741262,8496827.182073914 
 01/03  04:00:00,61764559.2492466,61764559.24924657,10306400.58639924 
 01/03  05:00:00,67191891.2187887,67191891.21878864,13489502.014823463 
 01/03  06:00:00,95168728.48373465,95168728.4837347,14796205.21032088 
 01/03  07:00:00,165558331.5473559,165558331.54735638,16300692.398052708 
 01/03  08:00:00,169220500.78158675,169220500.78158719,15796930.982546924 
 01/03  09:00:00,172567506.94733075,172567506.94733123,12716573.087397628 
 01/03  10:00:00,149948289.74468858,149948289.744689,4406045.733422436 
 01/03  11:00:00,139574646.26992674,139574646.2699271,605818.9547706671 
 01/03  12:00:00,127931777.13804704,127931777.13804735,0.0 
