Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,53124531.73562035,53124531.73562025,126185199.53279744 
 01/01  02:00:00,70525202.84821294,70525202.84821283,124766209.9894529 
 01/01  03:00:00,48640271.72522339,48640271.7252233,112577381.0981865 
 01/01  04:00:00,54466164.739014569,54466164.739014539,100243314.06188618 
 01/01  05:00:00,66002422.62237051,66002422.622370358,110838537.6585884 
 01/01  06:00:00,100783700.45026982,100783700.45026972,116770758.64407218 
 01/01  07:00:00,188635650.25221414,188635650.25221388,132270979.49233227 
 01/01  08:00:00,209958489.93642725,209958489.93642707,138804095.2138133 
 01/01  09:00:00,192710777.75756497,192710777.7575646,142327964.58394993 
 01/01  10:00:00,188222342.52390743,188222342.5239073,138039980.9449132 
 01/01  11:00:00,155575351.49016697,155575351.4901669,133956240.51550018 
 01/01  12:00:00,136381847.9593128,136381847.95931254,130517684.27970918 
 01/01  13:00:00,126728414.58686659,126728414.58686638,130294114.07155994 
 01/01  14:00:00,116978846.81201279,116978846.81201253,129119476.20784058 
 01/01  15:00:00,125678761.35691457,125678761.35691458,112047577.21548945 
 01/01  16:00:00,125033856.06887934,125033856.0688792,109554261.83279564 
 01/01  17:00:00,170062687.02598686,170062687.02598677,122258032.82948798 
 01/01  18:00:00,200564378.92560239,200564378.92560197,125234889.07836452 
 01/01  19:00:00,228206857.04765935,228206857.04765896,138782686.90870679 
 01/01  20:00:00,208793661.5285083,208793661.5285082,136212428.52559305 
 01/01  21:00:00,197475828.49555526,197475828.49555508,126656207.526794 
 01/01  22:00:00,182643280.8012915,182643280.80129118,124617799.59621796 
 01/01  23:00:00,141051885.38045816,141051885.38045807,129619745.44426495 
 01/01  24:00:00,93997488.3643828,93997488.36438288,129543704.61899938 
 01/02  01:00:00,73814509.45653297,73814509.45653288,139702282.3386501 
 01/02  02:00:00,52081974.61285059,52081974.6128505,142405546.47107459 
 01/02  03:00:00,68833055.41143583,68833055.41143582,139918756.87740527 
 01/02  04:00:00,48844592.198831807,48844592.19883171,134095062.82452412 
 01/02  05:00:00,73629810.01184687,73629810.01184677,126982710.11776583 
 01/02  06:00:00,93225084.83810665,93225084.83810674,108381707.90908411 
 01/02  07:00:00,183880015.78732739,183880015.787327,119399368.37604666 
 01/02  08:00:00,207851448.25829704,207851448.2582967,129582511.25795459 
 01/02  09:00:00,198801677.01976008,198801677.0197597,144878283.8558389 
 01/02  10:00:00,175201669.16506119,175201669.165061,156591326.30853493 
 01/02  11:00:00,164839510.70053865,164839510.70053847,173163531.61265914 
 01/02  12:00:00,144374707.37195445,144374707.37195427,179169662.96961207 
 01/02  13:00:00,128469273.10338874,128469273.10338867,173820989.55626176 
 01/02  14:00:00,125328634.47247634,125328634.47247598,153227531.32582999 
 01/02  15:00:00,119330957.72924297,119330957.729243,137484245.09057237 
 01/02  16:00:00,133328778.17937884,133328778.17937865,132988171.57436504 
 01/02  17:00:00,157241389.70566825,157241389.70566804,140733473.34969 
 01/02  18:00:00,204727754.36623366,204727754.3662334,144939624.7539757 
 01/02  19:00:00,229724867.864673,229724867.86467267,113386183.41793959 
 01/02  20:00:00,207816594.87534616,207816594.875346,113210145.80342469 
 01/02  21:00:00,197529469.92432136,197529469.92432115,126277612.2577686 
 01/02  22:00:00,168999138.60937823,168999138.60937787,127177738.74617552 
 01/02  23:00:00,154127928.84980289,154127928.8498028,120493615.98188433 
 01/02  24:00:00,92931664.05558209,92931664.05558214,104463573.82071617 
 01/03  01:00:00,72649548.86355438,72649548.86355427,112130549.23656 
 01/03  02:00:00,57002824.075318548,57002824.07531851,115533553.93176115 
 01/03  03:00:00,48783709.020460579,48783709.02046047,117837764.4894103 
 01/03  04:00:00,68191799.53409204,68191799.53409197,118473085.90588072 
 01/03  05:00:00,53174918.95016973,53174918.95016963,119334057.07328062 
 01/03  06:00:00,114046325.30394441,114046325.30394432,118650151.11929 
 01/03  07:00:00,174341942.18340338,174341942.18340308,124242335.07452487 
