Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,55813463.9629242,55813463.96292411,207957037.11297287 
 01/01  02:00:00,75187109.67698261,75187109.67698264,261204399.17116339 
 01/01  03:00:00,53965992.22362978,53965992.22362968,265898373.0917415 
 01/01  04:00:00,60662298.00194484,60662298.001944769,276002363.8922062 
 01/01  05:00:00,71813575.05133444,71813575.05133437,277207406.32253888 
 01/01  06:00:00,106317251.38982746,106317251.38982742,277194691.33761158 
 01/01  07:00:00,190699319.3928836,190699319.39288325,282352093.7084093 
 01/01  08:00:00,195699175.26919175,195699175.2691914,289767962.9692715 
 01/01  09:00:00,205436663.30844525,205436663.30844487,279570318.5738417 
 01/01  10:00:00,168469838.2237443,168469838.22374396,247064364.43348927 
 01/01  11:00:00,154270384.93796135,154270384.9379612,191628885.083148 
 01/01  12:00:00,127515695.11401664,127515695.11401645,135832767.50888605 
 01/01  13:00:00,126603165.0194889,126603165.01948886,140611505.25576315 
 01/01  14:00:00,117405857.60585816,117405857.60585803,152987613.74705858 
 01/01  15:00:00,120422845.49355367,120422845.4935537,149322718.82691566 
 01/01  16:00:00,123086136.52111642,123086136.52111629,140264098.4330179 
 01/01  17:00:00,155153955.02951078,155153955.0295104,150686879.78135226 
 01/01  18:00:00,203810292.27362339,203810292.27362309,136179319.13017199 
 01/01  19:00:00,215926444.76935155,215926444.76935125,129552891.26093754 
 01/01  20:00:00,200299122.0317117,200299122.03171153,134800291.7828444 
 01/01  21:00:00,204856286.5874512,204856286.58745108,136582506.4231106 
 01/01  22:00:00,175276266.29271815,175276266.29271785,143204229.6568185 
 01/01  23:00:00,141835504.27864785,141835504.27864776,163384374.2946716 
 01/01  24:00:00,94622163.28269163,94622163.28269165,155632077.47374464 
 01/02  01:00:00,74312934.10036195,74312934.10036196,161918589.00790409 
 01/02  02:00:00,58440298.29541482,58440298.295414779,159195631.67100797 
 01/02  03:00:00,63179528.79336528,63179528.793365109,158597632.92001669 
 01/02  04:00:00,49878359.31061322,49878359.310613129,169358886.1492421 
 01/02  05:00:00,61857501.27666972,61857501.27666969,168964256.15506656 
 01/02  06:00:00,107876389.74848263,107876389.74848245,151566190.16785295 
 01/02  07:00:00,174389804.9037164,174389804.90371619,140734092.68402059 
 01/02  08:00:00,209231938.81043566,209231938.8104353,142160583.86668153 
 01/02  09:00:00,178273022.6799997,178273022.67999936,119943813.17832005 
 01/02  10:00:00,169184850.94695635,169184850.94695623,93852543.20010168 
 01/02  11:00:00,144919853.35929279,144919853.35929255,102564104.03862034 
 01/02  12:00:00,146951308.87776504,146951308.87776489,89255854.48579382 
 01/02  13:00:00,121757125.28233637,121757125.2823364,81771941.59359274 
 01/02  14:00:00,117947006.0073545,117947006.00735441,89715009.75781965 
 01/02  15:00:00,114458584.22591274,114458584.22591277,94697149.16617948 
 01/02  16:00:00,124620062.09344538,124620062.09344533,83923376.00382516 
 01/02  17:00:00,151951170.11528153,151951170.1152815,79016399.26526305 
 01/02  18:00:00,203520264.8499689,203520264.84996856,90544700.19560799 
