Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,51300367.61851545,51300367.61851534,38880715.93366076 
 01/01  02:00:00,68555668.19413756,68555668.19413746,39302790.39294416 
 01/01  03:00:00,47417455.42313155,47417455.42313145,36847892.3037802 
 01/01  04:00:00,53520741.07987528,53520741.07987524,36909451.81180614 
 01/01  05:00:00,64445739.05278834,64445739.05278817,34500452.84125182 
 01/01  06:00:00,91447037.2002281,91447037.20022825,31690013.569206887 
 01/01  07:00:00,163496505.15437997,163496505.15437974,25227658.40576216 
 01/01  08:00:00,181625232.13399954,181625232.13399927,24409452.833599766 
 01/01  09:00:00,173747611.72723017,173747611.7272299,26311280.027956718 
 01/01  10:00:00,155578738.16670219,155578738.1667021,17705811.20994072 
 01/01  11:00:00,123332760.5694221,123332760.56942193,12540166.387992209 
 01/01  12:00:00,123221642.21085349,123221642.21085343,11405554.802308377 
 01/01  13:00:00,114910804.09932295,114910804.09932281,12239015.769331059 
 01/01  14:00:00,113111931.89528086,113111931.89528075,17978912.26955661 
 01/01  15:00:00,98981425.58032514,98981425.58032513,18988487.669343216 
 01/01  16:00:00,116021836.48967624,116021836.48967614,18393397.88764668 
 01/01  17:00:00,143443151.42695628,143443151.42695616,18637396.122024344 
 01/01  18:00:00,185732723.732032,185732723.7320318,13341117.205981605 
 01/01  19:00:00,203757772.2722085,203757772.2722082,13681014.096105434 
 01/01  20:00:00,191983391.61778636,191983391.6177862,15017845.859769054 
 01/01  21:00:00,175609158.82743094,175609158.82743076,17235722.064459597 
 01/01  22:00:00,160104617.9848693,160104617.98486898,23241597.38917061 
 01/01  23:00:00,128344932.23200602,128344932.23200603,29457016.483245315 
 01/01  24:00:00,104855617.0474231,104855617.04742295,34980690.627071838 
 01/02  01:00:00,58452489.17463243,58452489.1746324,40651907.73203851 
 01/02  02:00:00,61881308.52857496,61881308.528574798,40592283.29178372 
