Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,66638988.53,0,0,9191897.701,19285200,28085665.77,10076225.05,0.000302389,327001521.2,318573877.1,8427644.128
 01/01  02:00:00,64691591.34,0,0,9191897.701,19285200,25966257.16,10248236.48,0.000151194,329222244.3,324495416.3,4726828.051
 01/01  03:00:00,63674057.11,0,0,9191897.701,19285200,24906552.85,10290406.56,3.77985E-05,327600824.4,325649617.6,1951206.793
 01/01  04:00:00,63062352.89,0,0,9191897.701,19285200,24376700.69,10208554.5,3.77985E-05,323695509,321744302.2,1951206.759
 01/01  05:00:00,70468119.06,0,0,13777384,19285200,27266590.8,10138944.25,0.000151194,323666499.7,318939672.9,4726826.884
 01/01  06:00:00,86708267.57,0,0,21687347.87,19285200,35695631.8,10040087.9,0.001020559,342881831.2,316875250.3,26006580.85
 01/01  07:00:00,105601889.2,0,0,23445117.62,19285200,53083565.93,9788005.65,0.003553057,397877717,309882287.4,87995429.56
 01/01  08:00:00,115271994.3,0,0,21649135.49,19285200,64691719.85,9645938.963,0.003779848,398686495.9,305139826.1,93546669.75
 01/01  09:00:00,107951641.8,0,0,13204198.22,19285200,65221572,10240671.58,0.003628654,416308715.7,326462872.8,89845842.96
 01/01  10:00:00,98151235.97,0,0,11178941.77,19285200,57081753.83,10605340.37,0.003175072,418592554.4,339849191.8,78743362.59
 01/01  11:00:00,87775145.16,0,0,11178941.77,19285200,46581897.7,10729105.7,0.002872684,416088126.5,344746417.5,71341709.01
 01/01  12:00:00,72272166.88,0,0,11178941.77,3214200,47111749.85,10767275.26,0.002305707,404007482.9,346543874.4,57463608.55
 01/01  13:00:00,68623638.3,0,0,11178941.77,0,46581897.7,10862798.84,0.002003319,399758022.6,349696067.6,50061954.97
 01/01  14:00:00,67079281.71,0,0,11178941.77,0,44992341.23,10907998.71,0.001776528,394871192.9,350360478.1,44510714.78
 01/01  15:00:00,76046767.88,0,0,11178941.77,9642600,44462489.08,10762737.03,0.001549738,382355668,343396193.4,38959474.6
