Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,57601839.86,0,431604.2468,9191897.701,19285200,28085665.77,607472.1407,0.000249631,14000837.56,8782146.695,5218690.868
 01/01  02:00:00,55597056.11,0,145312.6855,9191897.701,19285200,25966257.16,1008388.566,0.000124814,20305860.65,17183504.36,3122356.292
 01/01  03:00:00,54807484.54,0,4602.662696,9191897.701,19285200,24906552.85,1419231.332,3.12035E-05,26008082.64,24457993.98,1550088.655
 01/01  04:00:00,54595044.97,0,0,9191897.701,19285200,24376700.69,1741246.578,3.12035E-05,31068608.9,29518520.32,1550088.578
 01/01  05:00:00,62457448.23,0,0,13777384,19285200,27266590.8,2128273.424,0.000124814,38700174.2,35577820.29,3122353.914
 01/01  06:00:00,79075930.11,0,0,21687347.87,19285200,35695631.8,2407750.437,0.000842495,54891580.75,39715193.87,15176386.88
 01/01  07:00:00,98353154.06,0,0,23445117.62,19285200,53083565.93,2539270.503,0.002933131,91561800.02,41271490.49,50290309.53
 01/01  08:00:00,98607383.76,0,10754.99203,21649135.49,9642600,64691719.85,2613173.423,0.003120352,95523843.33,42089003.4,53434839.93
 01/01  09:00:00,81193696.68,0,287835.9062,13204198.22,0,65221572,2480090.553,0.002995538,89949266.86,38610780.53,51338486.33
 01/01  10:00:00,71684997.93,0,1488774.372,11178941.77,0,57081753.83,1935527.964,0.002621095,69162112.45,24112686.91,45049425.54
 01/01  11:00:00,63506679.19,0,3874153.976,11178941.77,0,46581897.7,1871685.745,0.002371467,53300448.36,12443730.02,40856718.35
 01/01  12:00:00,66533104.01,0,6162739.217,11178941.77,0,47111749.85,2079673.177,0.001903415,38946615.83,5951223.47,32995392.36
 01/01  13:00:00,67723082.12,0,7695213.637,11178941.77,0,46581897.7,2267029.021,0.001653786,31167447.25,2364762.091,28802685.16
 01/01  14:00:00,68588027.83,0,9739397.812,11178941.77,0,44992341.23,2677347.021,0.001466565,25886801.02,228646.2499,25658154.77
 01/01  15:00:00,68888087.6,0,10405451.48,11178941.77,0,44462489.08,2841205.279,0.001279344,22513624.37,0,22513624.37
 01/01  16:00:00,71923632.18,0,8933504.831,14503419.33,0,46052045.54,2434662.468,0.001466565,25658154.77,0,25658154.77
 01/01  17:00:00,99555862.18,0,9594558.509,23406905.24,0,63969831.83,2584566.594,0.001716193,29850861.96,0,29850861.96
 01/01  18:00:00,136677918.4,0,8189445.771,30170497.53,12856800,83236545.25,2224629.82,0.002277857,39284453.15,0,39284453.15
 01/01  19:00:00,148610456.9,0,6075750.631,38309735.72,19285200,83236545.25,1703225.265,0.002683502,46097602.34,0,46097602.34
 01/01  20:00:00,143008108,0,4417839.1,44309080.3,19285200,73747799.95,1248188.677,0.002558688,44001248.74,0,44001248.74
 01/01  21:00:00,140443442.2,0,3652907.175,44844053.7,19285200,71628391.33,1032889.967,0.002340264,40332629.95,0,40332629.95
 01/01  22:00:00,119659544,0,2775033.586,33074638.86,19285200,63729202.5,795469.0294,0.001903415,32995392.36,0,32995392.36
 01/01  23:00:00,93326188.11,0,1705098.985,21305224.02,19285200,50531492.12,499172.9881,0.001653786,29070184.88,267499.7168,28802685.16
 01/01  24:00:00,71127813.36,0,873151.8679,12745649.59,19285200,37863633.89,360178.0198,0.000904902,18399297.97,2174734.39,16224563.58
 01/02  01:00:00,57575109.59,0,566033.4619,9191897.701,19285200,28085665.77,446312.6513,0.000249807,10477154.17,5252453.007,5224701.162
 01/02  02:00:00,55425819.26,0,412279.1545,9191897.701,19285200,25966257.16,570185.2442,0.000124903,11304168.73,8178153.677,3126015.054
 01/02  03:00:00,54337019.35,0,285475.8834,9191897.701,19285200,24906552.85,667892.9161,3.12257E-05,12061965.56,10510951.27,1551014.297
 01/02  04:00:00,53851713.02,0,196628.3063,9191897.701,19285200,24376700.69,801286.313,3.12257E-05,14539860.97,12988844.74,1551016.225
 01/02  05:00:00,61497355.76,0,104026.927,13777384,19285200,27266590.8,1064154.027,0.000124903,20659105.65,17533030.75,3126074.903
 01/02  06:00:00,77982163.21,0,101014.6539,21687347.87,19285200,35695631.8,1212968.889,0.000843095,34861944.92,19660388.17,15201556.75
 01/02  07:00:00,97130618.55,0,298703.1479,23445117.62,19285200,53083565.93,1018031.846,0.002935219,65380036.18,15002089.16,50377947.02
 01/02  08:00:00,98055355.29,0,365630.432,21649135.49,9642600,65388425.55,1009563.808,0.003122573,67848213.85,14320142.55,53528071.3
 01/02  09:00:00,86107572.22,0,349096.3931,15665446.93,0,67967412.13,2125616.754,0.00299767,69028063.4,17600074.95,51427988.45
 01/02  10:00:00,76575239.34,0,1210400.289,13640190.48,0,59827593.96,1897054.609,0.002622962,55178090.38,10050350.48,45127739.89
 01/02  11:00:00,68270245.81,0,3218174.656,13640190.48,0,49327737.83,2084142.842,0.002373156,45774185.4,4846611.213,40927574.19
 01/02  12:00:00,70292228.02,0,4598566.68,13640190.48,0,49857589.98,2195880.875,0.00190477,34835132.31,1782868.821,33052263.49
 01/02  13:00:00,68355425.96,0,4015562.882,13298350.38,0,49081841.7,1959671,0.001654964,29132003.17,279905.3856,28852097.79
 01/02  14:00:00,66772993.78,0,3583419.826,13640190.48,0,47738181.37,1811202.108,0.001467609,25720608.1,18634.59347,25701973.51
 01/02  15:00:00,66246556.16,0,3602608.873,13640190.48,0,47208329.21,1795427.593,0.001280255,22551849.23,0,22551849.23
 01/02  16:00:00,71085639.06,0,3550544.303,16964668.05,0,48797885.67,1772541.031,0.001467609,25701973.51,0,25701973.51
 01/02  17:00:00,99233662.6,0,4599741.186,25868153.95,0,66715671.97,2050095.493,0.001717415,29902139.22,0,29902139.22
 01/02  18:00:00,132337754.8,0,4227077.621,30170497.53,12856800,83933250.96,1150128.712,0.002279478,39352512.05,0,39352512.05
 01/02  19:00:00,145953198,0,4016645.4,38309735.72,19285200,83236545.25,1105071.645,0.002685413,46177781.32,0,46177781.32
 01/02  20:00:00,141416724,0,3181538.489,44309080.3,19285200,73747799.95,893105.2879,0.00256051,44077698.47,0,44077698.47
 01/02  21:00:00,138998771.3,0,2521625.368,44844053.7,19285200,71628391.33,719500.8676,0.00234193,40402553.48,0,40402553.48
