Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,63768826.91,0,0,9191897.701,19285200,28085665.77,7206063.434,0.000283545,234105332.8,227105029.8,7000302.946
 01/01  02:00:00,62969478.38,0,0,9191897.701,19285200,25966257.16,8526123.519,0.000141772,282504714.2,278491555.2,4013158.979
 01/01  03:00:00,62049196.59,0,0,9191897.701,19285200,24906552.85,8665546.04,3.54429E-05,283429642.2,281656852.8,1772789.461
 01/01  04:00:00,61743956.81,0,0,9191897.701,19285200,24376700.69,8890158.414,3.54429E-05,290091243.7,288318454.3,1772789.415
 01/01  05:00:00,69331448.94,0,0,13777384,19285200,27266590.8,9002274.132,0.000141772,295036427.7,291023270.3,4013157.437
 01/01  06:00:00,85524121.38,0,0,21687347.87,19285200,35695631.8,8855941.713,0.000956958,306278734.8,285089423,21189311.74
 01/01  07:00:00,104336047.5,0,0,23445117.62,19285200,53083565.93,8522163.956,0.003331633,344449042.6,273224846.3,71224196.3
 01/01  08:00:00,101023643.9,0,0,21649135.49,6428400,64691719.85,8254388.572,0.00354429,339199144.7,263494212.5,75704932.23
 01/01  09:00:00,86224122.44,0,0,13204198.22,0,65221572,7798352.219,0.003402519,319950444.2,247232669.3,72717774.95
 01/01  10:00:00,75288811.14,0,0,11178941.77,0,57081753.83,7028115.542,0.002977204,282504368.4,218748065.4,63756303.08
 01/01  11:00:00,63977049.82,0,0,11178941.77,0,46581897.7,6216210.354,0.002693661,247340175.9,189558187.4,57781988.5
 01/01  12:00:00,63923531.4,0,0,11178941.77,0,47111749.85,5632839.782,0.002162017,215685665.3,169105516.6,46580148.66
 01/01  13:00:00,63189294.6,0,0,11178941.77,0,46581897.7,5428455.131,0.001878474,201685262.6,161079428.5,40605834.08
 01/01  14:00:00,61396135.34,0,0,11178941.77,0,44992341.23,5224852.335,0.001665816,189751307.6,153626209.5,36125098.15
 01/01  15:00:00,60736319.87,0,0,11178941.77,0,44462489.08,5094889.021,0.001453159,180973011,149328648.8,31644362.22
 01/01  16:00:00,65644942.98,0,0,14503419.33,0,46052045.54,5089478.104,0.001665816,185438855.1,149313756.9,36125098.15
 01/01  17:00:00,105037381.6,0,0,23406905.24,12856800,63969831.83,4803844.504,0.00194936,182464779.3,140365366.5,42099412.73
 01/01  18:00:00,136964927.4,0,0,30170497.53,19285200,83236545.25,4272684.637,0.002587332,179658976.4,124117355.9,55541620.53
 01/01  19:00:00,144812806.2,0,0,38309735.72,19285200,83236545.25,3981325.22,0.00304809,180605963.7,115356081.9,65249881.72
 01/01  20:00:00,141302116.4,0,0,44309080.3,19285200,73747799.95,3960036.102,0.002906318,176562571.4,114299846.9,62262724.43
 01/01  21:00:00,139736141.7,0,0,44844053.7,19285200,71628391.33,3978496.629,0.002658218,171773873.4,114738674.2,57035199.18
 01/01  22:00:00,120211038.5,0,0,33074638.86,19285200,63729202.5,4121997.179,0.002162017,165558456.5,118978307.8,46580148.66
 01/01  23:00:00,95759166.69,0,0,21305224.02,19285200,50531492.12,4637250.561,0.001878474,175546754.9,134940920.8,40605834.08
 01/01  24:00:00,75155173.88,0,0,12745649.59,19285200,37863633.89,5260690.407,0.001027844,177405000.8,154722110.4,22682890.35
 01/02  01:00:00,62616552.07,0,0,9191897.701,19285200,28085665.77,6053788.59,0.000283737,188454403.2,181443949.6,7010453.596
 01/02  02:00:00,60832524.11,0,0,9191897.701,19285200,25966257.16,6389169.256,0.000141868,196292139.9,192272726,4019413.879
 01/02  03:00:00,59929655.13,0,0,9191897.701,19285200,24906552.85,6546004.582,3.54671E-05,198560101.8,196785734.5,1774367.291
 01/02  04:00:00,59507875.34,0,0,9191897.701,19285200,24376700.69,6654076.939,3.54671E-05,201673152.7,199898783.1,1774369.537
 01/02  05:00:00,66748392.1,0,0,13777384,19285200,27266590.8,6419217.295,0.000141868,194460203.1,190440714.2,4019488.894
 01/02  06:00:00,82712433.39,0,0,21687347.87,19285200,35695631.8,6044253.718,0.000957611,198768480.7,177536384,21232096.73
 01/02  07:00:00,101304189.5,0,0,23445117.62,19285200,53083565.93,5490305.943,0.003333906,231236738.8,159863581.1,71373157.71
 01/02  08:00:00,98782574.7,0,0,21649135.49,6428400,65388425.55,5316613.658,0.003546708,230054477.2,154191075.4,75863401.82
 01/02  09:00:00,90190245.85,0,0,15665446.93,0,67967412.13,6557386.783,0.00340484,240882215.7,168012310,72869905.75
 01/02  10:00:00,79890619.43,0,0,13640190.48,0,59827593.96,6422834.99,0.002979235,224852461.2,160963043.6,63889417.53
 01/02  11:00:00,69045672.59,0,0,13640190.48,0,49327737.83,6077744.278,0.002695498,206350486.4,148448061.1,57902425.38
 01/02  12:00:00,69246825.86,0,0,13640190.48,0,49857589.98,5749045.392,0.002163492,184056211.1,137379396,46676815.11
 01/02  13:00:00,67894236.85,0,0,13298350.38,0,49081841.7,5514044.763,0.001879755,171241066.4,130551243.4,40689822.97
 01/02  14:00:00,67021644.02,0,0,13640190.48,0,47738181.37,5643272.173,0.001666953,171059819.6,134860240.7,36199578.86
 01/02  15:00:00,66709560.58,0,0,13640190.48,0,47208329.21,5861040.886,0.00145415,174915376.7,143206042,31709334.75
 01/02  16:00:00,71475397.51,0,0,16964668.05,0,48797885.67,5712843.781,0.001666953,174193948.3,137994369.4,36199578.86
 01/02  17:00:00,110814745.3,0,0,25868153.95,12856800,66715671.97,5374119.385,0.001950689,169010566.3,126823995.3,42186571
 01/02  18:00:00,137258764.4,0,0,30170497.53,19285200,83933250.96,3869815.893,0.002589097,166963854.7,111306551.4,55657303.33
 01/02  19:00:00,144173923.1,0,0,38309735.72,19285200,83236545.25,3342442.113,0.003050169,160232217.4,94846051.83,65386165.57
 01/02  20:00:00,140547197.1,0,0,44309080.3,19285200,73747799.95,3205116.858,0.002908301,152569838.4,90177168.87,62392669.49
 01/02  21:00:00,138921235.7,0,0,44844053.7,19285200,71628391.33,3163590.622,0.002660031,145743086.5,88589035.1,57154051.37
 01/02  22:00:00,119263368.4,0,0,33074638.86,19285200,63729202.5,3174327.043,0.002163492,135207879.3,88531064.16,46676815.11
 01/02  23:00:00,94860745.28,0,0,21305224.02,19285200,50531492.12,3738829.144,0.001879755,146978199.8,106288376.8,40689822.97
 01/02  24:00:00,74329834.18,0,0,12745649.59,19285200,37863633.89,4435350.699,0.001028545,151167451.6,128438605.1,22728846.53
 01/03  01:00:00,61496443.56,0,0,9191897.701,19285200,28085665.77,4933680.082,0.000283926,150750961.4,143728022.7,7022938.74
 01/03  02:00:00,59638306.15,0,0,9191897.701,19285200,25966257.16,5194951.291,0.000141963,155621957.1,151596322.8,4025634.211
 01/03  03:00:00,58718803.66,0,0,9191897.701,19285200,24906552.85,5335153.115,3.54907E-05,157070171.6,155294249.5,1775922.092
 01/03  04:00:00,58340837.01,0,0,9191897.701,19285200,24376700.69,5487038.617,3.54907E-05,161729912.6,159953988.3,1775924.29
 01/03  05:00:00,66016413.43,0,0,13777384,19285200,27266590.8,5687238.617,0.000141963,171229692,167203984.3,4025707.675
 01/03  06:00:00,82399454.49,0,0,21687347.87,19285200,35695631.8,5731274.819,0.00095825,191164694.6,169890622.1,21274072.46
 01/03  07:00:00,101379677.9,0,0,23445117.62,19285200,53083565.93,5565794.388,0.003336129,237385687.3,165866392.1,71519295.27
 01/03  08:00:00,98993080.59,0,0,21649135.49,6428400,65388425.55,5527119.543,0.003549073,241235220.7,165216353.4,76018867.31
 01/03  09:00:00,90684522.9,0,0,15665446.93,0,67967412.13,7051663.825,0.00340711,260908784.7,187889632.1,73019152.62
 01/03  10:00:00,80679183.71,0,0,13640190.48,0,59827593.96,7211399.267,0.002981222,255498485.6,191478477.1,64020008.54
 01/03  11:00:00,69977957.43,0,0,13640190.48,0,49327737.83,7010029.117,0.002697296,241856059.8,183835480.7,58020579.16
 01/03  12:00:00,70306733.77,0,0,13640190.48,0,49857589.98,6808953.304,0.002164935,222777840.7,176006191.6,46771649.06
 01/03  13:00:00,68989352.61,0,0,13298350.38,0,49081841.7,6609160.523,0.001881009,209964377.3,169192157.6,40772219.68
 01/03  14:00:00,67918589.73,0,0,13640190.48,0,47738181.37,6540217.878,0.001668064,202540295.4,166267647.8,36272647.64
 01/03  15:00:00,67402210.04,0,0,13640190.48,0,47208329.21,6553690.345,0.00145512,198428285.6,166655210,31773075.6
 01/03  16:00:00,72240582.07,0,0,16964668.05,0,48797885.67,6478028.343,0.001668064,200489980.4,164217332.7,36272647.64
 01/03  17:00:00,111708218.2,0,0,25868153.95,12856800,66715671.97,6267592.289,0.00195199,199659215.1,157387138.1,42272077.02
 01/03  18:00:00,138055442.3,0,0,30170497.53,19285200,83933250.96,4666493.767,0.002590824,193580207.3,137809414.1,55770793.14
 01/03  19:00:00,145031850.9,0,0,38309735.72,19285200,83236545.25,4200369.957,0.003052203,188286941.9,122767076.1,65519865.89
 01/03  20:00:00,141595480.3,0,0,44309080.3,19285200,73747799.95,4253400.035,0.00291024,186935228,124415076.8,62520151.2
