Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,74737368.36,0,14689565.45,9191897.701,19285200,28085665.77,3485039.435,0.000220277,4171520.49,0,4171520.49
 01/01  02:00:00,67385456.04,0,10421873.36,9191897.701,19285200,25966257.16,2520227.824,0.000110137,2598774.717,0,2598774.717
 01/01  03:00:00,63493555.29,0,8132766.392,9191897.701,19285200,24906552.85,1977138.347,2.75343E-05,1419193.135,0,1419193.135
 01/01  04:00:00,61498111.98,0,6953390.706,9191897.701,19285200,24376700.69,1690922.878,2.75343E-05,1419193.024,0,1419193.024
 01/01  05:00:00,68823272.07,0,6841051.809,13777384,19285200,27266590.8,1653045.453,0.000110137,2598771.482,0,2598771.482
 01/01  06:00:00,85956571.87,0,7479891.297,21687347.87,19285200,35695631.8,1808500.902,0.000743425,11642203.84,0,11642203.84
 01/01  07:00:00,107192469.9,0,9158308.678,23445117.62,19285200,53083565.93,2220277.628,0.002588219,37986116.27,0,37986116.27
 01/01  08:00:00,104600830.4,0,12129276.61,21649135.49,3214200,64691719.85,2916498.497,0.002753425,40345272.63,0,40345272.63
 01/01  09:00:00,103402944.1,0,20334404.65,13204198.22,0,65221572,4642769.179,0.002643288,38772501.72,0,38772501.72
 01/01  10:00:00,109479351.9,0,33896225.83,11178941.77,0,57081753.83,7322430.432,0.002312877,34054189.01,0,34054189.01
 01/01  11:00:00,113293322.4,0,45983845.99,11178941.77,0,46581897.7,9548636.895,0.002092603,30908647.2,0,30908647.2
 01/01  12:00:00,117390950.6,0,48988757.49,11178941.77,0,47111749.85,10111501.46,0.001679589,25010756.3,0,25010756.3
 01/01  13:00:00,121285852.7,0,52725740.29,11178941.77,0,46581897.7,10799272.94,0.001459315,21865214.49,0,21865214.49
 01/01  14:00:00,122054398.9,0,54640807.6,11178941.77,0,44992341.23,11242308.29,0.00129411,19506058.13,0,19506058.13
 01/01  15:00:00,120921983.2,0,54048315.93,11178941.77,0,44462489.08,11232236.39,0.001128904,17146901.78,0,17146901.78
 01/01  16:00:00,125612950.6,0,53807507.3,14503419.33,0,46052045.54,11249978.41,0.00129411,19506058.13,0,19506058.13
 01/01  17:00:00,150135690.4,0,51799235.79,23406905.24,0,63969831.83,10959717.59,0.001514384,22651599.94,0,22651599.94
 01/01  18:00:00,182517283.3,0,48920339.63,30170497.53,9642600,83236545.25,10547300.89,0.00201,29729069.02,0,29729069.02
 01/01  19:00:00,196594582.2,0,45734272,38309735.72,19285200,83236545.25,10028829.25,0.002367945,34840574.46,0,34840574.46
 01/01  20:00:00,187450753.6,0,41011227.35,44309080.3,19285200,73747799.95,9097445.974,0.002257808,33267803.55,0,33267803.55
 01/01  21:00:00,182209662.4,0,37989484.86,44844053.7,19285200,71628391.33,8462532.459,0.002065069,30515454.47,0,30515454.47
 01/01  22:00:00,160267030.5,0,36174848.08,33074638.86,19285200,63729202.5,8003141.096,0.001679589,25010756.3,0,25010756.3
 01/01  23:00:00,128538785.8,0,30590091.43,21305224.02,19285200,50531492.12,6826778.262,0.001459315,21865214.49,0,21865214.49
 01/01  24:00:00,97421959.38,0,22380793.52,12745649.59,19285200,37863633.89,5146682.389,0.000798493,12428589.06,0,12428589.06
 01/02  01:00:00,75849658.03,0,15612166.95,9191897.701,19285200,28085665.77,3674727.607,0.000220353,4173481.497,0,4173481.497
 01/02  02:00:00,69220076.04,0,11931129.95,9191897.701,19285200,25966257.16,2845591.228,0.000110177,2599941.615,0,2599941.615
 01/02  03:00:00,64581051.52,0,9019446.963,9191897.701,19285200,24906552.85,2177954.004,2.75441E-05,1419489.529,0,1419489.529
 01/02  04:00:00,62037331.76,0,7389388.121,9191897.701,19285200,24376700.69,1794145.243,2.75441E-05,1419490.363,0,1419490.363
 01/02  05:00:00,68399128.32,0,6484023.741,13777384,19285200,27266590.8,1585929.772,0.000110177,2599966.109,0,2599966.109
 01/02  06:00:00,85896009.26,0,7428889.62,21687347.87,19285200,35695631.8,1798939.968,0.000743692,11650298.99,0,11650298.99
 01/02  07:00:00,107752816.2,0,9621551.296,23445117.62,19285200,53083565.93,2317381.306,0.002589149,38014306.23,0,38014306.23
 01/02  08:00:00,105941071.9,0,12672905.77,21649135.49,3214200,65388425.55,3016405.044,0.002754414,40375261.95,0,40375261.95
 01/02  09:00:00,107687800.1,0,19154797.36,15665446.93,0,67967412.13,4900143.641,0.002644238,38801291.47,0,38801291.47
 01/02  10:00:00,112062773.2,0,31284297.34,13640190.48,0,59827593.96,7310691.37,0.002313708,34079380.04,0,34079380.04
 01/02  11:00:00,118650344.1,0,45742428.27,13640190.48,0,49327737.83,9939987.497,0.002093355,30931439.08,0,30931439.08
 01/02  12:00:00,127811998.8,0,53139049.54,13640190.48,0,49857589.98,11175168.84,0.001680193,25029049.79,0,25029049.79
 01/02  13:00:00,129015588.1,0,55094218.97,13298350.38,0,49081841.7,11541177.07,0.00145984,21881108.83,0,21881108.83
 01/02  14:00:00,137198454.9,0,63027372.19,13640190.48,0,47738181.37,12792710.82,0.001294575,19520153.12,0,19520153.12
 01/02  15:00:00,148148094.4,0,72856798.27,13640190.48,0,47208329.21,14442776.42,0.00112931,17159197.4,0,17159197.4
 01/02  16:00:00,143592289.4,0,64398231.95,16964668.05,0,48797885.67,13431503.75,0.001294575,19520153.12,0,19520153.12
 01/02  17:00:00,161897217.1,0,56851036.51,25868153.95,0,66715671.97,12462354.64,0.001514928,22668094.07,0,22668094.07
 01/02  18:00:00,184655196.1,0,50063805.14,30170497.53,9642600,83933250.96,10845042.52,0.002010722,29750961.22,0,29750961.22
