Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,64979728.83,0,0,9191897.701,19285200,28085665.77,8416965.356,0.000295435,254909208.8,247057201.8,7852006.976
 01/01  02:00:00,62602889.02,0,0,9191897.701,19285200,25966257.16,8159534.161,0.000147717,240046070.5,235607060.5,4439010.009
 01/01  03:00:00,61696521.99,0,0,9191897.701,19285200,24906552.85,8312871.441,3.69291E-05,242482719.6,240603467.4,1879252.26
 01/01  04:00:00,61266275.63,0,0,9191897.701,19285200,24376700.69,8412477.231,3.69291E-05,245904818.8,244025566.6,1879252.222
 01/01  05:00:00,68723755.83,0,0,13777384,19285200,27266590.8,8394581.025,0.000147717,248197129.7,243758121,4439008.712
 01/01  06:00:00,84819107.83,0,0,21687347.87,19285200,35695631.8,8150928.157,0.000997087,260619070.8,236555262.7,24063808.08
 01/01  07:00:00,103486153.1,0,0,23445117.62,19285200,53083565.93,7672269.493,0.003471339,303185035,221953332.9,81231702.11
 01/01  08:00:00,113162460.2,0,0,21649135.49,19285200,64691719.85,7536404.857,0.003692914,304371557.6,218020342.6,86351215.01
 01/01  09:00:00,86317865.02,0,0,13204198.22,0,65221572,7892094.793,0.003545197,312376174.5,229437968.1,82938206.41
 01/01  10:00:00,76079534.59,0,0,11178941.77,0,57081753.83,7818838.988,0.003102048,299933868.1,227234687.5,72699180.61
 01/01  11:00:00,65353661.28,0,0,11178941.77,0,46581897.7,7592821.811,0.002806615,286073596,220200432.6,65873163.41
 01/01  12:00:00,65626000.82,0,0,11178941.77,0,47111749.85,7335309.198,0.002252677,265367658,212293276.9,53074381.16
 01/01  13:00:00,64907378.37,0,0,11178941.77,0,46581897.7,7146538.908,0.001957244,252905262.3,206656898.3,46248363.96
 01/01  14:00:00,63278225.41,0,0,11178941.77,0,44992341.23,7106942.412,0.00173567,246862954.4,205734103.4,41128851.06
 01/01  15:00:00,62793121.49,0,0,11178941.77,0,44462489.08,7151690.643,0.001514095,243319894.1,207310555.9,36009338.16
 01/01  16:00:00,67750974.69,0,0,14503419.33,0,46052045.54,7195509.808,0.00173567,250168631.1,209039780.1,41128851.06
 01/01  17:00:00,107273293.2,0,0,23406905.24,12856800,63969831.83,7039756.146,0.002031103,252500127.5,204545259.2,47954868.26
 01/01  18:00:00,139192355.1,0,0,30170497.53,19285200,83236545.25,6500112.267,0.002695827,251258068.2,187944661.3,63313406.96
 01/01  19:00:00,147000726.7,0,0,38309735.72,19285200,83236545.25,6169245.725,0.003175906,252447960.1,178042275.2,74405684.91
 01/01  20:00:00,143770780.1,0,0,44309080.3,19285200,73747799.95,6428699.824,0.003028189,257912408.4,186919732.1,70992676.31
 01/01  21:00:00,142515929.7,0,0,44844053.7,19285200,71628391.33,6758284.65,0.002769685,263023149.4,198003238.2,65019911.26
 01/01  22:00:00,123225383.4,0,0,33074638.86,19285200,63729202.5,7136342.071,0.002252677,263430558.9,210356177.7,53074381.16
 01/01  23:00:00,98927511.49,0,0,21305224.02,19285200,50531492.12,7805595.351,0.001957244,278171670.7,231923306.8,46248363.96
 01/01  24:00:00,78424276.59,0,0,12745649.59,19285200,37863633.89,8529793.11,0.001070945,281159850.4,255389538,25770312.35
 01/02  01:00:00,65782811.5,0,0,9191897.701,19285200,28085665.77,9220048.029,0.000295595,285807298.8,277945138.8,7862160.041
 01/02  02:00:00,64075493.92,0,0,9191897.701,19285200,25966257.16,9632139.063,0.000147798,295911979.9,291466694.9,4445284.927
 01/02  03:00:00,63350761.59,0,0,9191897.701,19285200,24906552.85,9967111.039,3.69494E-05,304557799.9,302676966.1,1880833.805
 01/02  04:00:00,63180083.7,0,0,9191897.701,19285200,24376700.69,10326285.31,3.69494E-05,317438822.5,315557986.7,1880835.765
 01/02  05:00:00,70944220.52,0,0,13777384,19285200,27266590.8,10615045.72,0.000147798,331382144.7,326936792.5,4445352.177
 01/02  06:00:00,87330954.19,0,0,21687347.87,19285200,35695631.8,10662774.52,0.000997634,354410680,330304015.2,24106664.76
 01/02  07:00:00,106229409,0,0,23445117.62,19285200,53083565.93,10415525.39,0.003473246,404194457.7,322813546.3,81380911.45
 01/02  08:00:00,117080873.7,0,0,21649135.49,19285200,65388425.55,10758112.69,0.003694943,418826642.9,332316694.5,86509948.35
 01/02  09:00:00,95037708.86,0,0,15665446.93,0,67967412.13,11404849.79,0.003547145,411635494.2,328544903.8,83090590.42
 01/02  10:00:00,83836969.38,0,0,13640190.48,0,59827593.96,10369184.94,0.003103752,361519186.1,288686669.5,72832516.61
 01/02  11:00:00,72416687.36,0,0,13640190.48,0,49327737.83,9448759.042,0.002808156,320120951.7,254127151,65993800.75
 01/02  12:00:00,72236309.14,0,0,13640190.48,0,49857589.98,8738528.676,0.002253915,281387903.2,228216694.7,53171208.49
 01/02  13:00:00,70473036.55,0,0,13298350.38,0,49081841.7,8092844.468,0.00195832,252513524.5,206181031.9,46332492.63
 01/02  14:00:00,68904367.84,0,0,13640190.48,0,47738181.37,7525995.99,0.001736623,227640838.7,186437382.9,41203455.72
 01/02  15:00:00,67930683.87,0,0,13640190.48,0,47208329.21,7082164.174,0.001514926,207676918.5,171602499.7,36074418.82
 01/02  16:00:00,72896739.14,0,0,16964668.05,0,48797885.67,7134185.414,0.001736623,214805632,173602176.3,41203455.72
 01/02  17:00:00,113212729.6,0,0,25868153.95,12856800,66715671.97,7772103.634,0.002032218,243080216.8,195038045.3,48042171.59
 01/02  18:00:00,140015070.1,0,0,30170497.53,19285200,83933250.96,6626121.58,0.002697308,259612878.1,196183595.8,63429282.29
 01/02  19:00:00,147496960.7,0,0,38309735.72,19285200,83236545.25,6665479.776,0.003177651,272928759.3,198386563.8,74542195.58
 01/02  20:00:00,144528453.4,0,0,44309080.3,19285200,73747799.95,7186373.18,0.003029853,287269454.1,216146616.4,71122837.65
 01/02  21:00:00,143593915.3,0,0,44844053.7,19285200,71628391.33,7836270.306,0.002771207,303880759,238741797.7,65138961.26
 01/02  22:00:00,124483352.1,0,0,33074638.86,19285200,63729202.5,8394310.7,0.002253915,310751539.3,257580330.8,53171208.49
 01/02  23:00:00,100236994.7,0,0,21305224.02,19285200,50531492.12,9115078.616,0.00195832,327656150.4,281323657.8,46332492.63
 01/02  24:00:00,79745225.52,0,0,12745649.59,19285200,37863633.89,9850742.043,0.001071533,331382258.5,305565913.4,25816345.02
 01/03  01:00:00,67039192.62,0,0,9191897.701,19285200,28085665.77,10476429.14,0.000295755,333734149.8,325859419,7874730.773
 01/03  02:00:00,65210262.56,0,0,9191897.701,19285200,25966257.16,10766907.71,0.000147878,339139539.6,334687984.3,4451555.311
 01/03  03:00:00,64333880.54,0,0,9191897.701,19285200,24906552.85,10950229.99,3.69694E-05,341922045.5,340039644.2,1882401.227
 01/03  04:00:00,63922863.6,0,0,9191897.701,19285200,24376700.69,11069065.2,3.69694E-05,345214622.6,343332219.5,1882403.158
 01/03  05:00:00,71404635.06,0,0,13777384,19285200,27266590.8,11075460.25,0.000147878,347535844.5,343084222.9,4451621.614
 01/03  06:00:00,87486275.9,0,0,21687347.87,19285200,35695631.8,10818096.23,0.000998174,358232043.3,334083060.4,24148982.88
 01/03  07:00:00,106061670.4,0,0,23445117.62,19285200,53083565.93,10247786.87,0.003475124,395787128.2,314258887.1,81528241.12
 01/03  08:00:00,116496247.2,0,0,21649135.49,19285200,65388425.55,10173486.16,0.003696941,396477173.7,309810491.7,86666682.04
 01/03  09:00:00,95013453.42,0,0,15665446.93,0,67967412.13,11380594.35,0.003549063,402960009.3,319718954.5,83241054.76
 01/03  10:00:00,84077693.91,0,0,13640190.48,0,59827593.96,10609909.46,0.00310543,362765653.3,289801480.3,72964172.91
 01/03  11:00:00,72922849.96,0,0,13640190.48,0,49327737.83,9954921.643,0.002809675,331463005.6,265350087.2,66112918.35
 01/03  12:00:00,73092382.84,0,0,13640190.48,0,49857589.98,9594602.377,0.002255134,304812535.7,251545719.6,53266816.05
 01/03  13:00:00,71633473.74,0,0,13298350.38,0,49081841.7,9253281.662,0.001959378,286559206,240143644.5,46415561.48
 01/03  14:00:00,70543506.25,0,0,13640190.48,0,47738181.37,9165134.399,0.001737562,278046391.3,236769270.7,41277120.56
 01/03  15:00:00,70189471.42,0,0,13640190.48,0,47208329.21,9340951.722,0.001515746,278415604,242276924.3,36138679.64
 01/03  16:00:00,75131653.79,0,0,16964668.05,0,48797885.67,9369100.06,0.001737562,284462236.5,243185115.9,41277120.56
 01/03  17:00:00,114638331.4,0,0,25868153.95,12856800,66715671.97,9197705.486,0.002033317,286110263,237981887.9,48128375.12
 01/03  18:00:00,140807613.7,0,0,30170497.53,19285200,83933250.96,7418665.179,0.002698767,281188949.3,217645251.4,63543697.89
 01/03  19:00:00,147835493.7,0,0,38309735.72,19285200,83236545.25,7004012.683,0.003179369,279455508.9,204778522.3,74676986.56
 01/03  20:00:00,144457094.2,0,0,44309080.3,19285200,73747799.95,7115013.98,0.003031491,280074254.4,208822895.1,71251359.27
 01/03  21:00:00,143052296,0,0,44844053.7,19285200,71628391.33,7294650.933,0.002772705,280256576.9,215000065.4,65256511.53
 01/03  22:00:00,123737532.8,0,0,33074638.86,19285200,63729202.5,7648491.447,0.002255134,280227551,226960734.9,53266816.05
 01/03  23:00:00,99526956.99,0,0,21305224.02,19285200,50531492.12,8405040.855,0.001959378,298797146.6,252381585.1,46415561.48
 01/03  24:00:00,79116507.74,0,0,12745649.59,19285200,37863633.89,9222024.267,0.001072113,305873699.5,280011901.7,25861797.79
 01/04  01:00:00,66390589.69,0,0,9191897.701,19285200,28085665.77,9827826.218,0.000295912,307451111.7,299563973.1,7887138.573
 01/04  02:00:00,64493266.65,0,0,9191897.701,19285200,25966257.16,10049911.79,0.000147956,310155980.5,305698236.6,4457743.869
 01/04  03:00:00,63560058.9,0,0,9191897.701,19285200,24906552.85,10176408.35,3.69891E-05,310633593.4,308749645.2,1883948.189
 01/04  04:00:00,63193068.58,0,0,9191897.701,19285200,24376700.69,10339270.18,3.69891E-05,315893675.9,314009725.8,1883950.091
 01/04  05:00:00,70771939.72,0,0,13777384,19285200,27266590.8,10442764.92,0.000147956,322511314.5,318053505.3,4457809.209
 01/04  06:00:00,86966622.47,0,0,21687347.87,19285200,35695631.8,10298442.8,0.000998705,338285311.3,314094562.7,24190748.56
 01/04  07:00:00,105643913.2,0,0,23445117.62,19285200,53083565.93,9830029.684,0.003476973,380210380.3,298536732.8,81673647.49
 01/04  08:00:00,116100759.5,0,0,21649135.49,19285200,65388425.55,9777998.46,0.003698907,381837560.8,295016191.1,86821369.67
