Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,65921532.18,0,0,9191897.701,19285200,28085665.77,9358768.705,0.000288496,270028834.4,262692037.9,7336796.483
 01/01  02:00:00,65278272.57,0,0,9191897.701,19285200,25966257.16,10834917.71,0.000144247,318512374.3,314330969,4181405.326
 01/01  03:00:00,64429099.25,0,0,9191897.701,19285200,24906552.85,11045448.7,3.60618E-05,320616785.2,318801934.1,1814851.065
 01/01  04:00:00,64371787.27,0,0,9191897.701,19285200,24376700.69,11517988.88,3.60618E-05,335464592.5,333649741.5,1814851.023
 01/01  05:00:00,71835116.56,0,0,13777384,19285200,27266590.8,11505941.75,0.000144247,334594094.7,330412690.8,4181403.889
 01/01  06:00:00,87833490.52,0,0,21687347.87,19285200,35695631.8,11165310.85,0.000973669,339187845.2,316862869.8,22324975.4
 01/01  07:00:00,107025501.4,0,0,23445117.62,19285200,53083565.93,11211617.82,0.003389811,395662274.2,320484285.9,75177988.31
 01/01  08:00:00,117128510.4,0,0,21649135.49,19285200,64691719.85,11502455.07,0.003606182,411230939,331319845.1,79911093.95
 01/01  09:00:00,93158179.79,0,0,13204198.22,3214200,65221572,11518209.56,0.003461935,407022782.7,330267092.5,76755690.19
 01/01  10:00:00,78476384.77,0,0,11178941.77,0,57081753.83,10215689.17,0.003029193,352546260.6,285256781.7,67289478.92
 01/01  11:00:00,67123655.6,0,0,11178941.77,0,46581897.7,9362816.133,0.002740698,318628923.4,257650252,60978671.4
 01/01  12:00:00,66974772.77,0,0,11178941.77,0,47111749.85,8684081.155,0.002199771,285430717.8,236284810.5,49145907.31
 01/01  13:00:00,65736292.35,0,0,11178941.77,0,46581897.7,7975452.888,0.001911276,255821302.9,212986203.1,42835099.79
 01/01  14:00:00,63160297.53,0,0,11178941.77,0,44992341.23,6989014.527,0.001694905,220955253.9,182853259.8,38101994.16
