Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,61260687.49,0,0,9191897.701,19285200,28085665.77,4697924.011,0.000274025,138945957.2,132529650.1,6416307.096
 01/01  02:00:00,59316115.24,0,0,9191897.701,19285200,25966257.16,4872760.381,0.000137012,140736334.9,137015173,3721161.911
 01/01  03:00:00,58567682.88,0,0,9191897.701,19285200,24906552.85,5184032.331,3.42529E-05,147574240.7,145874450.5,1699790.158
 01/01  04:00:00,58375657.26,0,0,9191897.701,19285200,24376700.69,5521858.863,3.42529E-05,157343435.9,155643645.8,1699790.105
 01/01  05:00:00,66002015.27,0,0,13777384,19285200,27266590.8,5672840.464,0.000137012,163859362,160138201.9,3721160.155
 01/01  06:00:00,82063601.03,0,0,21687347.87,19285200,35695631.8,5395421.357,0.000924828,171597280.4,152378950.6,19218329.85
 01/01  07:00:00,100505194.1,0,0,23445117.62,19285200,53083565.93,4691310.58,0.003219771,196640923.9,132278664.5,64362259.32
 01/01  08:00:00,110119075.2,0,0,21649135.49,19285200,64691719.85,4493019.871,0.003425288,194793502.7,126388503.4,68404999.28
 01/01  09:00:00,83401372.04,0,0,13204198.22,0,65221572,4975601.814,0.003288277,205621228.6,139911389.3,65709839.31
 01/01  10:00:00,73098424.52,0,0,11178941.77,0,57081753.83,4837728.925,0.002877242,194301658.8,136677299.4,57624359.39
 01/01  11:00:00,62097148.64,0,0,11178941.77,0,46581897.7,4336309.176,0.002603219,175115997.6,122881958.1,52234039.45
 01/01  12:00:00,62131255.4,0,0,11178941.77,0,47111749.85,3840563.78,0.002089426,150617583,108490393.5,42127189.56
 01/01  13:00:00,61188492.82,0,0,11178941.77,0,46581897.7,3427653.359,0.001815403,133094523,96357653.38,36736869.62
 01/01  14:00:00,59611886.48,0,0,11178941.77,0,44992341.23,3440603.482,0.001609885,129611079.4,96916949.72,32694129.66
 01/01  15:00:00,59519421.82,0,0,11178941.77,0,44462489.08,3877990.973,0.001404368,138526271.5,109874881.8,28651389.7
 01/01  16:00:00,65377743.83,0,0,14503419.33,0,46052045.54,4822278.952,0.001609885,169611348.7,136917219,32694129.66
 01/01  17:00:00,104564429.6,0,0,23406905.24,12856800,63969831.83,4330892.481,0.001883909,161971686.3,123887236.7,38084449.6
 01/01  18:00:00,136216552.2,0,0,30170497.53,19285200,83236545.25,3524309.368,0.00250046,150931231,100718561.6,50212669.47
 01/01  19:00:00,143947394.7,0,0,38309735.72,19285200,83236545.25,3115913.77,0.002945748,147781085.2,88809145.85,58971939.38
 01/01  20:00:00,140553436.1,0,0,44309080.3,19285200,73747799.95,3211355.861,0.002808736,147659603.5,91382824.1,56276779.41
 01/01  21:00:00,139063738.6,0,0,44844053.7,19285200,71628391.33,3306093.607,0.002568966,145576669.6,94016420.09,51560249.46
 01/01  22:00:00,119521529.8,0,0,33074638.86,19285200,63729202.5,3432488.432,0.002089426,139759972.7,97632783.17,42127189.56
 01/01  23:00:00,95047116.34,0,0,21305224.02,19285200,50531492.12,3925200.21,0.001815403,148492401,111755531.4,36736869.62
 01/01  24:00:00,74385128.02,0,0,12745649.59,19285200,37863633.89,4490644.546,0.000993334,148483884.5,127917974.8,20565909.79
 01/02  01:00:00,61666151,0,0,9191897.701,19285200,28085665.77,5103387.527,0.00027413,151169993.1,144748775.8,6421217.336
 01/02  02:00:00,59821709.78,0,0,9191897.701,19285200,25966257.16,5378354.92,0.000137065,155987585.8,152263411.4,3724174.45
 01/02  03:00:00,58925793.15,0,0,9191897.701,19285200,24906552.85,5542142.599,3.42662E-05,158429086,156728535.2,1700550.808
 01/02  04:00:00,58562909.85,0,0,9191897.701,19285200,24376700.69,5709111.455,3.42662E-05,162940029.5,161239477.4,1700552.018
 01/02  05:00:00,66033420.46,0,0,13777384,19285200,27266590.8,5704245.652,0.000137065,164766280.1,161042066.1,3724213.991
 01/02  06:00:00,82080624.15,0,0,21687347.87,19285200,35695631.8,5412444.482,0.000925187,172120056.8,152881085.4,19238971.34
 01/02  07:00:00,100684754.4,0,0,23445117.62,19285200,53083565.93,4870870.855,0.003221021,202311228.5,137877102.3,64434126.24
 01/02  08:00:00,111095337.8,0,0,21649135.49,19285200,65388425.55,4772576.759,0.003426618,203587540,135106086.5,68481453.44
 01/02  09:00:00,89912102.09,0,0,15665446.93,0,67967412.13,6279243.024,0.003289553,228193126.1,162409890.8,65783235.3
 01/02  10:00:00,79838787.2,0,0,13640190.48,0,59827593.96,6371002.751,0.002878359,220336226.7,162647645.8,57688580.89
 01/02  11:00:00,68910386.02,0,0,13640190.48,0,49327737.83,5942457.704,0.00260423,201340299.9,149048155.3,52292144.62
 01/02  12:00:00,68971692.85,0,0,13640190.48,0,49857589.98,5473912.378,0.002090237,175857007.3,133683180.7,42173826.6
 01/02  13:00:00,67553311.44,0,0,13298350.38,0,49081841.7,5173119.358,0.001816108,161645171,124867780.7,36777390.32
 01/02  14:00:00,66838388.32,0,0,13640190.48,0,47738181.37,5460016.466,0.001610511,165253387.1,132523324,32730063.12
 01/02  15:00:00,66377830.56,0,0,13640190.48,0,47208329.21,5529310.87,0.001404913,163064982.1,134382246.2,28682735.91
 01/02  16:00:00,70833333.78,0,0,16964668.05,0,48797885.67,5070780.055,0.001610511,155117604.7,122387541.6,32730063.12
 01/02  17:00:00,110269792.2,0,0,25868153.95,12856800,66715671.97,4829166.25,0.00188464,153230649,115104149.6,38126499.39
 01/02  18:00:00,136752339.8,0,0,30170497.53,19285200,83933250.96,3363391.268,0.002501431,144279966.2,94011485.21,50268481.01
 01/02  19:00:00,143740163.4,0,0,38309735.72,19285200,83236545.25,2908682.39,0.002946892,140191587.8,81153897.8,59037689.96
 01/02  20:00:00,140502627.1,0,0,44309080.3,19285200,73747799.95,3160546.898,0.002809827,144820640.2,88481168.35,56339471.82
 01/02  21:00:00,138868927,0,0,44844053.7,19285200,71628391.33,3111282.006,0.002569964,138643957.1,87026367,51617590.08
 01/02  22:00:00,119145653,0,0,33074638.86,19285200,63729202.5,3056611.686,0.002090237,127459636.7,85285810.05,42173826.6
 01/02  23:00:00,94739371.32,0,0,21305224.02,19285200,50531492.12,3617455.185,0.001816108,138268269.8,101490879.5,36777390.32
 01/02  24:00:00,74033550.87,0,0,12745649.59,19285200,37863633.89,4139067.394,0.000993719,136580742.4,115992660.9,20588081.5
 01/03  01:00:00,61329401.6,0,0,9191897.701,19285200,28085665.77,4766638.121,0.000274234,139702006.5,133274772.7,6427233.782
 01/03  02:00:00,59407280.88,0,0,9191897.701,19285200,25966257.16,4963926.026,0.000137117,142213989.8,138486818.5,3727171.218
 01/03  03:00:00,58362050.12,0,0,9191897.701,19285200,24906552.85,4978399.572,3.42792E-05,140158121.5,138456821.6,1701299.848
 01/03  04:00:00,57920700.79,0,0,9191897.701,19285200,24376700.69,5066902.399,3.42792E-05,142555688.9,140854387.9,1701301.031
 01/03  05:00:00,65335833.08,0,0,13777384,19285200,27266590.8,5006658.274,0.000137117,142918513.1,139191303.2,3727209.916
 01/03  06:00:00,81533066.85,0,0,21687347.87,19285200,35695631.8,4864887.183,0.000925538,155027827.6,135768634.3,19259193.24
 01/03  07:00:00,100473749.7,0,0,23445117.62,19285200,53083565.93,4659866.154,0.003222244,195401220.5,130896692.2,64504528.3
 01/03  08:00:00,111010543.4,0,0,21649135.49,19285200,65388425.55,4687782.319,0.003427919,200513449.6,131957100.4,68556349.26
 01/03  09:00:00,89850916.48,0,0,15665446.93,0,67967412.13,6218057.414,0.003290802,223888469.8,158033334.5,65855135.29
 01/03  10:00:00,79998011.1,0,0,13640190.48,0,59827593.96,6530226.659,0.002879452,224052080.9,166300587.5,57751493.38
 01/03  11:00:00,69192421.07,0,0,13640190.48,0,49327737.83,6224492.756,0.002605218,210863086.5,158514021,52349065.44
 01/03  12:00:00,70228837.92,0,0,13640190.48,0,49857589.98,6731057.456,0.002091031,213953870.2,171734357.2,42219513.05
 01/03  13:00:00,69023955.74,0,0,13298350.38,0,49081841.7,6643763.66,0.001816797,206549788,169732702.9,36817085.11
