Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/01  01:00:00,7670817.511,98933081,684653809
 01/01  02:00:00,7726122.469,97040740.11,685781260.5
 01/01  03:00:00,7681714.578,95911899.24,682009669.6
 01/01  04:00:00,7394387.064,94733542.26,670896218.3
 01/01  05:00:00,7285055.491,101924851.4,668493497.9
 01/01  06:00:00,7604075.351,118798972.7,697696503.5
 01/01  07:00:00,8020265.579,138521154.6,767588004.4
 01/01  08:00:00,7961148.931,148087799.7,768306648
 01/01  09:00:00,8188494.455,141181669.7,787290175.6
 01/01  10:00:00,8486097.873,131907394.3,793286178.9
 01/01  11:00:00,8700942.398,121920747.6,794591827.6
 01/01  12:00:00,8737613.787,103265314.7,783171522.7
 01/01  13:00:00,8653078.566,98869057.73,777615096.4
 01/01  14:00:00,8517277.366,97035754.14,768000014.1
 01/01  15:00:00,8109558.832,107120423.2,744638616.5
 01/01  16:00:00,7907899.702,123005840.1,737894224.2
 01/01  17:00:00,7710013.278,149016686.2,727827700
 01/01  18:00:00,7521463.625,173953190.3,719372181.5
 01/01  19:00:00,7451640.705,181471455.7,716582080.7
 01/01  20:00:00,7398600.725,177881551,711604161
 01/01  21:00:00,7543485.583,176679998.1,712165936
 01/01  22:00:00,7680734.975,157427816.9,707000041.6
 01/01  23:00:00,7735130.437,132938308.3,711094099
 01/01  24:00:00,7822875.23,112298926.7,702109175.7
 01/02  01:00:00,7909398.185,99518565.4,694892528.7
 01/02  02:00:00,7962201.831,97637843.8,696060756.7
 01/02  03:00:00,7990488.454,96704156.38,695853749.9
 01/02  04:00:00,8013520.514,96259904.92,697531065.2
 01/02  05:00:00,8205501.528,104134522,706838154.9
 01/02  06:00:00,8299705.601,120438053.8,725641233.6
 01/02  07:00:00,7886791.359,138206790.4,761272575.2
 01/02  08:00:00,7615061.242,148310458.5,762221377.8
 01/02  09:00:00,8034030.086,150685633.6,786072630.9
 01/02  10:00:00,8894196.532,142713002,811889836.2
 01/02  11:00:00,9527795.849,133719942.7,829722941.1
 01/02  12:00:00,9835723.305,115717198.8,828699704
 01/02  13:00:00,10143094.94,111193638,836415513.1
 01/02  14:00:00,10327205.54,111010026.5,837720884.6
 01/02  15:00:00,10367479.56,122187621.5,833524895.1
 01/02  16:00:00,10390507.81,138651719.4,836938689
 01/02  17:00:00,10383046.75,165124861.4,834426777.8
 01/02  18:00:00,10336541.73,181353452.4,836478412.5
 01/02  19:00:00,10037896.37,187310462.6,815277657.8
 01/02  20:00:00,10027876.35,183915691.4,814814607.9
 01/02  21:00:00,10151628.33,182721954.2,816222148.8
 01/02  22:00:00,10163201.44,163206512.8,806810722.7
 01/02  23:00:00,10229261.59,138747778.7,811612624.6
 01/02  24:00:00,10311968.26,118095998.4,802648536.8
 01/03  01:00:00,10397491.39,105322739.9,795850125.5
 01/03  02:00:00,10638176.56,103894906.8,805225290.9
 01/03  03:00:00,10808966.47,103311801.6,811361726.8
 01/03  04:00:00,10678369.61,102519564.2,806861718
 01/03  05:00:00,11141335.44,111045713.3,828186761.4
 01/03  06:00:00,11909065.17,128956946.5,876137193.9
 01/03  07:00:00,12714563.42,149578738.6,962546196.6
 01/03  08:00:00,13481769.45,162102314.2,1006976378
 01/03  09:00:00,14218343.82,165082162.1,1042899397
 01/03  10:00:00,14582881.94,155942256.4,1049063931
 01/03  11:00:00,15006225.93,146447542.8,1059084355
 01/03  12:00:00,14478632.69,126580338.3,1025523930
 01/03  13:00:00,13353464.14,118892665.5,977211601.7
 01/03  14:00:00,12619784.94,116741717,944928467.9
 01/03  15:00:00,13026691.87,128798417.3,957266961.7
 01/03  16:00:00,14355921.1,147998287.8,1007400195
 01/03  17:00:00,14963711.02,175780623.5,1027557442
 01/03  18:00:00,15313347.61,193003512,1046432514
 01/03  19:00:00,15133407.23,199240535.5,1029436806
 01/03  20:00:00,15390022.09,196433572.2,1039620574
 01/03  21:00:00,15188007.5,194445834.1,1026324167
 01/03  22:00:00,13813530.71,171676555.5,956815481.7
 01/03  23:00:00,12655976.67,144381456.6,910306108.1
 01/03  24:00:00,12159017.66,122378296.2,877020185.8
 01/04  01:00:00,11379535.8,107574245.2,833495949.1
 01/04  02:00:00,10709582.92,103951601.3,802966285.8
 01/04  03:00:00,10584202.47,102658269.7,796448600.2
 01/04  04:00:00,10261985.07,101424809.3,784217110.3
 01/04  05:00:00,9307317.6,106583970,745105286.6
 01/04  06:00:00,8567731.864,120909536.5,728974002.1
 01/04  07:00:00,8551966.688,139546454.3,779502271.6
 01/04  08:00:00,8617302.597,150348787.7,792110258.6
 01/04  09:00:00,8249483.42,150907499.9,782083597.5
 01/04  10:00:00,7819900.034,139909486.2,754674531.5
 01/04  11:00:00,7672518.022,129087203.2,740480888.1
 01/04  12:00:00,7458119.274,109821256.5,717068959.8
 01/04  13:00:00,7080139.095,103706002.3,697076778
 01/04  14:00:00,6952739.076,102886451.4,688380338.9
 01/04  15:00:00,6971846.248,110175512.7,684204853
 01/04  16:00:00,7130507.502,130767826.8,692178289.8
 01/04  17:00:00,6997016.49,156908468,684097025.8
 01/04  18:00:00,6752025.669,172535973.3,678151899.9
 01/04  19:00:00,6808066.58,179383409.5,673611302.4
 01/04  20:00:00,6626351.161,175525498.4,664700883.4
 01/04  21:00:00,6386054.497,173470675.1,651393805.2
 01/04  22:00:00,6348928.684,153857208.5,640610618.2
 01/04  23:00:00,6378928.778,129358169.3,645007928.9
 01/04  24:00:00,6620937.078,109105897.7,642918506.7
