Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/01  01:00:00,0,71042662.38,102948055.7
 01/01  02:00:00,0,71005641.08,140974836.4
 01/01  03:00:00,0,71127186.06,160729909.5
 01/01  04:00:00,0,71094838.11,169526027.8
 01/01  05:00:00,0,79219697.39,182902678.6
 01/01  06:00:00,0,96158167.28,206097163
 01/01  07:00:00,0,115689023.6,248977989.5
 01/01  08:00:00,0,113865333,251016533.1
 01/01  09:00:00,0,92805936.05,220382973
 01/01  10:00:00,0,79278687.85,150764770.8
 01/01  11:00:00,0,66949924.53,89443972.37
 01/01  12:00:00,0,69666445.61,58093909.51
 01/01  13:00:00,0,72703080.83,46952812.13
 01/01  14:00:00,0,73821017.63,38120774.75
 01/01  15:00:00,0,73527152.49,29680386.44
 01/01  16:00:00,0,73888694.26,30064008.47
 01/01  17:00:00,0,100188479.1,31618830.68
 01/01  18:00:00,0,138497183.3,41840029.05
 01/01  19:00:00,0,151904643.2,55882053.54
 01/01  20:00:00,0,147931340.8,60031696.42
 01/01  21:00:00,0,146249691.3,60481852.11
 01/01  22:00:00,0,127249915.9,66213399.13
 01/01  23:00:00,0,102952602.9,74856827.06
 01/01  24:00:00,0,82475560.33,76652702.3
 01/02  01:00:00,0,69733185.04,76955606.64
 01/02  02:00:00,0,67986873.36,82193435.13
 01/02  03:00:00,0,67358538.04,89054645.17
 01/02  04:00:00,0,67055616.71,93514843.36
 01/02  05:00:00,0,75477061.83,113016752.5
 01/02  06:00:00,0,92541222.2,138601215.4
 01/02  07:00:00,0,110651423.9,154857077.3
 01/02  08:00:00,0,109208354.7,150968159.2
 01/02  09:00:00,0,98410551.34,149962693.6
 01/02  10:00:00,0,86349038.85,104831695.8
 01/02  11:00:00,0,75472650.04,69000942.24
 01/02  12:00:00,0,76816671.8,49348529.99
 01/02  13:00:00,0,74142669.44,41488790.13
 01/02  14:00:00,0,72775335.48,37956933.23
 01/02  15:00:00,0,72331306.11,30646156.15
 01/02  16:00:00,0,77016010.68,31507662.55
 01/02  17:00:00,0,104536942.2,34944968
 01/02  18:00:00,0,136372510.4,46491957.06
 01/02  19:00:00,0,151152768.7,58666826.92
 01/02  20:00:00,0,148119378.2,69432943.55
 01/02  21:00:00,0,147230377.5,79551107.83
 01/02  22:00:00,0,128536359.7,91071799.91
 01/02  23:00:00,0,104525509.9,105683023.4
 01/02  24:00:00,0,84026616.8,107420545.1
 01/03  01:00:00,0,71579269.63,112573286.8
 01/03  02:00:00,0,70271937.34,125139691.7
 01/03  03:00:00,0,69865118.69,135358530.8
 01/03  04:00:00,0,69610752.5,140241857
 01/03  05:00:00,0,77794694.98,155010519.8
 01/03  06:00:00,0,94529083.41,174655287.3
 01/03  07:00:00,0,113416153,205751980.9
 01/03  08:00:00,0,111995183.6,202370992.6
 01/03  09:00:00,0,99624432.61,172237732.7
 01/03  10:00:00,0,86709271.42,106704078
 01/03  11:00:00,0,75492958.78,69720039.1
 01/03  12:00:00,0,75209622.39,54622140.47
 01/03  13:00:00,0,73310186.2,49540904.84
 01/03  14:00:00,0,72603720.33,41146080.65
 01/03  15:00:00,0,71886592.46,31970128.71
 01/03  16:00:00,0,76698261.93,31791515.17
 01/03  17:00:00,0,104498587.9,33528627.17
 01/03  18:00:00,0,136153340.9,44118758.02
 01/03  19:00:00,0,150768139.6,53209432.16
 01/03  20:00:00,0,147629543.1,59625917.12
 01/03  21:00:00,0,146878482.2,72575427.48
 01/03  22:00:00,0,127677766.8,74320972.84
 01/03  23:00:00,0,104011646.9,95691832.31
 01/03  24:00:00,0,83940112.3,105697975.2
 01/04  01:00:00,0,71774728.54,115708089.7
 01/04  02:00:00,0,70881618.77,136081868.5
 01/04  03:00:00,0,70770758.28,151957425.5
 01/04  04:00:00,0,71470318.33,174810123.6
 01/04  05:00:00,0,80353967.17,202589782.7
 01/04  06:00:00,0,97219120.2,224640659.6
 01/04  07:00:00,0,116453950.6,262360751.6
 01/04  08:00:00,0,115538806.1,268537504.9
 01/04  09:00:00,0,102614603,228668999.4
 01/04  10:00:00,0,89214818.08,156558485.8
 01/04  11:00:00,0,77371113.44,112755172.2
 01/04  12:00:00,0,78612342.38,79781284.1
