Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/01  01:00:00,4193891.135,90447501.98,557345580
 01/01  02:00:00,6539976.01,94057188.2,659746131.1
 01/01  03:00:00,6377165.532,92754970.19,653163661.4
 01/01  04:00:00,6392861.59,92361508.23,655737676.9
 01/01  05:00:00,6390764.916,99791985.3,655812443.9
 01/01  06:00:00,6386721.658,115855949.4,664953653.5
 01/01  07:00:00,6464833.871,134720820.9,706034357.6
 01/01  08:00:00,6292559.785,128477607.3,697560051.2
 01/01  09:00:00,5541428.617,111214373.6,667671571.2
 01/01  10:00:00,4409177.63,98196084.91,605438464.9
 01/01  11:00:00,3319060.963,84654650.07,540220488.9
 01/01  12:00:00,2254761.926,82553380.35,482090826.6
 01/01  13:00:00,1442464.167,80403864.09,451550197.5
 01/01  14:00:00,799872.379,77529697.77,427720046.2
 01/01  15:00:00,465600.7659,76396732.57,415207329.2
 01/01  16:00:00,412359.299,81276271.87,420466903.8
 01/01  17:00:00,390012.4702,123273173.6,419954603.4
 01/01  18:00:00,501878.0634,156777939.3,424521767.6
 01/01  19:00:00,713588.5736,165090017.3,434309827.5
 01/01  20:00:00,484518.7161,161168714.6,425166722.3
 01/01  21:00:00,429955.0453,159514935.4,419300984.5
 01/01  22:00:00,436428.0816,139966574,411494470.7
 01/01  23:00:00,610643.2501,115784543.1,422123223
 01/01  24:00:00,879537.7738,95558144.05,423986082.3
 01/02  01:00:00,1654431.874,84395498.11,448290682.3
 01/02  02:00:00,1908747.081,82997212.2,458341802.3
 01/02  03:00:00,1912041.86,82020712.88,457749937.6
 01/02  04:00:00,1944633.535,81589356.1,459288551.4
 01/02  05:00:00,1402552.379,87721017.05,437245905.4
 01/02  06:00:00,1064909.666,103001595.2,433974441.1
 01/02  07:00:00,901634.8339,121281465.2,465976013.6
 01/02  08:00:00,757497.0003,116179585,469781866.3
 01/02  09:00:00,543118.7286,108857280,469777346.9
 01/02  10:00:00,167055.2899,97927673.43,445574863.2
 01/02  11:00:00,0,86434769.11,415752863.9
 01/02  12:00:00,0,86417469.54,387650173.7
 01/02  13:00:00,0,84691256.02,374581429.6
 01/02  14:00:00,0,84571569.81,384759769
 01/02  15:00:00,0,84696886.32,399482154
 01/02  16:00:00,0,89262506.13,393584941
 01/02  17:00:00,0,130973552.9,383631299.5
 01/02  18:00:00,0,155853262,395153632.5
 01/02  19:00:00,0,162618270.4,386637090.9
 01/02  20:00:00,0,158633696.7,369273927.2
 01/02  21:00:00,0,156740477,354947491.7
 01/02  22:00:00,0,136829607.3,337069137.7
 01/02  23:00:00,0,112938469.5,361185016.3
 01/02  24:00:00,0,92801710.41,373305840.3
 01/03  01:00:00,0,79979094.45,370765861.4
 01/03  02:00:00,0,78137412.02,375005840.6
 01/03  03:00:00,0,77073585.18,371864900.3
 01/03  04:00:00,0,76747232.6,377394421.2
 01/03  05:00:00,65044.71834,84927385.96,397534307.9
 01/03  06:00:00,637968.4072,102427468.3,432143274.8
 01/03  07:00:00,1257965.518,122551530.6,495420610.2
 01/03  08:00:00,1525878.296,118413891.9,515325193.5
 01/03  09:00:00,1857616.09,112392940.8,535281514.6
 01/03  10:00:00,2095615.119,102856461.7,535111242.1
 01/03  11:00:00,1908229.039,91823934.3,517511730.6
 01/03  12:00:00,1575201.498,91533325.56,490456299.9
 01/03  13:00:00,1236558.103,89259660.29,470453052.7
 01/03  14:00:00,1056285.717,88266748.06,459771629
 01/03  15:00:00,1007371.362,87696276.52,454871946.9
 01/03  16:00:00,982805.863,92510429.45,457354149.9
 01/03  17:00:00,1001861.464,134579057.3,457427263.1
 01/03  18:00:00,1003919.094,159065766.1,456929840.6
 01/03  19:00:00,975856.7174,166000048.5,453802616.8
 01/03  20:00:00,988379.3983,162596673.3,452844883.6
 01/03  21:00:00,1029842.693,161152061.2,450210547.3
 01/03  22:00:00,1126747.426,141787376,445080276.8
 01/03  23:00:00,1281030.362,117508378.3,453521112.8
