Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/01  01:00:00,0,74032845.47,4278482.119
 01/01  02:00:00,0,67384739.12,2665409.966
 01/01  03:00:00,0,64943046.99,1455582.702
 01/01  04:00:00,0,63933987.17,1455582.589
 01/01  05:00:00,0,71378533.42,2665406.649
 01/01  06:00:00,0,87897341.28,11940721.89
 01/01  07:00:00,0,107506478.8,38960119.25
 01/01  08:00:00,0,103390250.9,41379766.8
 01/01  09:00:00,0,126888681.6,39766668.43
 01/01  10:00:00,0,164997880.9,34927373.34
 01/01  11:00:00,0,190370298.1,31701176.61
 01/01  12:00:00,0,195268251.3,25652057.75
 01/01  13:00:00,0,202819878,22425861.02
 01/01  14:00:00,0,207939494.2,20006213.47
 01/01  15:00:00,0,200596445.7,17586565.92
 01/01  16:00:00,0,199768702.9,20006213.47
 01/01  17:00:00,0,207968472.3,23232410.2
 01/01  18:00:00,0,218493117.6,30491352.84
 01/01  19:00:00,0,221317353.3,35733922.52
 01/01  20:00:00,0,206532852.7,34120824.16
 01/01  21:00:00,0,197921898.8,31297902.02
 01/01  22:00:00,0,175710071.2,25652057.75
 01/01  23:00:00,0,139631134.2,22425861.02
 01/01  24:00:00,0,99254581.21,12747270.83
 01/02  01:00:00,0,75114919.11,4280493.843
 01/02  02:00:00,0,69097746.58,2666606.785
 01/02  03:00:00,0,65665913.63,1455886.696
 01/02  04:00:00,0,64132338.58,1455887.552
 01/02  05:00:00,0,71142567.5,2666631.907
 01/02  06:00:00,0,87629601.45,11949024.61
 01/02  07:00:00,0,107761708,38989032.03
 01/02  08:00:00,0,103253095.8,41410525.08
 01/02  09:00:00,0,128123440.6,39796196.38
 01/02  10:00:00,0,163662361.8,34953210.29
 01/02  11:00:00,0,194964866.1,31724552.9
 01/02  12:00:00,0,217180261.2,25670820.3
 01/02  13:00:00,0,217608723,22442162.91
 01/02  14:00:00,0,237666234,20020669.86
 01/02  15:00:00,0,268946000,17599176.82
 01/02  16:00:00,0,240312324.4,20020669.86
 01/02  17:00:00,0,232218220.8,23249327.25
 01/02  18:00:00,0,226216489.9,30513806.38
 01/02  19:00:00,0,222066165.8,35760374.64
 01/02  20:00:00,0,204400658.9,34146045.95
 01/02  21:00:00,0,192849467.2,31320970.73
 01/02  22:00:00,0,166815821.5,25670820.3
 01/02  23:00:00,0,126444788.5,22442162.91
 01/02  24:00:00,0,92691802.9,12756190.73
 01/03  01:00:00,0,74380804.36,4282838.661
 01/03  02:00:00,0,70438674.74,2667767.237
 01/03  03:00:00,0,68585962,1456176.561
 01/03  04:00:00,0,67451295.4,1456177.366
 01/03  05:00:00,0,74154083.6,2667790.883
 01/03  06:00:00,0,90483814.78,11956846.01
 01/03  07:00:00,0,110749775.2,39016261.71
 01/03  08:00:00,0,108293595.9,41439492.81
 01/03  09:00:00,0,143144903.8,39824005.41
 01/03  10:00:00,0,183274411.1,34977543.19
 01/03  11:00:00,0,191673259.5,31746568.38
 01/03  12:00:00,0,205381347.1,25688490.62
 01/03  13:00:00,0,209320872.6,22457515.81
 01/03  14:00:00,0,215441994.1,20034284.7
 01/03  15:00:00,0,222063788.4,17611053.59
 01/03  16:00:00,0,226494832.2,20034284.7
 01/03  17:00:00,0,228371214.9,23265259.51
 01/03  18:00:00,0,219641042.2,30534952.83
 01/03  19:00:00,0,219586264.4,35785286.9
 01/03  20:00:00,0,206509648.7,34169799.49
 01/03  21:00:00,0,199250981.7,31342696.53
 01/03  22:00:00,0,172132751,25688490.62
 01/03  23:00:00,0,133525809.7,22457515.81
 01/03  24:00:00,0,97322673.51,12764591.38
 01/04  01:00:00,0,76196926.89,4285039.687
 01/04  02:00:00,0,70764095.26,2668855.729
 01/04  03:00:00,0,67364795.85,1456448.435
 01/04  04:00:00,0,66323102.6,1456449.19
 01/04  05:00:00,0,73988268.76,2668877.895
 01/04  06:00:00,0,89743802.54,11964181.64
 01/04  07:00:00,0,109089202,39041800.21
 01/04  08:00:00,0,102943737.3,41466661.43
 01/04  09:00:00,0,116534323.6,39850087.28
