Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,88914729.58,3262877.775,0,14886432.88,23169600,28085665.77,19510153.15,0.000295435,513364041.1,505310700.8,8053340.259
 01/01  02:00:00,84723675.31,2373092.086,0,14886432.88,23169600,25966257.16,18328293.19,0.000147717,474999731.6,470446900.8,4552830.779
 01/01  03:00:00,84072702.76,2527480.42,0,14886432.88,23169600,24906552.85,18582636.61,3.69291E-05,479521185.1,477593746.9,1927438.215
 01/01  04:00:00,83912685.61,2677890.855,0,14886432.88,23169600,24376700.69,18802061.18,3.69291E-05,485675384.5,483747946.3,1927438.176
 01/01  05:00:00,91569909.33,2782040.814,0,19471919.18,23169600,27266590.8,18879758.53,0.000147717,490590718.1,486037888.7,4552829.448
 01/01  06:00:00,107820795,2849770.303,0,27381883.05,23169600,35695631.8,18723909.85,0.000997087,506882568.3,482201739.5,24680828.8
 01/01  07:00:00,126556820.2,2865444.157,0,29139652.8,23169600,53083565.93,18298557.33,0.003471339,554502741.9,471188175.6,83314566.27
 01/01  08:00:00,136228385.9,2850617.365,0,27343670.67,23169600,64691719.85,18172778,0.003692914,556731364.5,468166015.8,88565348.73
 01/01  09:00:00,105491119.4,2815826.283,0,18898733.4,0,65221572,18554987.69,0.003545197,563634587.2,478569760.1,85064827.09
 01/01  10:00:00,95093406.41,2669394.506,0,16873476.95,0,57081753.83,18468781.13,0.003102048,550669057.9,476105795.7,74563262.17
 01/01  11:00:00,84191612.42,2509224.922,0,16873476.95,0,46581897.7,18227012.85,0.002806615,536960509.4,469398290.5,67562218.88
 01/01  12:00:00,84281631,2329618.782,0,16873476.95,0,47111749.85,17966785.42,0.002252677,516622961.4,462187698.7,54435262.73
 01/01  13:00:00,83464922.94,2198100.052,0,16873476.95,0,46581897.7,17811448.25,0.001957244,505316865.1,457882645.7,47434219.44
 01/01  14:00:00,81841116.36,2145168.478,0,16873476.95,0,44992341.23,17830129.7,0.00173567,500534144.7,458350707.7,42183436.98
 01/01  15:00:00,81376647.82,2137751.491,0,16873476.95,0,44462489.08,17902930.3,0.001514095,497178412,460245757.4,36932654.52
 01/01  16:00:00,86580358.99,2277680.315,0,20197954.51,0,46052045.54,18052678.61,0.00173567,506758362.7,464574925.8,42183436.98
 01/01  17:00:00,129015157.2,2471113.763,0,29101440.42,15446400,63969831.83,18026371.2,0.002031103,513555286.4,464370806.1,49184480.26
 01/01  18:00:00,162504971.7,2620018.321,0,35865032.71,23169600,83236545.25,17613775.37,0.002695827,518801218.2,453864390.5,64936827.65
 01/01  19:00:00,170743742.5,2832696.231,0,44004270.9,23169600,83236545.25,17500630.16,0.003175906,528100069.8,451786546.8,76313522.99
 01/01  20:00:00,168158839.3,3167970.8,0,50003615.48,23169600,73747799.95,18069853.06,0.003028189,541164959.5,468351958.1,72813001.34
 01/01  21:00:00,167575915.3,3536051.196,0,50538588.88,23169600,71628391.33,18703283.88,0.002769685,553260723.8,486573635.3,66687088.47
 01/01  22:00:00,148816011.4,3859561.154,0,38769174.04,23169600,63729202.5,19288473.67,0.002252677,557552248.1,503116985.4,54435262.73
 01/01  23:00:00,124929914,4153506.669,0,26999759.2,23169600,50531492.12,20075556.02,0.001957244,572357506.7,524923287.3,47434219.44
 01/01  24:00:00,104900872.4,4493119.401,0,18440184.77,23169600,37863633.89,20934334.39,0.001070945,575189440.8,548758351.2,26431089.59
 01/02  01:00:00,92776160.79,4849765.649,0,14886432.88,23169600,28085665.77,21784696.49,0.000295595,580511530.2,572447776.3,8063753.889
 01/02  02:00:00,91513460.27,5155929.991,0,14886432.88,23169600,25966257.16,22335240.24,0.000147798,592441002.2,587881735.6,4559266.591
 01/02  03:00:00,91226991.53,5446218.175,0,14886432.88,23169600,24906552.85,22818187.63,3.69494E-05,603575230.6,601646170.3,1929060.313
 01/02  04:00:00,91839482.39,5901743.953,0,14886432.88,23169600,24376700.69,23505004.86,3.69494E-05,623782881.8,621853819.5,1929062.323
 01/02  05:00:00,100646565.5,6472404.515,0,19471919.18,23169600,27266590.8,24266051.01,0.000147798,649443650.3,644884314.7,4559335.566
 01/02  06:00:00,118039379.9,7010237.938,0,27381883.05,23169600,35695631.8,24782027.08,0.000997634,686020000.8,661295216.5,24724784.37
 01/02  07:00:00,137460427.9,7305049.258,0,29139652.8,23169600,53083565.93,24762559.9,0.003473246,745492055.8,662024454.3,83467601.49
 01/02  08:00:00,148491051.9,7423563.137,0,27343670.67,23169600,65388425.55,25165792.58,0.003694943,761831370.7,673103218.5,88728152.15
 01/02  09:00:00,125510631.1,7209682.074,0,23919589.28,0,67967412.13,26413947.6,0.003547145,753077081.6,667855963.2,85221118.37
 01/02  10:00:00,113164732.5,6277182.743,0,21894332.83,0,59827593.96,25165622.94,0.003103752,701406090,626706073,74700017.04
 01/02  11:00:00,100462662.8,5527414.899,0,21894332.83,0,49327737.83,23713177.23,0.002808156,649089630.2,581403680.7,67685949.48
 01/02  12:00:00,99033143.11,4916262.815,0,21894332.83,0,49857589.98,22364957.48,0.002253915,594449953,539915380.2,54534572.81
 01/02  13:00:00,95632991.88,4220109.602,0,21196991.74,0,49081841.7,21134048.84,0.00195832,550708816.5,503188311.2,47520505.26
 01/02  14:00:00,93156987.66,3416230.405,0,21894332.83,0,47738181.37,20108243.06,0.001736623,514067792,471807837.4,42259954.59
 01/02  15:00:00,90824969.13,2467228.386,0,21894332.83,0,47208329.21,19255078.7,0.001514926,483768556.2,446769152.3,36999403.92
 01/02  16:00:00,95899538.25,2317137.691,0,25218810.4,0,48797885.67,19565704.48,0.001736623,497948447,455688492.4,42259954.59
 01/02  17:00:00,140619534.9,3421317.042,0,34122296.3,15446400,66715671.97,20913849.56,0.002032218,544034692.5,494760670.4,49274022.15
 01/02  18:00:00,167240264.8,4478410.859,0,35865032.71,23169600,83933250.96,19793970.22,0.002697308,583408184.3,518352510.1,65055674.15
 01/02  19:00:00,175852436.3,5232366.421,0,44004270.9,23169600,83236545.25,20209653.7,0.003177651,608846831.2,532393297.3,76453533.93
 01/02  20:00:00,174190182.9,5960309.608,0,50003615.48,23169600,73747799.95,21308857.86,0.003029853,638185238.2,565238738.1,72946500.15
 01/02  21:00:00,174592320.2,6728087.918,0,50538588.88,23169600,71628391.33,22527652.06,0.002771207,668342096.8,601532905.8,66809191.04
 01/02  22:00:00,156108584.1,7146961.283,0,38769174.04,23169600,63729202.5,23293646.29,0.002253915,678267182.8,623732610,54534572.81
 01/02  23:00:00,131990973.9,7326973.456,0,26999759.2,23169600,50531492.12,23963149.14,0.00195832,689727552.1,642207046.9,47520505.26
 01/02  24:00:00,111663662.6,7528090.02,0,18440184.77,23169600,37863633.89,24662153.97,0.001071533,687947651.3,661469348.7,26478302.59
 01/03  01:00:00,99020051.47,7660045.792,0,14886432.88,23169600,28085665.77,25218307.02,0.000295755,684450820.9,676374173.9,8076646.946
 01/03  02:00:00,97138602.03,7705802.544,0,14886432.88,23169600,25966257.16,25410509.45,0.000147878,685523375.7,680957677.9,4565697.755
 01/03  03:00:00,96170780.4,7713375.482,0,14886432.88,23169600,24906552.85,25494819.19,3.69694E-05,684598119.4,682667451.5,1930667.925
 01/03  04:00:00,95653209.7,7701307.703,0,14886432.88,23169600,24376700.69,25519168.42,3.69694E-05,684679632.7,682748962.8,1930669.906
