Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,95163047.32,5245592.901,0,14886432.88,23169600,28085665.77,23775755.76,0.000288496,584064049.8,576539130.6,7524919.223
 01/01  02:00:00,98918459.46,7495002.106,0,14886432.88,23169600,25966257.16,27401167.31,0.000144247,680678745,676390124.2,4288620.847
 01/01  03:00:00,97535009.83,7316406.362,0,14886432.88,23169600,24906552.85,27256017.74,3.60618E-05,672507512.2,670646126.5,1861385.708
 01/01  04:00:00,98055342.39,7694891.162,0,14886432.88,23169600,24376700.69,27927717.66,3.60618E-05,690637880.5,688776494.9,1861385.664
 01/01  05:00:00,104667555.8,7376829.657,0,19471919.18,23169600,27266590.8,27382616.19,0.000144247,676537137.1,672248517.7,4288619.374
 01/01  06:00:00,119570292.1,6925939.972,0,27381883.05,23169600,35695631.8,26397237.26,0.000973669,667223449.6,644326038.9,22897410.66
 01/01  07:00:00,140129111.1,7689019.605,0,29139652.8,23169600,53083565.93,27047272.77,0.003389811,741282576.8,664176947.8,77105629.04
 01/01  08:00:00,151261617,8276987.318,0,27343670.67,23169600,64691719.85,27779639.11,0.003606182,767424608.8,685464512.5,81960096.36
 01/01  09:00:00,123114750.4,7778013.419,0,18898733.4,3861600,65221572,27354831.56,0.003461935,751152387.5,672428602.7,78723784.81
 01/01  10:00:00,104672039,6094121.588,0,16873476.95,0,57081753.83,24622686.65,0.003029193,665580325.4,596565475.3,69014850.17
 01/01  11:00:00,91922500,5346283.554,0,16873476.95,0,46581897.7,23120841.8,0.002740698,618792743.8,556250516.7,62542227.08
 01/01  12:00:00,90581569.84,4760047.947,0,16873476.95,0,47111749.85,21836295.1,0.002199771,572567487.5,522161428.8,50406058.78
 01/01  13:00:00,87064992.27,3587399.743,0,16873476.95,0,46581897.7,20022217.88,0.001911276,517330838.3,473397402.6,43933435.68
 01/01  14:00:00,82278755.61,2389038.684,0,16873476.95,0,44992341.23,18023898.74,0.001694905,460241266.9,421162298.5,39078968.36
 01/01  15:00:00,79445636.36,1303634.606,0,16873476.95,0,44462489.08,16806035.73,0.001478535,423415160.2,389190659.2,34224501.04
 01/01  16:00:00,83168447.82,793969.7581,0,20197954.51,0,46052045.54,16124478,0.001694905,411159346.5,372080378.2,39078968.36
 01/01  17:00:00,117273417.2,671265.0139,0,29101440.42,7723200,63969831.83,15807679.88,0.0019834,410285004.2,364733412.7,45551591.46
 01/01  18:00:00,160344965.2,1503785.798,0,35865032.71,23169600,83236545.25,16570001.42,0.002632513,446117114.9,386002121.5,60114993.42
 01/01  19:00:00,167937481.7,1432432.987,0,44004270.9,23169600,83236545.25,16094632.56,0.003101316,445347612.3,374714606.3,70633005.94
 01/01  20:00:00,162978409.6,778382.6235,0,50003615.48,23169600,73747799.95,15279011.58,0.002957069,421071176.5,353674482.1,67396694.4
 01/01  21:00:00,163142350.8,1394390.147,0,50538588.88,23169600,71628391.33,16411380.45,0.002704636,444677000.9,382943851.8,61733149.19
 01/01  22:00:00,145878034.8,2273682.75,0,38769174.04,23169600,63729202.5,17936375.56,0.002199771,472835362.9,422429304.1,50406058.78
 01/01  23:00:00,122221318.9,2617942.967,0,26999759.2,23169600,50531492.12,18902524.61,0.001911276,490568469.9,446635034.2,43933435.68
 01/01  24:00:00,101085128.8,2484271.221,0,18440184.77,23169600,37863633.89,19127438.89,0.001045793,475449268.5,450933702.1,24515566.4
 01/02  01:00:00,87928328.57,2413993.871,0,14886432.88,23169600,28085665.77,19372636.04,0.000288666,463561932.8,456027085.9,7534846.87
 01/02  02:00:00,85823079.93,2377215.109,0,14886432.88,23169600,25966257.16,19423574.78,0.000144333,460739775.3,456445029.7,4294745.585
 01/02  03:00:00,83338669.88,1794534.354,0,14886432.88,23169600,24906552.85,18581549.8,3.60832E-05,435226881.3,433363951.1,1862930.164
 01/02  04:00:00,81595749.19,1310487.948,0,14886432.88,23169600,24376700.69,17852527.67,3.60832E-05,415685058.6,413822126.4,1862932.24
 01/02  05:00:00,91845083.93,2437437.464,0,19471919.18,23169600,27266590.8,19499536.48,0.000144333,461871406.5,457576590.8,4294815.696
