Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,79342377.53,0,0,14886432.88,23169600,28085665.77,13200678.87,0.000274025,371083031.2,364502203.7,6580827.509
 01/01  02:00:00,77231406.58,0,0,14886432.88,23169600,25966257.16,13209116.54,0.000137012,367921944,364105367.6,3816576.319
 01/01  03:00:00,76585913.13,0,0,14886432.88,23169600,24906552.85,13623327.4,3.42529E-05,378409165.1,376665790.6,1743374.521
 01/01  04:00:00,76578902.67,0,0,14886432.88,23169600,24376700.69,14146169.09,3.42529E-05,394558760,392815385.6,1743374.466
 01/01  05:00:00,84376936.64,0,0,19471919.18,23169600,27266590.8,14468826.66,0.000137012,406693474.5,402876900,3816574.518
 01/01  06:00:00,100503594.9,0,0,27381883.05,23169600,35695631.8,14256480.03,0.000924828,416321448.8,396610341.2,19711107.54
 01/01  07:00:00,118822091.7,0,0,29139652.8,23169600,53083565.93,13429272.99,0.003219771,437435026.6,371422452.9,66012573.66
 01/01  08:00:00,128269092.5,0,0,27343670.67,23169600,64691719.85,13064101.93,0.003425288,430297092.1,360138118.5,70158973.62
 01/01  09:00:00,97530532.5,0,0,18898733.4,0,65221572,13410227.09,0.003288277,437578245.5,370183538.5,67394706.98
 01/01  10:00:00,87154611.84,0,0,16873476.95,0,57081753.83,13199381.07,0.002877242,423601566.1,364499659,59101907.07
 01/01  11:00:00,75837992.72,0,0,16873476.95,0,46581897.7,12382618.07,0.002603219,394000020.9,340426647.1,53573373.8
 01/01  12:00:00,75316749.19,0,0,16873476.95,0,47111749.85,11331522.39,0.002089426,352412830.1,309205456.2,43207373.91
 01/01  13:00:00,73842532.61,0,0,16873476.95,0,46581897.7,10387157.96,0.001815403,319036467,281357626.4,37678840.63
 01/01  14:00:00,72315166.91,0,0,16873476.95,0,44992341.23,10449348.72,0.001609885,317166117.8,283633677.1,33532440.68
 01/01  15:00:00,72698321.8,0,0,16873476.95,0,44462489.08,11362355.77,0.001404368,340664962.7,311278922,29386040.72
 01/01  16:00:00,79291323.8,0,0,20197954.51,0,46052045.54,13041323.74,0.001609885,395557015.4,362024574.7,33532440.68
 01/01  17:00:00,121691047.1,0,0,29101440.42,15446400,63969831.83,13173374.87,0.001883909,406346460.2,367285486.3,39060973.95
 01/01  18:00:00,154834526.2,0,0,35865032.71,23169600,83236545.25,12563348.27,0.00250046,400961031.1,349460857.2,51500173.82
 01/01  19:00:00,162584828.3,0,0,44004270.9,23169600,83236545.25,12174412.13,0.002945748,398576659.5,338092619.1,60484040.39
 01/01  20:00:00,159208046.3,0,0,50003615.48,23169600,73747799.95,12287030.89,0.002808736,398942226.2,341222452.5,57719773.75
 01/01  21:00:00,157726392.4,0,0,50538588.88,23169600,71628391.33,12389812.14,0.002568966,396942638.2,344060331,52882307.14
 01/01  22:00:00,138196893.8,0,0,38769174.04,23169600,63729202.5,12528917.27,0.002089426,391135620.5,347928246.6,43207373.91
 01/01  23:00:00,113743145.3,0,0,26999759.2,23169600,50531492.12,13042294,0.001815403,400251049.2,362572208.5,37678840.63
 01/01  24:00:00,93051636.59,0,0,18440184.77,23169600,37863633.89,13578217.93,0.000993334,398951098,377857857.2,21093240.81
 01/02  01:00:00,80215120.97,0,0,14886432.88,23169600,28085665.77,14073422.31,0.00027413,398536766.7,391950902.8,6585863.935
 01/02  02:00:00,78327194.66,0,0,14886432.88,23169600,25966257.16,14304904.62,0.000137065,402265949.5,398446283.4,3819666.103
