Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,105993210.8,10202410.05,0,14886432.88,23169600,28085665.77,29649102.05,0.000302389,813638242.5,804994505.2,8643737.353
 01/01  02:00:00,104090590.9,10250002.04,0,14886432.88,23169600,25966257.16,29818298.84,0.000151194,814689582.2,809841553.5,4848028.77
 01/01  03:00:00,102941383.7,10202156.79,0,14886432.88,23169600,24906552.85,29776641.21,3.77985E-05,810399379.9,808398142.2,2001237.736
 01/01  04:00:00,101724028,9913682.255,0,14886432.88,23169600,24376700.69,29377612.14,3.77985E-05,798069517.2,796068279.5,2001237.702
 01/01  05:00:00,108865123.7,9804241.991,0,19471919.18,23169600,27266590.8,29152771.74,0.000151194,794209603.1,789361575.5,4848027.573
 01/01  06:00:00,125718664.1,10130582.81,0,27381883.05,23169600,35695631.8,29340966.46,0.001020559,822814685.3,796141269.1,26673416.26
 01/01  07:00:00,145505591,10566197.54,0,29139652.8,23169600,53083565.93,29546574.69,0.003553057,894237393.3,803985670.7,90251722.63
 01/01  08:00:00,155187875,10536379.69,0,27343670.67,23169600,64691719.85,29446504.83,0.003779848,897419730.4,801474428.1,95945302.31
 01/01  09:00:00,148368416,10788700.95,0,18898733.4,23169600,65221572,30289809.65,0.003628654,918267716.1,826118133.5,92149582.52
 01/01  10:00:00,139149383.5,11098991.11,0,16873476.95,23169600,57081753.83,30925561.6,0.003175072,925561304.9,844798881.8,80762423.17
 01/01  11:00:00,129222052.2,11324953.18,0,16873476.95,23169600,46581897.7,31272124.37,0.002872684,928269414.5,855098430.9,73170983.6
 01/01  12:00:00,110680057.6,11424445.41,0,16873476.95,3861600,47111749.85,31408785.39,0.002305707,918267226.2,859330191.8,58937034.41
 01/01  13:00:00,106270954.5,11389458.58,0,16873476.95,0,46581897.7,31426121.26,0.002003319,910900603.3,859555008.5,51345594.84
 01/01  14:00:00,104371756.6,11232930.48,0,16873476.95,0,44992341.23,31273007.93,0.001776528,899894160.3,854242145.1,45652015.16
 01/01  15:00:00,114407941.2,10790439.27,0,16873476.95,11584800,44462489.08,30696735.85,0.001549738,875900357.2,835941921.7,39958435.48
 01/01  16:00:00,130248276.2,10563695.37,0,20197954.51,23169600,46052045.54,30264980.81,0.001776528,868473527.8,822821512.6,45652015.16
 01/01  17:00:00,156219499.8,10362466.74,0,29101440.42,23169600,63969831.83,29616160.82,0.002078916,857307956.5,804064501.7,53243454.73
 01/01  18:00:00,181115337.6,10176090.68,0,35865032.71,23169600,83236545.25,28668068.98,0.002759289,847598146.1,777273952.4,70324193.76
 01/01  19:00:00,188594162.7,10101892.12,0,44004270.9,23169600,83236545.25,28081854.48,0.003250669,843871253.7,761210970.6,82660283.06
 01/01  20:00:00,184967560.9,10031697.48,0,50003615.48,23169600,73747799.95,28014848.01,0.003099475,838396746.8,759532183.5,78864563.28
 01/01  21:00:00,183728989.6,10149907.9,0,50538588.88,23169600,71628391.33,28242501.43,0.002834886,838789676.4,766567622.7,72222053.65
 01/01  22:00:00,164475422.2,10260597.18,0,38769174.04,23169600,63729202.5,28546848.45,0.002305707,834413174.1,775476139.7,58937034.41
 01/01  23:00:00,139998811.3,10294168.76,0,26999759.2,23169600,50531492.12,29003791.21,0.002003319,839458127.8,788112533,51345594.84
 01/01  24:00:00,119366056.6,10366897.23,0,18440184.77,23169600,37863633.89,29525740.67,0.001096156,831075877.3,802504601.2,28571276.13
 01/02  01:00:00,106594637.8,10443778.6,0,14886432.88,23169600,28085665.77,30009160.52,0.000302388,824348378.1,815704630.9,8643747.261
 01/02  02:00:00,104718702.3,10491404.48,0,14886432.88,23169600,25966257.16,30205007.74,0.000151194,825754227,820906199.5,4848027.477
 01/02  03:00:00,103782259.4,10515961.91,0,14886432.88,23169600,24906552.85,30303711.8,3.77985E-05,825554708.4,823553470.7,2001237.638
 01/02  04:00:00,103325616.1,10534155.07,0,14886432.88,23169600,24376700.69,30358727.46,3.77985E-05,827011993,825010755.4,2001237.638
 01/02  05:00:00,111184724.7,10723482.02,0,19471919.18,23169600,27266590.8,30553132.73,0.000151194,836046522.2,831198494.8,4848027.477
 01/02  06:00:00,127472711.9,10820200.84,0,27381883.05,23169600,35695631.8,30405396.18,0.001020559,854411534.9,827738118.6,26673416.24
 01/02  07:00:00,145249007.6,10420565.7,0,29139652.8,23169600,53083565.93,29435623.12,0.003553057,889742178.6,799490456,90251722.63
 01/02  08:00:00,155378523.1,10170420.29,0,27343670.67,23169600,65388425.55,29306406.57,0.003779848,891046140.5,795100838.1,95945302.31
 01/02  09:00:00,158027011.7,10605103.46,0,23919589.28,23169600,67967412.13,32365306.85,0.003628654,915912061.6,823762479,92149582.52
 01/02  10:00:00,150119712.1,11474103.43,0,21894332.83,23169600,59827593.96,33754081.84,0.003175072,943259240.9,862496817.8,80762423.17
 01/02  11:00:00,141250989.4,12122990,0,21894332.83,23169600,49327737.83,34736328.7,0.002872684,964320667.1,891149683.5,73170983.6
 01/02  12:00:00,123422436.4,12477942.48,0,21894332.83,3861600,49857589.98,35330971.07,0.002305707,966967802.2,908030767.8,58937034.41
 01/02  13:00:00,119006214.7,12828381.99,0,21196991.74,0,49081841.7,35898999.28,0.002003319,976541314.5,925195719.7,51345594.84
 01/02  14:00:00,118876409.4,13024262.99,0,21894332.83,0,47738181.37,36219632.19,0.001776528,978957926,933305910.9,45652015.16
 01/02  15:00:00,130117131.7,13087671.5,0,21894332.83,11584800,47208329.21,36341998.18,0.001549738,975813306.8,935854871.3,39958435.48
 01/02  16:00:00,146637594.7,13144006.34,0,25218810.4,23169600,48797885.67,36307292.32,0.001776528,979806276.3,934154261.2,45652015.16
 01/02  17:00:00,173168102.4,13181892.9,0,34122296.3,23169600,66715671.97,35978641.27,0.002078916,977580252.3,924336797.5,53243454.73
 01/02  18:00:00,189180993.5,13184655.11,0,35865032.71,23169600,83933250.96,33028454.74,0.002759289,979220602.2,908896408.4,70324193.76
 01/02  19:00:00,195159706.2,12921090.48,0,44004270.9,23169600,83236545.25,31828199.62,0.003250669,957358039.7,874697756.7,82660283.06
 01/02  20:00:00,191756194.6,12933842.87,0,50003615.48,23169600,73747799.95,31901336.26,0.003099475,956082701.7,877218138.4,78864563.28
 01/02  21:00:00,190575724.5,13074119.13,0,50538588.88,23169600,71628391.33,32165025.17,0.002834886,957470084.1,885248030.4,72222053.65
 01/02  22:00:00,171109030.2,13098947.55,0,38769174.04,23169600,63729202.5,32342106.08,0.002305707,949045104.7,890108070.3,58937034.41
 01/02  23:00:00,146673315.1,13164067.85,0,26999759.2,23169600,50531492.12,32808395.93,0.002003319,954500758.6,903155163.8,51345594.84
 01/02  24:00:00,126014055.1,13234740.09,0,18440184.77,23169600,37863633.89,33305896.34,0.001096156,945640832,917069555.9,28571276.13
 01/03  01:00:00,113225803.9,13309187.13,0,14886432.88,23169600,28085665.77,33774918.14,0.000302388,938679882.9,930036135.7,8643747.261
 01/03  02:00:00,111801000.7,13550867.85,0,14886432.88,23169600,25966257.16,34227842.85,0.000151194,948131897.2,943283869.8,4848027.477
 01/03  03:00:00,111248595.3,13734936.59,0,14886432.88,23169600,24906552.85,34551072.98,3.77985E-05,954767999.2,952766761.5,2001237.638
 01/03  04:00:00,110496058,13623395.63,0,14886432.88,23169600,24376700.69,34439928.76,3.77985E-05,950746578,948745340.3,2001237.638
 01/03  05:00:00,119050537.8,14106423.6,0,19471919.18,23169600,27266590.8,35036004.17,0.000151194,972470280.7,967622253.2,4848027.477
 01/03  06:00:00,137012268.4,14897232.59,0,27381883.05,23169600,35695631.8,35867920.99,0.001020559,1021509719,994836302.3,26673416.24
 01/03  07:00:00,157756871.7,15737767.25,0,29139652.8,23169600,53083565.93,36626285.68,0.003553057,1110806697,1020554974,90251722.63
 01/03  08:00:00,170480206.9,16556928.05,0,27343670.67,23169600,65388425.55,38021582.66,0.003779848,1160155912,1064210609,95945302.31
 01/03  09:00:00,173953477.4,17368191.82,0,23919589.28,23169600,67967412.13,41528684.21,0.003628654,1202181761,1110032179,92149582.52
 01/03  10:00:00,165076460.4,17825076.71,0,21894332.83,23169600,59827593.96,42359856.93,0.003175072,1212897831,1132135408,80762423.17
 01/03  11:00:00,155822745.2,18352117.33,0,21894332.83,23169600,49327737.83,43078957.16,0.002872684,1226832166,1153661183,73170983.6
 01/03  12:00:00,136265340.4,18034698.45,0,21894332.83,3861600,49857589.98,42617119.16,0.002305707,1195865969,1136928934,58937034.41
 01/03  13:00:00,128568809.6,17027214.41,0,21196991.74,0,49081841.7,41262761.76,0.002003319,1143092896,1091747301,51345594.84
 01/03  14:00:00,126378489.2,16389791.21,0,21894332.83,0,47738181.37,40356183.82,0.001776528,1106308797,1060656782,45652015.16
 01/03  15:00:00,138217894.6,16721215.73,0,21894332.83,11584800,47208329.21,40809216.82,0.001549738,1114425826,1074467391,39958435.48
 01/03  16:00:00,157339522.5,17904865.82,0,25218810.4,23169600,48797885.67,42248360.55,0.001776528,1166964391,1121312376,45652015.16
 01/03  17:00:00,185275602.4,18495019.19,0,34122296.3,23169600,66715671.97,42773014.98,0.002078916,1192560099,1139316644,53243454.73
 01/03  18:00:00,202432882.4,18880857.57,0,35865032.71,23169600,83933250.96,40584141.12,0.002759289,1215708716,1145384523,70324193.76
 01/03  19:00:00,208851739.3,18762498.05,0,44004270.9,23169600,83236545.25,39678825.08,0.003250669,1201964657,1119304374,82660283.06
 01/03  20:00:00,206173926.6,19088020.71,0,50003615.48,23169600,73747799.95,40164890.48,0.003099475,1214030863,1135166300,78864563.28
 01/03  21:00:00,204290186,18946851.22,0,50538588.88,23169600,71628391.33,40006754.6,0.002834886,1201876607,1129654553,72222053.65
 01/03  22:00:00,181579183.8,17616161.12,0,38769174.04,23169600,63729202.5,38295046.18,0.002305707,1132148366,1073211332,58937034.41
 01/03  23:00:00,154187274.3,16459676.97,0,26999759.2,23169600,50531492.12,37026745.98,0.002003319,1082196388,1030850793,51345594.84
 01/03  24:00:00,131931820,15897319.26,0,18440184.77,23169600,37863633.89,36561082.09,0.001096156,1043289277,1014718001,28571276.13
 01/04  01:00:00,116812157.5,14992019.91,0,14886432.88,23169600,28085665.77,35678438.95,0.000302388,993984228,985340480.7,8643747.261
 01/04  02:00:00,112804646.8,14155321.19,0,14886432.88,23169600,25966257.16,34627035.54,0.000151194,957036469.8,952188442.4,4848027.477
 01/04  03:00:00,111124631.8,13849378.78,0,14886432.88,23169600,24906552.85,34312667.32,3.77985E-05,944774585.6,942773348,2001237.638
 01/04  04:00:00,109588657.2,13361163.12,0,14886432.88,23169600,24376700.69,33794760.55,3.77985E-05,928663701.1,926662463.5,2001237.638
 01/04  05:00:00,114478138.2,12261316.9,0,19471919.18,23169600,27266590.8,32308711.27,0.000151194,885707092.3,880859064.9,4848027.477
 01/04  06:00:00,128483591.2,11379267.21,0,27381883.05,23169600,35695631.8,30857209.17,0.001020559,864397162.9,837723746.6,26673416.24
 01/04  07:00:00,146782638.8,11215768.45,0,29139652.8,23169600,53083565.93,30174051.59,0.003553057,909846894.7,819595172.1,90251722.63
 01/04  08:00:00,157302765.2,11139165.05,0,27343670.67,23169600,65388425.55,30261903.89,0.003779848,919093160.2,823147857.9,95945302.31
 01/04  09:00:00,157919592.5,10653107.64,0,23919589.28,23169600,67967412.13,32209883.39,0.003628654,907160822.9,815011240.4,92149582.52
 01/04  10:00:00,146759110.1,10137922.08,0,21894332.83,23169600,59827593.96,31729661.23,0.003175072,876983114.4,796220691.2,80762423.17
 01/04  11:00:00,135815316.4,9937838.877,0,21894332.83,23169600,49327737.83,31485806.83,0.002872684,860636801.1,787465817.5,73170983.6
 01/04  12:00:00,116486828.8,9705139.516,0,21894332.83,3861600,49857589.98,31168166.46,0.002305707,835776841.1,776839806.7,58937034.41
 01/04  13:00:00,110270560.4,9315192.539,0,21196991.74,0,49081841.7,30676534.42,0.002003319,813013174.8,761667580,51345594.84
 01/04  14:00:00,109308776.9,9137237.327,0,21894332.83,0,47738181.37,30539025.36,0.001776528,801554522.9,755902507.8,45652015.16
 01/04  15:00:00,116544585.6,9106179.897,0,21894332.83,7723200,47208329.21,30612543.71,0.001549738,797274936,757316500.5,39958435.48
 01/04  16:00:00,137108290.3,9227979.91,0,25218810.4,23169600,48797885.67,30694014.3,0.001776528,805561028.1,759909012.9,45652015.16
 01/04  17:00:00,163214554.8,9070006.169,0,34122296.3,23169600,66715671.97,30136980.4,0.002078916,797147932,743904477.3,53243454.73
 01/04  18:00:00,178537137.7,8818537.41,0,35865032.71,23169600,83933250.96,26750716.57,0.002759289,790526656.3,720202462.6,70324193.76
 01/04  19:00:00,185378641.4,8883877.065,0,44004270.9,23169600,83236545.25,26084348.23,0.003250669,785483387.9,702823104.9,82660283.06
 01/04  20:00:00,181537289.8,8714796.545,0,50003615.48,23169600,73747799.95,25901477.82,0.003099475,776660415.9,697795852.6,78864563.28
 01/04  21:00:00,179482103,8487245.764,0,50538588.88,23169600,71628391.33,25658276.97,0.002834886,762909790.3,690687736.6,72222053.65
