Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,71846545.38,0,0,14886432.88,23169600,28085665.77,5704846.721,0.000249631,102251646.4,96899143.32,5352503.107
 01/01  02:00:00,71939461.41,0,0,14886432.88,23169600,25966257.16,7917171.369,0.000124814,137455860.1,134253443.4,3202416.71
 01/01  03:00:00,72116036.87,0,0,14886432.88,23169600,24906552.85,9153451.14,3.12035E-05,156737695.8,155147861.3,1589834.517
 01/01  04:00:00,72365270.29,0,0,14886432.88,23169600,24376700.69,9932536.709,3.12035E-05,168934285.8,167344451.4,1589834.439
 01/01  05:00:00,80822514.54,0,0,19471919.18,23169600,27266590.8,10914404.56,0.000124814,185890630.1,182688215.8,3202414.27
 01/01  06:00:00,98064309.56,0,0,27381883.05,23169600,35695631.8,11817194.71,0.000842495,212330976.3,196765451.3,15565525.01
 01/01  07:00:00,117810081.9,0,0,29139652.8,23169600,53083565.93,12417263.15,0.002933131,257501950.6,205922145.9,51579804.65
 01/01  08:00:00,115940522.4,0,0,27343670.67,11584800,64691719.85,12320331.84,0.003120352,258832053.8,204027089.7,54804964.03
 01/01  09:00:00,94127749.06,0,0,18898733.4,0,65221572,10007443.66,0.002995538,219856515.1,167201657.4,52654857.78
 01/01  10:00:00,80549181.32,0,454604.03,16873476.95,0,57081753.83,6139346.516,0.002621095,147413228.3,101208689.3,46204539.02
 01/01  11:00:00,71153467.44,0,4131925.404,16873476.95,0,46581897.7,3566167.39,0.002371467,84445372.7,42541046.2,41904326.51
 01/01  12:00:00,76385007.81,0,8995722.806,16873476.95,0,47111749.85,3404058.203,0.001903415,52847361.16,19005933.1,33841428.06
 01/01  13:00:00,81509513.74,0,13875399.43,16873476.95,0,46581897.7,4178739.667,0.001653786,40013747.8,10472532.25,29541215.55
 01/01  14:00:00,86620487.15,0,19555417.45,16873476.95,0,44992341.23,5199251.524,0.001466565,29158281.22,2842225.045,26316056.17
 01/01  15:00:00,87908437.63,0,21142459.03,16873476.95,0,44462489.08,5430012.572,0.001279344,23090896.79,0,23090896.79
 01/01  16:00:00,85395319.25,0,15244845.59,20197954.51,0,46052045.54,3900473.609,0.001466565,26316056.17,0,26316056.17
 01/01  17:00:00,111139094.2,0,14419510.5,29101440.42,0,63969831.83,3648311.466,0.001716193,30616268.68,0,30616268.68
 01/01  18:00:00,144077127.7,0,7599612.459,35865032.71,15446400,83236545.25,1929537.292,0.002277857,40291746.82,0,40291746.82
 01/01  19:00:00,153732292.4,0,2567504.618,44004270.9,23169600,83236545.25,754371.6313,0.002683502,49099282.66,1819690.516,47279592.14
 01/01  20:00:00,149206214.1,0,1387728.789,50003615.48,23169600,73747799.95,897469.858,0.002558688,54979022.44,9849536.552,45129485.89
 01/01  21:00:00,147497022.7,0,1006174.034,50538588.88,23169600,71628391.33,1154268.468,0.002340264,57575363.86,16208563.92,41366799.95
 01/01  22:00:00,127985986.3,0,490124.1775,38769174.04,23169600,63729202.5,1827885.6,0.001903415,63696278.4,29854850.35,33841428.06
 01/01  23:00:00,103229354.9,0,12307.84941,26999759.2,23169600,50531492.12,2516195.725,0.001653786,73127780.85,43586565.3,29541215.55
 01/01  24:00:00,83026925.67,0,0,18440184.77,23169600,37863633.89,3553507.012,0.000904902,77530702.87,60890124.84,16640578.03
 01/02  01:00:00,70463159.81,0,0,14886432.88,23169600,28085665.77,4321461.156,0.000249807,79036899.97,73678232.11,5358667.858
 01/02  02:00:00,68762809.43,0,0,14886432.88,23169600,25966257.16,4740519.39,0.000124903,83812751.38,80606582.09,3206169.286
 01/02  03:00:00,68155724.22,0,0,14886432.88,23169600,24906552.85,5193138.486,3.12257E-05,89726518.78,88135734.89,1590783.895
 01/02  04:00:00,67911307.1,0,0,14886432.88,23169600,24376700.69,5478573.528,3.12257E-05,94594974.4,93004188.53,1590785.871
 01/02  05:00:00,76351432.52,0,0,19471919.18,23169600,27266590.8,6443322.527,0.000124903,112520381.9,109314151.3,3206230.67
 01/02  06:00:00,93416376.83,0,0,27381883.05,23169600,35695631.8,7169261.979,0.000843095,137022613.8,121431273.5,15591340.25
 01/02  07:00:00,111646283.7,0,0,29139652.8,23169600,53083565.93,6253464.943,0.002935219,157332659.9,105662970.6,51669689.25
 01/02  08:00:00,110251460.3,0,0,27343670.67,11584800,65388425.55,5934564.088,0.003122573,155040220.2,100139634.2,54900585.95
 01/02  09:00:00,99428693.02,0,0,23919589.28,0,67967412.13,7541691.598,0.00299767,150626855.9,97880201.07,52746654.82
 01/02  10:00:00,87524791.43,0,604995.9294,21894332.83,0,59827593.96,5197868.709,0.002622962,103596785.3,57311923.85,46284861.43
 01/02  11:00:00,78639164.3,0,3649920.09,21894332.83,0,49327737.83,3767173.552,0.002373156,65727249.3,23750250.13,41976999.17
 01/02  12:00:00,81232721.24,0,5872826.664,21894332.83,0,49857589.98,3607971.762,0.00190477,46181299.93,12281542.5,33899757.43
 01/02  13:00:00,77011495,0,3822078.039,21196991.74,0,49081841.7,2910583.527,0.001654964,37448912.82,7857017.654,29591895.17
 01/02  14:00:00,74775879.43,0,2609201.416,21894332.83,0,47738181.37,2534163.812,0.001467609,32855314.07,6494315.602,26360998.47
 01/02  15:00:00,74643337.97,0,3096121.59,21894332.83,0,47208329.21,2444554.334,0.001280255,26309321.89,3179220.108,23130101.78
 01/02  16:00:00,78915426.28,0,2667233.476,25218810.4,0,48797885.67,2231496.728,0.001467609,27585139.11,1224140.634,26360998.47
 01/02  17:00:00,108021495.9,0,4506119.754,34122296.3,0,66715671.97,2677407.832,0.001717415,31823903.63,1155042.896,30668860.73
 01/02  18:00:00,138321286.2,0,2315419.02,35865032.71,15446400,83933250.96,761183.5418,0.002279478,43491212.01,3129661.189,40361550.82
 01/02  19:00:00,152101301,0,1022047.325,44004270.9,23169600,83236545.25,668837.5319,0.002685413,54732150.88,7370323.892,47361826.99
 01/02  20:00:00,148669401.1,0,468327.3447,50003615.48,23169600,73747799.95,1280058.363,0.00256051,65097690.2,19889794.33,45207895.86
 01/02  21:00:00,147478393.3,0,66934.99446,50538588.88,23169600,71628391.33,2074878.058,0.00234193,76383100.73,34944584.34,41438516.38
 01/02  22:00:00,128835625.1,0,0,38769174.04,23169600,63729202.5,3167648.533,0.00190477,87705815.27,53806057.84,33899757.43
 01/02  23:00:00,105134400.1,0,0,26999759.2,23169600,50531492.12,4433548.796,0.001654964,104631971,75040075.79,29591895.17
 01/02  24:00:00,84910614.37,0,0,18440184.77,23169600,37863633.89,5437195.712,0.000905546,108650905.3,91982596.88,16668308.39
 01/03  01:00:00,72472355.61,0,0,14886432.88,23169600,28085665.77,6330656.948,0.000249975,112699937.1,107333914.8,5366022.259
 01/03  02:00:00,71081354.13,0,0,14886432.88,23169600,25966257.16,7059064.095,0.000124987,122944910.8,119735096.9,3209813.957
 01/03  03:00:00,70751942.66,0,0,14886432.88,23169600,24906552.85,7789356.932,3.12468E-05,133415613.2,131823918.6,1591694.531
 01/03  04:00:00,70715223.03,0,0,14886432.88,23169600,24376700.69,8282489.456,3.12468E-05,140947450.9,139355754.5,1591696.41
 01/03  05:00:00,79136189.53,0,0,19471919.18,23169600,27266590.8,9228079.54,0.000124987,157498145.8,154288273.5,3209872.309
 01/03  06:00:00,96073060.15,0,0,27381883.05,23169600,35695631.8,9825945.295,0.000843665,179177289.3,163561370.7,15615918.65
 01/03  07:00:00,115061351.1,0,0,29139652.8,23169600,53083565.93,9668532.394,0.002937203,212321513.1,160566255.1,51755258
 01/03  08:00:00,113625577.9,0,0,27343670.67,11584800,65388425.55,9308681.653,0.003124684,209513603.9,154521987.3,54991616.53
 01/03  09:00:00,100938296.7,0,0,23919589.28,0,67967412.13,9051295.245,0.002999696,175296225.6,122462181.4,52834044.18
 01/03  10:00:00,88274296.05,0,1046314.695,21894332.83,0,59827593.96,5506054.563,0.002624734,108033766.1,61672439.03,46361327.12
 01/03  11:00:00,78599200.54,0,3559212.832,21894332.83,0,49327737.83,3817917.05,0.00237476,67492199.78,25446017.36,42046182.41
 01/03  12:00:00,76675539.63,0,2062329.529,21894332.83,0,49857589.98,2861287.286,0.001906057,48368564.64,14413278.55,33955286.08
 01/03  13:00:00,73695120.57,0,977059.7608,21196991.74,0,49081841.7,2439227.377,0.001656082,39942848.51,10302707.13,29640141.38
 01/03  14:00:00,73121491.74,0,1256184.474,21894332.83,0,47738181.37,2232793.067,0.001468601,32871348.51,6467565.659,26403782.85
 01/03  15:00:00,72678639.72,0,1498634.258,21894332.83,0,47208329.21,2077343.415,0.00128112,26324206.78,3156782.463,23167424.32
 01/03  16:00:00,77899494.88,0,1851639.777,25218810.4,0,48797885.67,2031159.029,0.001468601,27582716.37,1178933.523,26403782.85
 01/03  17:00:00,108061907.2,0,4616253.815,34122296.3,0,66715671.97,2607685.133,0.001718576,30730216.49,11288.94094,30718927.55
 01/03  18:00:00,138132765.8,0,2281201.017,35865032.71,15446400,83933250.96,606881.1389,0.002281019,41057517.8,629514.6542,40428003.15
