Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,94020365.94,5402843.875,0,14886432.88,23169600,28085665.77,22475823.41,0.000283545,626997136.7,619817339.1,7179797.635
 01/01  02:00:00,98171150.03,7845042.917,0,14886432.88,23169600,25966257.16,26303817.07,0.000141772,742746579.8,738630519.3,4116060.491
 01/01  03:00:00,97380738.62,7838769.564,0,14886432.88,23169600,24906552.85,26579383.33,3.54429E-05,746116179.5,744297933.9,1818245.601
 01/01  04:00:00,97176990.84,7985396.228,0,14886432.88,23169600,24376700.69,26758861.03,3.54429E-05,750204770,748386524.4,1818245.553
 01/01  05:00:00,104662383.5,8055496.985,0,19471919.18,23169600,27266590.8,26698776.49,0.000141772,749680328.9,745564270,4116058.91
 01/01  06:00:00,120714976.4,8078205.149,0,27381883.05,23169600,35695631.8,26389656.44,0.000956958,757715648.6,735983021.2,21732627.43
 01/01  07:00:00,139546464.6,8154407.717,0,29139652.8,23169600,53083565.93,25999238.17,0.003331633,798013918.5,724963460.8,73050457.74
 01/01  08:00:00,133235994.5,7963845.506,0,27343670.67,7723200,64691719.85,25513558.46,0.00354429,788176747.9,710530663.6,77646084.34
 01/01  09:00:00,115332998.7,7104643.736,0,18898733.4,0,65221572,24108049.54,0.003402519,742938093.4,668355760.1,74582333.28
 01/01  10:00:00,101191908.1,5730463.684,0,16873476.95,0,57081753.83,21506213.67,0.002977204,655556472.2,590165392.1,65391080.08
 01/01  11:00:00,86916278.6,4374818.894,0,16873476.95,0,46581897.7,19086085.06,0.002693661,577119428.3,517855850.3,59263577.95
 01/01  12:00:00,84375094.05,3117063.22,0,16873476.95,0,47111749.85,17272804.03,0.002162017,511963537.8,464189026.4,47774511.45
 01/01  13:00:00,82101373.53,2156693.141,0,16873476.95,0,46581897.7,16489305.74,0.001878474,482110877.9,440463868.6,41647009.32
 01/01  14:00:00,79354796.11,1428776.738,0,16873476.95,0,44992341.23,16060201.19,0.001665816,464133624.2,427082241.5,37051382.72
 01/01  15:00:00,78346046.04,1080246.349,0,16873476.95,0,44462489.08,15929833.66,0.001453159,455347588.5,422891832.4,32455756.12
 01/01  16:00:00,83407033.62,1051502.188,0,20197954.51,0,46052045.54,16105531.37,0.001665816,464879973.5,427828590.8,37051382.72
 01/01  17:00:00,125744160.5,1114673.586,0,29101440.42,15446400,63969831.83,16111814.69,0.00194936,471245383.3,428066498.4,43178884.85
 01/01  18:00:00,159605512.5,1359620.007,0,35865032.71,23169600,83236545.25,15974714.54,0.002587332,481865749.4,424899984.7,56965764.65
 01/01  19:00:00,168158861.2,1704619.469,0,44004270.9,23169600,83236545.25,16043825.57,0.00304809,494649579.6,427726624,66922955.61
 01/01  20:00:00,164406965.1,1584263.941,0,50003615.48,23169600,73747799.95,15901685.77,0.002906318,486983937.9,423124733.4,63859204.55
 01/01  21:00:00,162809251.9,1592098.862,0,50538588.88,23169600,71628391.33,15880572.8,0.002658218,480882528.4,422384888.2,58497640.18
 01/01  22:00:00,143264695.4,1617810.739,0,38769174.04,23169600,63729202.5,15978908.1,0.002162017,472642793.7,424868282.2,47774511.45
 01/01  23:00:00,119107020.9,1795751.003,0,26999759.2,23169600,50531492.12,16610418.61,0.001878474,483939293.2,442292283.9,41647009.32
 01/01  24:00:00,98959812.08,2068454.277,0,18440184.77,23169600,37863633.89,17417939.15,0.001027844,488014456.7,464749953.8,23264502.92
 01/02  01:00:00,87910280.62,2857237.183,0,14886432.88,23169600,28085665.77,18911344.78,0.000283737,515450504.3,508260295.5,7190208.816
 01/02  02:00:00,86670362.76,3144495.372,0,14886432.88,23169600,25966257.16,19503577.35,0.000141868,529034115.1,524911639.3,4122475.774
 01/02  03:00:00,85794077.42,3185922.419,0,14886432.88,23169600,24906552.85,19645569.27,3.54671E-05,530097350.6,528277486.7,1819863.889
 01/02  04:00:00,85390564.17,3235565.071,0,14886432.88,23169600,24376700.69,19722265.52,3.54671E-05,531909908.6,530090042.4,1819866.192
 01/02  05:00:00,91497580.81,2697079.296,0,19471919.18,23169600,27266590.8,18892391.53,0.000141868,508743969.7,504621417,4122552.712
 01/02  06:00:00,106645678,2338261.388,0,27381883.05,23169600,35695631.8,18060301.78,0.000957611,502220723.4,480444214,21776509.47
 01/02  07:00:00,124782807.2,2129406.971,0,29139652.8,23169600,53083565.93,17260581.47,0.003333906,531501158.5,458297919.8,73203238.68
 01/02  08:00:00,119559282.9,1937367.901,0,27343670.67,7723200,65388425.55,17166618.76,0.003546708,533516196.3,455707579.1,77808617.25
 01/02  09:00:00,112221112.1,1665470.232,0,23919589.28,0,67967412.13,18668640.42,0.00340484,530557180.6,455818815.7,74738364.87
 01/02  10:00:00,100976598.5,1203902.5,0,21894332.83,0,59827593.96,18050769.24,0.002979235,499590322,434062714.2,65527607.72
 01/02  11:00:00,88769368.82,531097.48,0,21894332.83,0,49327737.83,17016200.67,0.002695498,461979059.3,402591956.3,59387102.96
 01/02  12:00:00,88032556.52,43625.72183,0,21894332.83,0,49857589.98,16237007.98,0.002163492,427954187.5,380080530.9,47873656.52
 01/02  13:00:00,86006841.8,0,0,21196991.74,0,49081841.7,15728008.37,0.001879755,409089173,367356021.3,41733151.76
 01/02  14:00:00,85762974.51,0,0,21894332.83,0,47738181.37,16130460.31,0.001666953,415750783.6,378623010.4,37127773.19
 01/02  15:00:00,86101041.54,51113.19884,0,21894332.83,0,47208329.21,16947266.3,0.00145415,433643813.8,401121419.2,32522394.61
 01/02  16:00:00,90846663.79,6281.146287,0,25218810.4,0,48797885.67,16823686.57,0.001666953,435193481.3,398065708.1,37127773.19
 01/02  17:00:00,132807089.6,0,0,34122296.3,15446400,66715671.97,16522721.36,0.001950689,432806461.8,389538183.8,43268277.95
 01/02  18:00:00,157928264.5,133290.4507,0,35865032.71,23169600,83933250.96,14827090.37,0.002589097,450435264.6,393350850.9,57084413.67
 01/02  19:00:00,164763920.4,129607.5491,0,44004270.9,23169600,83236545.25,14223896.66,0.003050169,443363988.5,376301254.6,67062733.91
 01/02  20:00:00,160587960.1,0,0,50003615.48,23169600,73747799.95,13666944.7,0.002908301,425554771.4,361562289.9,63992481.53
 01/02  21:00:00,158646137.4,0,0,50538588.88,23169600,71628391.33,13309557.15,0.002660031,409706012.8,351086472.9,58619539.86
 01/02  22:00:00,138699439.9,0,0,38769174.04,23169600,63729202.5,13031463.32,0.002163492,390715342.3,342841685.8,47873656.52
 01/02  23:00:00,114890830.6,73419.80974,0,26999759.2,23169600,50531492.12,14116559.51,0.001879755,414895769.8,373162618,41733151.76
 01/02  24:00:00,95255889.35,461681.9842,0,18440184.77,23169600,37863633.89,15320788.71,0.001028545,429225470.9,405913833.5,23311637.47
 01/03  01:00:00,82717640.86,652312.5997,0,14886432.88,23169600,28085665.77,15923629.6,0.000283926,429299105.4,422096091.3,7203014.092
 01/03  02:00:00,81080173.04,810296.7315,0,14886432.88,23169600,25966257.16,16247586.26,0.000141963,434818439.1,430689583.5,4128855.601
 01/03  03:00:00,79993105.81,766623.5606,0,14886432.88,23169600,24906552.85,16263896.52,3.54907E-05,432162211.3,430340752.7,1821458.556
 01/03  04:00:00,79790944.68,896038.3257,0,14886432.88,23169600,24376700.69,16462172.78,3.54907E-05,437610108.9,435788648.1,1821460.811
 01/03  05:00:00,88366517.71,1377873.722,0,19471919.18,23169600,27266590.8,17080534,0.000141963,458247332.1,454118401.1,4128930.948
 01/03  06:00:00,105910605.5,1954966.802,0,27381883.05,23169600,35695631.8,17708523.82,0.00095825,495035256.1,473215694.6,21819561.49
 01/03  07:00:00,126133087.1,2551912.06,0,29139652.8,23169600,53083565.93,18188356.35,0.003336129,561910741.7,488557618.4,73353123.36
 01/03  08:00:00,122097016.6,2832477.913,0,27343670.67,7723200,65388425.55,18809242.49,0.003549073,584592663.5,506624594.4,77968069.04
 01/03  09:00:00,116102451.9,3156670.038,0,23919589.28,0,67967412.13,21058780.46,0.00340711,602306404.6,527414966,74891438.59
 01/03  10:00:00,106299854.9,3341625.567,0,21894332.83,0,59827593.96,21236302.55,0.002981222,595531459.5,529869912.3,65661547.22
 01/03  11:00:00,94942419.47,3067023.3,0,21894332.83,0,49327737.83,20653325.51,0.002697296,570887327.4,511379041.1,59508286.32
 01/03  12:00:00,94358569.76,2624259.977,0,21894332.83,0,49857589.98,19982386.97,0.002164935,538483048.6,490512126.5,47970922.11
 01/03  13:00:00,91867000.4,2175742.334,0,21196991.74,0,49081841.7,19412424.63,0.001881009,515405370.5,473587709.3,41817661.21
 01/03  14:00:00,90698433.87,1895326.787,0,21894332.83,0,47738181.37,19170592.88,0.001668064,502549640,465346924.5,37202715.53
 01/03  15:00:00,90092839.04,1781738.49,0,21894332.83,0,47208329.21,19208438.51,0.00145512,498643808.6,466056038.8,32587769.84
 01/03  16:00:00,95030452.46,1753700.379,0,25218810.4,0,48797885.67,19260056,0.001668064,504549102.8,467346387.3,37202715.53
 01/03  17:00:00,137362942,1831416.416,0,34122296.3,15446400,66715671.97,19247157.33,0.00195199,510388177.5,467032201.1,43355976.43
 01/03  18:00:00,162140471.5,1968281.398,0,35865032.71,23169600,83933250.96,17204306.44,0.002590824,518510343.5,461309530,57200813.48
 01/03  19:00:00,169321128.6,2092029.918,0,44004270.9,23169600,83236545.25,16818682.57,0.003052203,517833996.9,450634134.5,67199862.45
 01/03  20:00:00,166052203.8,2208920.653,0,50003615.48,23169600,73747799.95,16922267.71,0.00291024,517648283.3,453525051.3,64123232
 01/03  21:00:00,164664718,2306640.423,0,50538588.88,23169600,71628391.33,17021497.4,0.002661805,515017376.9,456278248.2,58739128.7
 01/03  22:00:00,145337859.8,2426723.99,0,38769174.04,23169600,63729202.5,17243159.23,0.002164935,510321743.5,462350821.4,47970922.11
 01/03  23:00:00,121100048.4,2584221.275,0,26999759.2,23169600,50531492.12,17814975.82,0.001881009,519892323.4,478074662.2,41817661.21
 01/03  24:00:00,100610699.4,2737419.343,0,18440184.77,23169600,37863633.89,18399861.38,0.001029231,517458915.8,494101037.3,23357878.48
 01/04  01:00:00,87904085.19,2856351.161,0,14886432.88,23169600,28085665.77,18906035.37,0.000284111,515072369.3,507856799.4,7215569.871
 01/04  02:00:00,86116735.74,2939700.646,0,14886432.88,23169600,25966257.16,19154745.06,0.000142055,518672046.8,514536936.4,4135110.309
 01/04  03:00:00,85308922.5,3002873.764,0,14886432.88,23169600,24906552.85,19343463.01,3.55139E-05,521473876.7,519650854.7,1823021.94
 01/04  04:00:00,85302625.29,3196591.011,0,14886432.88,23169600,24376700.69,19673300.7,3.55139E-05,531198396.3,529375372.1,1823024.146
 01/04  05:00:00,93069323.96,3327294.868,0,19471919.18,23169600,27266590.8,19833919.1,0.000142055,538408827.8,534273643.7,4135184.052
 01/04  06:00:00,109145595.4,3312341.278,0,27381883.05,23169600,35695631.8,19586139.24,0.000958874,549323118.9,527461350,21861768.87
 01/04  07:00:00,127427140.8,3134213.486,0,29139652.8,23169600,53083565.93,18900108.6,0.003338302,581626549.9,508126482.5,73500067.39
 01/04  08:00:00,122315177,2991142.021,0,27343670.67,7723200,65388425.55,18868738.77,0.003551386,585294108.5,507169716,78124392.48
 01/04  09:00:00,114921503.9,2724128.963,0,23919589.28,0,67967412.13,20310373.51,0.00340933,578596010.8,503554501.7,75041509.09
 01/04  10:00:00,103776653.5,2322248.857,0,21894332.83,0,59827593.96,19732477.89,0.002983164,548788557.6,482995698.7,65792858.91
 01/04  11:00:00,92323845.71,1997202.715,0,21894332.83,0,49327737.83,19104572.33,0.002699053,523482474.7,463855382.6,59627092.13
 01/04  12:00:00,91784663.78,1567372.091,0,21894332.83,0,49857589.98,18465368.87,0.002166345,492745998.8,444679719.4,48066279.41
 01/04  13:00:00,89111214.74,1033424.451,0,21196991.74,0,49081841.7,17798956.85,0.001882234,467293347.1,425392834.4,41900512.63
 01/04  14:00:00,87842374.67,695425.0239,0,21894332.83,0,47738181.37,17514435.45,0.001669151,453437390.3,416161202.8,37276187.54
 01/04  15:00:00,87497222.32,671285.9358,0,21894332.83,0,47208329.21,17723274.34,0.001456068,454847208,422195345.5,32651862.46
 01/04  16:00:00,92754207.65,731381.3126,0,25218810.4,0,48797885.67,18006130.26,0.001669151,467571240.7,430295053.2,37276187.54
 01/04  17:00:00,136348666.1,1311137.207,0,34122296.3,15446400,66715671.97,18753160.6,0.001953262,496270431,452828476.6,43441954.33
 01/04  18:00:00,162857703.9,2167169.535,0,35865032.71,23169600,83933250.96,17722650.66,0.002592511,534584822.1,477269892.5,57314929.59
 01/04  19:00:00,171521892.7,2912604.831,0,44004270.9,23169600,83236545.25,18198871.7,0.003054192,559778756.5,492444455.8,67334300.61
 01/04  20:00:00,169006995.6,3330307.318,0,50003615.48,23169600,73747799.95,18755672.88,0.002912136,572977465.2,508726048,64251417.22
 01/04  21:00:00,167409829,3327098.861,0,50538588.88,23169600,71628391.33,18746149.91,0.002663539,566418303.8,507561932.5,58856371.28
 01/04  22:00:00,148312563.4,3553750.71,0,38769174.04,23169600,63729202.5,19090836.15,0.002166345,565314022.7,517247743.3,48066279.41
 01/04  23:00:00,125274966.7,4211085.82,0,26999759.2,23169600,50531492.12,20363029.54,0.001882234,596467829.8,554567317.2,41900512.63
 01/04  24:00:00,106371642.7,4990557.872,0,18440184.77,23169600,37863633.89,21907666.18,0.001029902,623580815.2,600177602.9,23403212.28
 01/05  01:00:00,94566532.72,5444724.741,0,14886432.88,23169600,28085665.77,22980109.32,0.000284292,638340540.8,631112668.3,7227872.435
 01/05  02:00:00,92652943.3,5485907.727,0,14886432.88,23169600,25966257.16,23144745.54,0.000142146,638749150.5,634607912.5,4141238.046
