Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,78508104.3,0,10153043.97,14886432.88,23169600,28085665.77,2213361.674,0.000220277,4278482.119,0,4278482.119
 01/01  02:00:00,71396718.84,0,6033408.619,14886432.88,23169600,25966257.16,1341020.177,0.000110137,2665409.966,0,2665409.966
 01/01  03:00:00,68158436.9,0,4246717.555,14886432.88,23169600,24906552.85,949133.6183,2.75343E-05,1455582.702,0,1455582.702
 01/01  04:00:00,66605376.91,0,3410185.943,14886432.88,23169600,24376700.69,762457.3957,2.75343E-05,1455582.589,0,1455582.589
 01/01  05:00:00,74152269.58,0,3472913.09,19471919.18,23169600,27266590.8,771246.5062,0.000110137,2665406.649,0,2665406.649
 01/01  06:00:00,90880228.68,0,3790716.867,27381883.05,23169600,35695631.8,842396.9647,0.000743425,11940721.89,0,11940721.89
 01/01  07:00:00,110918871.3,0,4518868.878,29139652.8,23169600,53083565.93,1007183.665,0.002588219,38960119.25,0,38960119.25
 01/01  08:00:00,106542374.1,0,8718988.066,27343670.67,3861600,64691719.85,1926395.538,0.002753425,41379766.8,0,41379766.8
 01/01  09:00:00,117070792.7,0,27236915.6,18898733.4,0,65221572,5713571.674,0.002643288,39766668.43,0,39766668.43
 01/01  10:00:00,143073780.9,0,57636116.41,16873476.95,0,57081753.83,11482433.72,0.002312877,34927373.34,0,34927373.34
 01/01  11:00:00,161697545.3,0,82439915.97,16873476.95,0,46581897.7,15802254.71,0.002092603,31701176.61,0,31701176.61
 01/01  12:00:00,169906239.1,0,88967387.78,16873476.95,0,47111749.85,16953624.56,0.001679589,25652057.75,0,25652057.75
 01/01  13:00:00,177981804.8,0,96316744.14,16873476.95,0,46581897.7,18209685.99,0.001459315,22425861.02,0,22425861.02
 01/01  14:00:00,181759065.5,0,100760859.1,16873476.95,0,44992341.23,19132388.18,0.00129411,20006213.47,0,20006213.47
 01/01  15:00:00,178008932.6,0,97909584.26,16873476.95,0,44462489.08,18763382.27,0.001128904,17586565.92,0,17586565.92
 01/01  16:00:00,179053629.9,0,94577776.71,20197954.51,0,46052045.54,18225853.12,0.00129411,20006213.47,0,20006213.47
 01/01  17:00:00,195431556.5,0,85665871.61,29101440.42,0,63969831.83,16694412.63,0.001514384,23232410.2,0,23232410.2
 01/01  18:00:00,215446925.3,0,70724891.28,35865032.71,11584800,83236545.25,14035656.08,0.00201,30491352.84,0,30491352.84
 01/01  19:00:00,220924485.1,0,58678187.01,44004270.9,23169600,83236545.25,11835881.89,0.002367945,35733922.52,0,35733922.52
 01/01  20:00:00,206192492.9,0,49228144.5,50003615.48,23169600,73747799.95,10043332.99,0.002257808,34120824.16,0,34120824.16
 01/01  21:00:00,198176544,0,43855013.63,50538588.88,23169600,71628391.33,8984950.19,0.002065069,31297902.02,0,31297902.02
 01/01  22:00:00,176110456.9,0,41913170.86,38769174.04,23169600,63729202.5,8529309.457,0.001679589,25652057.75,0,25652057.75
