Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,94458354.28,5107489.844,0,14886432.88,23169600,28085665.77,23209165.78,0.000295435,617044597.2,608991257,8053340.259
 01/01  02:00:00,90102569.58,4204511.578,0,14886432.88,23169600,25966257.16,21875767.96,0.000147717,574010186.5,569457355.8,4552830.779
 01/01  03:00:00,89205743.83,4310369.805,0,14886432.88,23169600,24906552.85,21932788.29,3.69291E-05,573401197.6,571473759.3,1927438.215
 01/01  04:00:00,88900352.27,4406594.373,0,14886432.88,23169600,24376700.69,22061024.32,3.69291E-05,577237743.6,575310305.4,1927438.176
 01/01  05:00:00,96480717.13,4466412.807,0,19471919.18,23169600,27266590.8,22106194.34,0.000147717,581360546.3,576807716.9,4552829.448
 01/01  06:00:00,112689152.5,4505372.679,0,27381883.05,23169600,35695631.8,21936664.95,0.000997087,597343080.1,572662251.3,24680828.8
 01/01  07:00:00,131406113.6,4504788.618,0,29139652.8,23169600,53083565.93,21508506.23,0.003471339,644950697.5,561636131.2,83314566.27
 01/01  08:00:00,141068697.5,4480513.184,0,27343670.67,23169600,64691719.85,21383193.83,0.003692914,647273144.8,558707796.1,88565348.73
 01/01  09:00:00,110328964.5,4445811.881,0,18898733.4,0,65221572,21762847.23,0.003545197,654154226.7,569089399.6,85064827.09
 01/01  10:00:00,99774422.4,4290640.289,0,16873476.95,0,57081753.83,21528551.33,0.003102048,637168096.1,562604833.9,74563262.17
 01/01  11:00:00,88554408.53,4079139.091,0,16873476.95,0,46581897.7,21019894.79,0.002806615,616260943.8,548698724.9,67562218.88
 01/01  12:00:00,88335166.22,3819909.43,0,16873476.95,0,47111749.85,20530029.99,0.002252677,589738637,535303374.3,54435262.73
 01/01  13:00:00,87231067.13,3588356.846,0,16873476.95,0,46581897.7,20187335.64,0.001957244,573425035.8,525990816.3,47434219.44
 01/01  14:00:00,85399169.08,3427454.076,0,16873476.95,0,44992341.23,20105896.82,0.00173567,566018621.9,523835184.9,42183436.98
 01/01  15:00:00,84872806.9,3329402.864,0,16873476.95,0,44462489.08,20207438.01,0.001514095,563488626,526555971.5,36932654.52
 01/01  16:00:00,90174859.45,3423318.554,0,20197954.51,0,46052045.54,20501540.84,0.00173567,577008067.8,534824630.8,42183436.98
 01/01  17:00:00,132851832.1,3638851.981,0,29101440.42,15446400,63969831.83,20695307.86,0.002031103,589744725.6,540560245.3,49184480.26
 01/01  18:00:00,166687399.5,3878084.997,0,35865032.71,23169600,83236545.25,20538136.57,0.002695827,601832391.6,536895563.9,64936827.65
 01/01  19:00:00,175241451,4220908.653,0,44004270.9,23169600,83236545.25,20610126.22,0.003175906,616172776.3,539859253.4,76313522.99
 01/01  20:00:00,172900078.4,4680508.248,0,50003615.48,23169600,73747799.95,21298554.77,0.003028189,632604317.6,559791316.3,72813001.34
 01/01  21:00:00,172537490.7,5157630.292,0,50538588.88,23169600,71628391.33,22043280.15,0.002769685,647850952.4,581163863.9,66687088.47
 01/01  22:00:00,153989940.7,5569232.566,0,38769174.04,23169600,63729202.5,22752731.61,0.002252677,655619885.9,601184623.2,54435262.73
 01/01  23:00:00,130286651.2,5928616.616,0,26999759.2,23169600,50531492.12,23657183.29,0.001957244,673687383.8,626253164.4,47434219.44
 01/01  24:00:00,110397495.3,6314972.873,0,18440184.77,23169600,37863633.89,24609103.74,0.001070945,679130036.4,652698946.8,26431089.59
 01/02  01:00:00,98382552.53,6703939.674,0,14886432.88,23169600,28085665.77,25536914.2,0.000295595,686625901.9,678562148,8063753.889
 01/02  02:00:00,97211983.52,7035049.042,0,14886432.88,23169600,25966257.16,26154644.44,0.000147798,700432883.3,695873616.8,4559266.591
 01/02  03:00:00,97009928.92,7350264.736,0,14886432.88,23169600,24906552.85,26697078.46,3.69494E-05,713259240.6,711330180.3,1929060.313
 01/02  04:00:00,97704819.12,7830317.231,0,14886432.88,23169600,24376700.69,27441768.31,3.69494E-05,735224995.9,733295933.6,1929062.323
 01/02  05:00:00,106616503.9,8428724.079,0,19471919.18,23169600,27266590.8,28279669.81,0.000147798,763240699.5,758681363.9,4559335.566
 01/02  06:00:00,124144412.9,9006799.219,0,27381883.05,23169600,35695631.8,28890498.8,0.000997634,802684143.3,777959358.9,24724784.37
 01/02  07:00:00,143725722.7,9356084.942,0,29139652.8,23169600,53083565.93,28976818.98,0.003473246,865290203.2,781822601.7,83467601.49
 01/02  08:00:00,154916508.4,9536822.592,0,27343670.67,23169600,65388425.55,29477989.63,0.003694943,884727938.6,795999786.5,88728152.15
 01/02  09:00:00,132202061.5,9435222.802,0,23919589.28,0,67967412.13,30879837.32,0.003547145,875484440.2,790263321.8,85221118.37
 01/02  10:00:00,119406343,8590343.131,0,21894332.83,0,59827593.96,29094073.05,0.003103752,807083704.8,732383687.8,74700017.04
 01/02  11:00:00,105991780.9,7735983.26,0,21894332.83,0,49327737.83,27033727,0.002808156,736544590.4,668858640.9,67685949.48
 01/02  12:00:00,103929682.4,6906635.827,0,21894332.83,0,49857589.98,25271123.74,0.002253915,669767717.4,615233144.6,54534572.81
 01/02  13:00:00,100037726.3,6018693.623,0,21196991.74,0,49081841.7,23740199.2,0.00195832,617426213.6,569905708.3,47520505.26
 01/02  14:00:00,97241376.03,5082831.165,0,21894332.83,0,47738181.37,22526030.67,0.001736623,575549549.7,533289595.1,42259954.59
 01/02  15:00:00,94586917.12,3980790.266,0,21894332.83,0,47208329.21,21503464.81,0.001514926,540778249.9,503778846,36999403.92
 01/02  16:00:00,99529386.94,3706459.664,0,25218810.4,0,48797885.67,21806231.2,0.001736623,555118775.3,512858820.7,42259954.59
 01/02  17:00:00,144377994.6,4689414.057,0,34122296.3,15446400,66715671.97,23404212.23,0.002032218,609126044.3,559852022.1,49274022.15
 01/02  18:00:00,171557555.6,5849920.142,0,35865032.71,23169600,83933250.96,22739751.82,0.002697308,668031182.3,602975508.2,65055674.15
 01/02  19:00:00,180980024.4,6857318.794,0,44004270.9,23169600,83236545.25,23712289.42,0.003177651,708886186.9,632432653,76453533.93
 01/02  20:00:00,179948221.1,7803350.521,0,50003615.48,23169600,73747799.95,25223855.19,0.003029853,749713234.4,676766734.3,72946500.15
 01/02  21:00:00,180723734.6,8728193.661,0,50538588.88,23169600,71628391.33,26658960.76,0.002771207,786063435.5,719254244.4,66809191.04
