Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/01  01:00:00,6452721.143,99612248.26,670153323.7
 01/01  02:00:00,8778171.328,103823178.3,777273172.6
 01/01  03:00:00,8716107.413,102975721.9,779539672.5
 01/01  04:00:00,9208147.046,103746857.4,801202230.3
 01/01  05:00:00,8980434.195,110460079.6,787062715
 01/01  06:00:00,8583740.096,125320218.5,775006063.9
 01/01  07:00:00,9372875.92,145841184.8,847933377.8
 01/01  08:00:00,9989454.458,157096245.5,876856881
 01/01  09:00:00,9492482.968,128917841.1,859486302.4
 01/01  10:00:00,7664567.176,109504319.3,752303372.9
 01/01  11:00:00,6652605.851,95387644.48,677689345.7
 01/01  12:00:00,5802821.235,93184059.1,616490619
 01/01  13:00:00,4406108.357,89229274.85,555751531.8
 01/01  14:00:00,3032838.095,84193979.68,496584408.1
 01/01  15:00:00,1806861.165,81111588.06,456891283
 01/01  16:00:00,1217804.199,84932600.4,448808505.4
 01/01  17:00:00,1114975.137,119357504.4,455087327.9
 01/01  18:00:00,2070007.414,163072408.9,503899013.6
 01/01  19:00:00,2183054.53,171346970.3,515101814.3
 01/01  20:00:00,1676589.273,166669542.7,493603977.1
 01/01  21:00:00,2374841.013,166876517.9,516717751.3
 01/01  22:00:00,3319576.206,149785147.6,548067881.6
 01/01  23:00:00,3733486.065,126383771.2,570518283.9
 01/01  24:00:00,3652838.485,105410816.8,557933844
 01/02  01:00:00,3607541.947,92280485.81,545978509.8
 01/02  02:00:00,3575100.161,90129059.68,541830666.4
 01/02  03:00:00,2985595.183,87568963.34,514175315.5
 01/02  04:00:00,2478120.961,85684416.89,491419129.9
 01/02  05:00:00,3570991.432,95830102.11,536699096.6
 01/02  06:00:00,4287154.933,113835090.9,581303813.2
 01/02  07:00:00,2584474.779,128301793.3,556491676.3
 01/02  08:00:00,1133448.718,135216776.4,505429167.5
 01/02  09:00:00,499834.1896,115504057.7,482719858.7
 01/02  10:00:00,1741.160513,99296223.47,428177938.7
 01/02  11:00:00,0,87146313.89,379116188.5
 01/02  12:00:00,0,86199021.54,329728233.2
 01/02  13:00:00,0,83856810.49,303225801.1
 01/02  14:00:00,0,82321511.52,277479196.5
 01/02  15:00:00,0,81371109.64,262879628
 01/02  16:00:00,0,86204728.7,266121844.2
 01/02  17:00:00,0,122041387.9,304245720.4
 01/02  18:00:00,0,156231796.8,369225186.5
 01/02  19:00:00,0,164344447.7,396268361.3
 01/02  20:00:00,0,161838599.5,417408619.6
 01/02  21:00:00,11223.70744,161594102,444919521
 01/02  22:00:00,835844.3681,144240402.7,469717695.3
 01/02  23:00:00,1282062.468,120538936.4,482903075.9
 01/02  24:00:00,1607109.832,100354580.2,480497215.6
 01/03  01:00:00,2204914.333,88703269.02,490552837.1
 01/03  02:00:00,2713141.036,87892869.39,507410676.9
 01/03  03:00:00,3187964.02,88080303.1,524594547.4
 01/03  04:00:00,3469486.192,88255960.49,535357525
 01/03  05:00:00,3283937.18,95164874.38,527157127.6
 01/03  06:00:00,2811256.205,109959335.7,517586726.1
 01/03  07:00:00,2752046.62,128359735.6,555442863.1
 01/03  08:00:00,2293595.819,137858442,545632056.4
 01/03  09:00:00,519962.9332,115264760.8,473874242.3
 01/03  10:00:00,0,98262931.03,399510785.3
 01/03  11:00:00,0,86420257.65,359042905.1
 01/03  12:00:00,0,85887730.45,320749214.3
 01/03  13:00:00,0,83240471.05,286429267.5
 01/03  14:00:00,0,81250116.64,249757692.2
 01/03  15:00:00,0,80219347.81,233574189.1
 01/03  16:00:00,0,85811845.32,254872032.3
 01/03  17:00:00,0,120207644.5,257864282.3
 01/03  18:00:00,0,151578473.5,254148139.7
 01/03  19:00:00,0,158486202.8,252565255
 01/03  20:00:00,0,155146898.5,253038700.2
 01/03  21:00:00,0,153955331.4,256804458
 01/03  22:00:00,0,134787722.3,257347715.3
