Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/01  01:00:00,487909.5806,82995128.86,439877084.5
 01/01  02:00:00,427704.7855,80734854.87,434335991.8
 01/01  03:00:00,681064.7056,80381763.61,445051568.8
 01/01  04:00:00,1036689.113,80876500.96,464005578.3
 01/01  05:00:00,1327554.555,89101158.64,479078113.6
 01/01  06:00:00,1384149.154,105338798.5,490578554.5
 01/01  07:00:00,1169937.19,123424024.9,512805150.1
 01/01  08:00:00,1027740.771,132647281.3,504198377.2
 01/01  09:00:00,930973.1456,101595030.1,505340492.8
 01/01  10:00:00,589456.2388,90224097.52,475228961.3
 01/01  11:00:00,59646.32856,77656470.09,429181633.6
 01/01  12:00:00,0,76597183.76,377381243.7
 01/01  13:00:00,0,74891318.4,339550531.9
 01/01  14:00:00,0,73417518.2,338651777.1
 01/01  15:00:00,0,74372236.08,375101688.5
 01/01  16:00:00,0,82532484.66,467661906.6
 01/01  17:00:00,0,125028049.2,480417813.8
 01/01  18:00:00,20145.45937,158012989.5,471096159.8
 01/01  19:00:00,229037.377,165896716.8,467157593.4
 01/01  20:00:00,421453.3531,162734027.9,467883597.4
 01/01  21:00:00,547489.3129,161390241.8,466010940.6
 01/01  22:00:00,649233.9294,141959562.7,459878793.1
 01/01  23:00:00,790912.5814,117701553.4,469445284.2
 01/01  24:00:00,954502.8949,97241357.77,468910233.8
 01/02  01:00:00,1091922.505,84589449.2,468782493.4
 01/02  02:00:00,1204025.91,82840687.69,472783691.9
 01/02  03:00:00,1270772.677,81985189.39,474284439.1
 01/02  04:00:00,1349362.209,81710727.92,478890971.4
 01/02  05:00:00,1402780.17,89251000.72,481193092.4
 01/02  06:00:00,1397290.254,105310416.6,489731088
 01/02  07:00:00,1391590.212,124002871.8,524193468.4
 01/02  08:00:00,1393652.511,134798368.6,535340347.8
 01/02  09:00:00,1692168.845,113005447.5,559736536.7
 01/02  10:00:00,1562269.165,102500207.3,541851688.5
 01/02  11:00:00,900608.5981,90022141.29,497201707.6
 01/02  12:00:00,106931.3754,88241254.34,442001832.8
 01/02  13:00:00,0,85781315.43,411828254.8
 01/02  14:00:00,0,85641989.9,420849571.9
 01/02  15:00:00,0,85563447.83,428685560.8
 01/02  16:00:00,0,89903752.29,417785081.8
 01/02  17:00:00,0,132062033.1,420061323.8
 01/02  18:00:00,0,157121381.8,425138002.1
 01/02  19:00:00,0,164202371.2,424388148
 01/02  20:00:00,0,161610020.3,446440515.6
 01/02  21:00:00,0,159923150.3,438525016.2
 01/02  22:00:00,0,139832033.1,416814959.2
 01/02  23:00:00,15398.88433,115803099,436745202.1
 01/02  24:00:00,9459.25257,95070376.07,432896163.7
 01/03  01:00:00,171636.632,82578738.2,436228460.6
 01/03  02:00:00,185823.9127,80620519.38,436674026.4
 01/03  03:00:00,42607.43262,79218888.65,428327977.8
 01/03  04:00:00,67453.05642,78755281.18,429387383.4
 01/03  05:00:00,59191.58745,86123673.21,428863575.5
 01/03  06:00:00,319016.3547,102849432.8,449441424.6
 01/03  07:00:00,832709.6894,122927265.7,509102588.9
